employee_id,personality_type,work_style,seniority,technical_skill,communication_skill,leadership_skill,years_experience,collaboration_score
EMP0045,Expressive,Collaborative,Senior,62.1,87.5,15.3,4.5,85.3
EMP0046,Driver,Flexible,Senior,50.2,44.4,47.4,5.7,69.3
EMP0047,Analytical,Independent,Junior,69.8,71.0,58.3,1.5,84.2
EMP0048,Analytical,Collaborative,Junior,58.0,62.0,53.8,7.2,44.3
EMP0049,Driver,Flexible,Lead,73.0,72.2,29.9,3.6,31.6
EMP0050,Analytical,Flexible,Manager,53.4,76.8,44.5,7.7,84.2
EMP0051,Amiable,Flexible,Senior,66.4,51.1,39.3,1.1,67.7
EMP0052,Expressive,Independent,Senior,63.8,79.9,50.0,3.2,68.7
EMP0053,Analytical,Structured,Mid,49.1,72.0,44.8,6.4,40.7
EMP0054,Expressive,Independent,Senior,42.8,70.3,51.7,4.5,78.1
EMP0055,Expressive,Flexible,Junior,74.4,89.2,54.2,3.6,61.8
EMP0056,Driver,Flexible,Junior,71.3,55.3,37.1,1.7,75.1
EMP0057,Analytical,Structured,Senior,80.3,50.6,45.9,2.4,60.7
EMP0058,Driver,Independent,Senior,85.9,91.6,48.8,2.1,67.6
EMP0059,Expressive,Collaborative,Senior,63.6,66.6,25.4,5.7,80.2
EMP0060,Driver,Structured,Lead,73.3,64.2,57.2,9.9,78.0
EMP0061,Driver,Independent,Junior,73.8,24.7,57.0,5.5,77.7
EMP0062,Expressive,Flexible,Mid,73.0,52.0,57.3,5.8,31.3
EMP0063,Analytical,Independent,Junior,72.0,62.7,70.2,4.8,87.6
EMP0064,Expressive,Structured,Junior,56.4,81.8,27.2,3.2,69.1
EMP0065,Driver,Independent,Senior,83.0,66.8,36.3,2.0,62.0
EMP0066,Driver,Independent,Manager,67.9,81.5,69.3,2.7,72.6
EMP0067,Analytical,Flexible,Senior,56.0,64.1,63.1,9.5,78.7
EMP0068,Analytical,Collaborative,Senior,47.6,60.4,40.7,1.9,68.1
EMP0069,Driver,Flexible,Mid,32.0,88.7,40.1,4.0,93.7
EMP0070,Driver,Structured,Senior,58.4,67.4,37.0,2.0,43.4
EMP0071,Amiable,Collaborative,Junior,45.3,38.4,32.9,3.8,70.3
EMP0072,Driver,Structured,Lead,65.7,59.3,28.3,2.3,76.4
EMP0073,Amiable,Structured,Junior,51.9,61.0,58.6,6.9,73.2
EMP0074,Amiable,Flexible,Junior,66.4,50.7,31.4,1.3,39.0
EMP0075,Analytical,Collaborative,Manager,46.5,74.1,25.2,9.3,72.5
EMP0076,Driver,Independent,Manager,30.2,62.5,32.8,6.8,79.5
EMP0077,Expressive,Independent,Mid,79.0,71.2,34.1,3.0,70.6
EMP0078,Driver,Collaborative,Junior,62.6,38.0,50.2,6.4,84.5
EMP0079,Analytical,Independent,Mid,68.0,20.0,66.6,2.5,74.9
EMP0080,Analytical,Collaborative,Mid,64.8,59.4,86.1,6.8,56.4
EMP0081,Analytical,Independent,Senior,62.4,59.4,59.5,2.0,82.9
EMP0082,Expressive,Independent,Senior,82.2,53.5,49.0,2.9,87.5
EMP0083,Driver,Structured,Mid,53.6,42.5,52.5,2.3,70.4
EMP0084,Amiable,Collaborative,Junior,59.9,57.9,37.5,3.4,79.6
EMP0085,Driver,Flexible,Mid,63.1,62.2,64.2,2.9,82.8
EMP0086,Driver,Flexible,Lead,74.3,59.9,50.9,1.6,79.3
EMP0087,Amiable,Collaborative,Mid,59.1,37.1,38.6,3.4,51.1
EMP0088,Analytical,Independent,Mid,76.8,69.9,53.8,5.8,65.4
EMP0089,Amiable,Structured,Manager,86.2,24.4,64.4,12.2,41.6
EMP0090,Amiable,Flexible,Senior,70.8,59.8,37.1,8.8,86.7
EMP0091,Amiable,Independent,Mid,57.7,55.9,80.1,1.4,63.6
EMP0092,Analytical,Independent,Junior,76.8,35.7,37.3,10.1,55.4
EMP0093,Amiable,Structured,Senior,65.6,66.2,43.7,2.8,66.5
EMP0094,Analytical,Collaborative,Mid,48.6,87.5,29.4,1.6,72.4
EMP0095,Driver,Collaborative,Junior,67.0,42.4,38.5,3.8,66.2
EMP0096,Amiable,Collaborative,Senior,79.5,65.2,32.2,9.4,85.6
EMP0097,Amiable,Collaborative,Junior,73.5,51.9,65.7,1.0,54.6
EMP0098,Expressive,Flexible,Lead,62.6,58.7,50.5,5.1,50.1
EMP0099,Driver,Independent,Manager,56.9,52.8,61.6,2.3,51.3
EMP0100,Amiable,Independent,Mid,91.8,72.1,40.0,3.2,82.8
EMP0101,Analytical,Independent,Mid,46.1,77.8,33.4,8.4,64.1
EMP0102,Analytical,Collaborative,Lead,38.1,65.7,53.6,3.7,64.0
EMP0103,Driver,Flexible,Junior,48.1,78.4,56.1,0.9,51.1
EMP0104,Amiable,Flexible,Lead,40.1,79.0,41.0,7.6,54.8
EMP0105,Driver,Flexible,Senior,38.6,80.2,77.9,2.0,77.3
EMP0106,Analytical,Collaborative,Manager,29.8,85.2,30.6,2.5,53.7
EMP0107,Amiable,Independent,Junior,61.3,80.2,50.9,2.2,70.6
EMP0108,Amiable,Structured,Manager,81.6,40.2,56.1,4.4,70.3
EMP0109,Amiable,Structured,Mid,57.7,70.9,77.8,4.5,73.5
EMP0110,Amiable,Flexible,Junior,56.8,36.2,22.3,5.1,42.3
EMP0111,Driver,Collaborative,Mid,62.5,50.7,53.7,3.4,70.1
EMP0112,Expressive,Collaborative,Mid,67.2,48.0,62.6,4.7,63.6
EMP0113,Analytical,Independent,Mid,55.8,45.2,40.3,1.3,48.6
EMP0114,Expressive,Independent,Senior,79.1,59.9,64.4,6.1,89.5
EMP0115,Analytical,Flexible,Manager,54.6,77.7,21.8,4.7,83.9
EMP0116,Driver,Independent,Junior,61.4,86.9,65.6,8.4,73.8
EMP0117,Analytical,Collaborative,Senior,48.7,76.6,32.2,11.0,71.4
EMP0118,Analytical,Independent,Senior,41.6,59.2,41.8,6.1,57.6
EMP0119,Driver,Flexible,Junior,71.1,66.6,37.9,8.7,70.2
EMP0120,Analytical,Collaborative,Junior,43.6,52.6,17.6,1.6,26.8
EMP0121,Analytical,Independent,Junior,39.0,48.2,26.1,4.9,67.6
EMP0122,Amiable,Structured,Senior,52.5,74.9,30.5,4.5,72.7
EMP0123,Expressive,Collaborative,Mid,89.6,79.2,21.3,3.0,96.8
EMP0124,Expressive,Collaborative,Junior,71.0,57.4,37.0,3.8,39.0
EMP0125,Expressive,Flexible,Senior,88.1,67.7,20.1,1.3,59.2
EMP0126,Driver,Structured,Mid,27.0,78.0,52.4,4.0,66.4
EMP0127,Amiable,Structured,Junior,81.4,87.6,44.8,3.1,44.9
EMP0128,Analytical,Independent,Junior,62.2,82.6,24.5,5.5,58.1
EMP0129,Amiable,Independent,Junior,72.9,58.7,31.0,4.0,37.8
EMP0130,Analytical,Collaborative,Mid,78.4,67.0,71.1,5.2,78.0
EMP0131,Expressive,Collaborative,Senior,56.0,80.2,47.8,4.0,72.9
EMP0132,Expressive,Independent,Mid,49.1,65.1,47.4,2.6,43.8
EMP0133,Driver,Structured,Lead,56.6,87.1,41.4,1.3,65.5
EMP0134,Expressive,Collaborative,Manager,36.7,58.4,28.0,6.7,52.0
EMP0135,Amiable,Structured,Mid,53.1,54.0,28.6,2.1,78.6
EMP0136,Analytical,Structured,Junior,52.8,79.1,23.7,1.8,59.2
EMP0137,Analytical,Collaborative,Senior,75.6,92.2,60.0,5.6,87.8
EMP0138,Expressive,Independent,Senior,47.0,57.4,41.5,6.4,55.6
EMP0139,Analytical,Collaborative,Mid,94.8,73.0,61.3,5.2,53.0
EMP0140,Expressive,Structured,Mid,65.0,22.1,48.2,7.2,58.4
EMP0141,Driver,Structured,Junior,65.4,39.3,30.5,3.6,86.6
EMP0142,Driver,Structured,Mid,58.4,79.2,42.2,4.1,63.7
EMP0143,Amiable,Structured,Senior,70.4,73.0,41.4,5.1,64.7
EMP0144,Analytical,Independent,Mid,35.9,84.7,39.3,5.5,57.7
EMP0145,Amiable,Structured,Junior,78.0,48.5,59.9,3.7,56.7
EMP0146,Analytical,Independent,Junior,63.0,54.0,41.5,3.8,69.3
EMP0147,Expressive,Collaborative,Senior,84.3,63.7,61.6,6.2,77.7
EMP0148,Expressive,Collaborative,Mid,37.0,86.7,28.6,4.1,53.3
EMP0149,Amiable,Flexible,Junior,70.0,62.1,47.0,1.2,81.2
EMP0150,Analytical,Independent,Lead,57.6,73.6,52.3,5.1,67.3
EMP0151,Analytical,Collaborative,Senior,50.7,81.0,48.1,1.3,74.6
EMP0152,Analytical,Structured,Manager,48.3,74.9,56.7,4.2,64.9
EMP0153,Driver,Flexible,Mid,59.7,74.0,22.4,7.9,92.2
EMP0154,Driver,Independent,Mid,73.2,63.6,35.9,0.6,58.9
EMP0155,Expressive,Structured,Mid,61.5,70.6,48.7,3.5,79.7
EMP0156,Analytical,Structured,Senior,68.7,66.0,37.4,2.9,65.7
EMP0157,Driver,Collaborative,Lead,66.9,38.7,41.8,1.5,53.3
EMP0158,Analytical,Structured,Senior,75.3,85.4,27.8,1.5,64.9
EMP0159,Amiable,Collaborative,Junior,33.5,52.9,18.8,5.9,71.7
EMP0160,Driver,Collaborative,Junior,60.2,82.2,37.2,8.6,57.1
EMP0161,Driver,Flexible,Senior,49.6,58.8,30.6,4.4,54.9
EMP0162,Analytical,Collaborative,Mid,44.9,33.3,53.1,2.9,82.9
EMP0163,Expressive,Flexible,Senior,51.8,20.0,18.2,1.1,84.9
EMP0164,Driver,Structured,Lead,78.2,61.6,30.8,6.4,65.7
EMP0165,Driver,Independent,Lead,58.5,44.3,25.5,2.0,42.0
EMP0166,Amiable,Independent,Junior,56.1,52.9,36.6,4.8,83.0
EMP0167,Amiable,Collaborative,Junior,44.5,86.8,49.9,7.8,83.8
EMP0168,Driver,Flexible,Senior,41.1,86.0,34.2,3.3,64.6
EMP0169,Expressive,Structured,Junior,25.0,43.0,54.7,4.2,78.2
EMP0170,Driver,Collaborative,Mid,80.4,63.1,34.4,7.8,52.4
EMP0171,Analytical,Collaborative,Lead,67.4,79.4,17.1,3.2,77.9
EMP0172,Amiable,Structured,Lead,27.3,18.1,48.5,2.8,76.1
EMP0173,Expressive,Independent,Mid,44.8,48.1,30.6,4.3,69.9
EMP0174,Expressive,Structured,Senior,77.4,39.7,39.4,2.7,52.5
EMP0175,Amiable,Structured,Junior,74.9,87.3,35.5,6.4,64.2
EMP0176,Analytical,Independent,Junior,30.4,86.0,50.1,4.9,88.0
EMP0177,Expressive,Collaborative,Mid,61.1,39.4,39.5,6.3,65.7
EMP0178,Expressive,Independent,Mid,69.9,50.9,50.0,0.9,65.3
EMP0179,Analytical,Flexible,Mid,94.1,94.0,53.2,2.6,78.1
EMP0180,Expressive,Structured,Senior,43.2,59.5,16.5,4.1,83.1
EMP0181,Amiable,Independent,Lead,64.5,50.4,54.9,3.3,62.4
EMP0182,Amiable,Collaborative,Junior,71.4,39.4,39.4,4.5,71.7
EMP0183,Expressive,Independent,Senior,72.1,66.4,31.1,1.0,85.6
EMP0184,Amiable,Independent,Senior,54.1,65.6,22.1,1.8,59.9
EMP0185,Driver,Structured,Mid,81.2,72.2,44.3,3.7,65.7
EMP0186,Amiable,Independent,Senior,63.2,57.9,53.1,3.8,72.3
EMP0187,Expressive,Structured,Lead,85.4,46.9,59.5,2.6,84.4
EMP0188,Analytical,Structured,Junior,69.0,56.9,25.9,2.0,46.9
EMP0189,Expressive,Flexible,Senior,62.4,61.3,35.0,7.4,88.4
EMP0190,Expressive,Flexible,Mid,91.1,59.7,38.8,6.6,51.5
EMP0191,Expressive,Collaborative,Mid,66.3,45.7,18.5,4.9,91.1
EMP0192,Driver,Flexible,Mid,27.5,86.8,36.5,1.1,71.3
EMP0193,Amiable,Collaborative,Mid,53.3,66.8,40.1,1.8,89.0
EMP0194,Expressive,Flexible,Junior,57.3,63.0,20.9,7.6,80.1
EMP0195,Analytical,Structured,Mid,82.8,57.2,54.3,7.0,64.4
EMP0196,Expressive,Collaborative,Mid,79.6,64.2,24.4,11.6,58.1
EMP0197,Amiable,Structured,Mid,35.9,61.0,35.1,4.6,41.5
EMP0198,Amiable,Flexible,Junior,46.2,34.8,25.9,2.9,73.0
EMP0199,Amiable,Collaborative,Mid,89.3,58.8,35.8,2.4,62.9
EMP0200,Amiable,Collaborative,Mid,55.6,74.7,55.3,7.4,50.5
EMP0201,Analytical,Structured,Junior,68.2,33.5,36.6,5.2,82.1
EMP0202,Expressive,Independent,Mid,68.6,61.9,38.4,1.6,56.7
EMP0203,Driver,Structured,Mid,51.4,85.5,77.8,5.4,72.5
EMP0204,Driver,Collaborative,Senior,74.0,77.2,3.9,4.0,33.7
EMP0205,Driver,Independent,Mid,56.4,75.7,73.8,4.3,69.1
EMP0206,Analytical,Collaborative,Mid,57.5,60.5,54.3,3.3,59.0
EMP0207,Amiable,Independent,Lead,87.6,39.8,59.3,1.1,47.4
EMP0208,Amiable,Flexible,Mid,61.7,47.9,81.3,2.1,85.2
EMP0209,Driver,Flexible,Mid,33.9,16.3,17.3,2.7,51.8
EMP0210,Amiable,Flexible,Mid,50.4,37.2,20.0,5.8,66.1
EMP0211,Driver,Collaborative,Mid,55.2,51.4,31.2,3.0,73.7
EMP0212,Analytical,Independent,Mid,66.6,81.9,63.0,7.2,46.0
EMP0213,Amiable,Collaborative,Senior,35.6,63.7,49.6,7.5,65.1
EMP0214,Driver,Flexible,Junior,62.4,60.9,33.8,1.5,47.9
EMP0215,Analytical,Collaborative,Junior,65.6,38.3,54.2,1.8,71.5
EMP0216,Analytical,Flexible,Lead,76.5,78.8,71.7,3.2,44.5
EMP0217,Driver,Flexible,Senior,36.6,47.0,59.9,10.3,75.1
EMP0218,Expressive,Flexible,Senior,79.8,58.0,47.1,2.8,57.4
EMP0219,Amiable,Flexible,Junior,64.8,54.7,58.2,1.6,54.5
EMP0220,Driver,Flexible,Manager,63.2,74.0,38.9,6.5,48.3
EMP0221,Amiable,Structured,Junior,82.1,52.1,50.6,3.3,81.5
EMP0222,Driver,Structured,Mid,52.0,79.9,26.7,4.7,78.4
EMP0223,Amiable,Collaborative,Manager,67.8,78.8,50.3,2.4,85.8
EMP0224,Expressive,Flexible,Mid,36.7,66.7,56.4,4.5,71.5
EMP0225,Analytical,Structured,Lead,38.4,73.3,24.0,0.6,75.7
EMP0226,Driver,Structured,Senior,45.3,78.2,40.4,3.1,78.7
EMP0227,Expressive,Structured,Junior,70.9,86.0,26.5,1.9,70.0
EMP0228,Analytical,Collaborative,Mid,68.1,82.2,71.7,3.2,76.3
EMP0229,Driver,Collaborative,Junior,76.9,53.9,20.8,13.3,57.5
EMP0230,Amiable,Collaborative,Mid,69.5,46.8,62.1,3.6,66.7
EMP0231,Driver,Independent,Senior,80.7,63.3,49.2,2.4,74.6
EMP0232,Amiable,Flexible,Junior,91.1,63.9,32.7,4.6,70.2
EMP0233,Expressive,Flexible,Manager,84.8,77.7,14.3,7.0,46.8
EMP0234,Amiable,Independent,Lead,55.1,61.1,39.4,2.7,74.6
EMP0235,Driver,Flexible,Manager,64.7,70.1,25.6,4.2,54.7
EMP0236,Amiable,Independent,Mid,73.9,16.8,60.2,6.1,42.9
EMP0237,Amiable,Flexible,Mid,72.5,40.5,65.3,2.4,76.4
EMP0238,Analytical,Structured,Senior,71.8,66.8,42.3,3.8,35.6
EMP0239,Expressive,Flexible,Mid,70.4,53.0,18.1,2.1,43.3
EMP0240,Amiable,Collaborative,Mid,50.6,60.5,43.8,4.5,74.1
EMP0241,Amiable,Collaborative,Mid,55.3,56.8,27.0,3.8,69.7
EMP0242,Expressive,Flexible,Mid,42.0,49.2,58.8,8.6,87.5
EMP0243,Amiable,Independent,Junior,59.5,69.5,63.9,2.6,73.2
EMP0244,Amiable,Structured,Junior,82.6,48.1,38.9,1.9,39.0
EMP0245,Amiable,Collaborative,Senior,59.1,46.7,54.8,2.4,71.0
EMP0246,Amiable,Collaborative,Mid,66.7,74.1,43.1,2.5,76.9
EMP0247,Analytical,Flexible,Manager,47.7,38.3,56.7,3.6,65.0
EMP0248,Analytical,Independent,Mid,96.4,66.1,28.4,2.7,97.3
EMP0249,Amiable,Collaborative,Junior,55.8,59.7,47.2,11.1,58.5
EMP0250,Amiable,Collaborative,Mid,59.3,72.4,35.7,3.2,34.5
EMP0251,Analytical,Structured,Junior,40.5,55.9,55.8,3.4,56.8
EMP0252,Amiable,Structured,Junior,74.6,90.6,48.5,0.8,68.0
EMP0253,Driver,Flexible,Mid,57.0,46.0,45.8,5.9,50.9
EMP0254,Expressive,Structured,Manager,90.0,64.4,24.8,2.6,73.5
EMP0255,Amiable,Structured,Lead,24.4,79.1,23.7,2.7,62.6
EMP0256,Amiable,Structured,Senior,68.4,34.9,53.2,2.6,80.3
EMP0257,Analytical,Flexible,Mid,74.1,71.2,52.9,4.7,71.1
EMP0258,Analytical,Independent,Junior,52.4,48.1,6.5,4.4,77.3
EMP0259,Expressive,Collaborative,Mid,43.7,79.2,51.8,3.6,68.1
EMP0260,Analytical,Independent,Junior,54.6,50.6,41.3,1.9,33.3
EMP0261,Analytical,Collaborative,Manager,78.0,74.6,58.8,4.3,54.0
EMP0262,Driver,Independent,Senior,47.3,52.6,43.4,0.9,53.4
EMP0263,Driver,Collaborative,Junior,75.2,54.9,26.2,1.1,57.4
EMP0264,Driver,Flexible,Senior,74.8,66.5,35.0,6.5,77.9
EMP0265,Analytical,Collaborative,Mid,69.9,66.5,40.6,3.2,44.9
EMP0266,Amiable,Structured,Mid,39.3,74.0,37.2,5.9,61.9
EMP0267,Expressive,Collaborative,Mid,71.1,42.4,53.8,5.5,89.7
EMP0268,Analytical,Collaborative,Senior,35.5,52.7,61.0,6.1,64.8
EMP0269,Expressive,Independent,Mid,57.5,52.5,44.0,3.4,45.7
EMP0270,Analytical,Structured,Mid,46.0,29.2,28.4,1.7,78.6
EMP0271,Amiable,Flexible,Manager,70.8,42.7,43.2,3.2,56.6
EMP0272,Driver,Independent,Senior,51.4,79.6,46.6,4.4,55.4
EMP0273,Driver,Independent,Mid,27.1,65.5,27.1,3.4,87.9
EMP0274,Expressive,Independent,Junior,85.2,74.2,47.1,5.1,60.8
EMP0275,Analytical,Structured,Junior,81.8,82.1,59.6,5.0,80.9
EMP0276,Amiable,Structured,Junior,45.6,50.4,52.5,4.1,90.3
EMP0277,Analytical,Structured,Junior,37.6,54.3,36.9,6.6,83.5
EMP0278,Analytical,Flexible,Junior,44.0,53.4,44.9,8.0,79.5
EMP0279,Amiable,Independent,Mid,54.0,61.3,30.4,4.3,54.7
EMP0280,Amiable,Structured,Senior,60.2,57.2,52.5,3.9,58.4
EMP0281,Amiable,Collaborative,Mid,74.6,39.9,60.0,3.2,80.2
EMP0282,Amiable,Collaborative,Junior,38.3,47.8,47.6,5.8,68.5
EMP0283,Expressive,Flexible,Mid,78.3,89.6,58.2,3.3,66.7
EMP0284,Amiable,Flexible,Junior,90.9,69.4,61.5,8.6,54.8
EMP0285,Expressive,Structured,Lead,59.4,72.2,20.9,3.5,61.1
EMP0286,Driver,Independent,Senior,61.4,69.8,32.5,5.9,92.1
EMP0287,Expressive,Flexible,Lead,56.8,45.9,59.8,5.1,69.7
EMP0288,Driver,Flexible,Mid,66.1,72.4,61.6,2.7,67.8
EMP0289,Amiable,Structured,Junior,57.9,75.6,33.6,3.1,57.3
EMP0290,Analytical,Flexible,Mid,58.9,60.7,51.5,5.8,72.3
EMP0291,Expressive,Collaborative,Manager,36.1,45.4,21.7,5.0,80.3
EMP0292,Amiable,Collaborative,Mid,74.7,49.6,82.1,3.0,72.5
EMP0293,Expressive,Structured,Junior,88.9,49.7,47.2,3.1,75.4
EMP0294,Expressive,Structured,Mid,47.0,75.3,37.9,3.3,88.1
EMP0295,Expressive,Independent,Mid,43.2,84.2,17.6,6.9,81.0
EMP0296,Driver,Independent,Junior,54.4,35.4,43.7,6.1,65.7
EMP0297,Driver,Flexible,Manager,70.1,63.3,55.8,4.5,67.6
EMP0298,Amiable,Collaborative,Junior,74.9,63.8,30.3,12.1,54.0
EMP0299,Amiable,Flexible,Mid,41.6,33.9,57.9,6.1,79.8
EMP0300,Amiable,Independent,Mid,73.4,59.3,30.4,5.7,49.8
EMP0301,Analytical,Structured,Mid,91.0,64.7,47.3,3.9,76.5
EMP0302,Driver,Flexible,Mid,67.4,53.5,50.7,5.1,82.9
EMP0303,Driver,Structured,Mid,55.6,53.2,65.2,2.1,52.9
EMP0304,Expressive,Flexible,Junior,63.8,61.5,42.1,2.5,47.2
EMP0305,Expressive,Flexible,Lead,47.8,69.4,49.7,1.1,55.3
EMP0306,Expressive,Structured,Mid,62.4,60.1,47.6,3.1,77.4
EMP0307,Amiable,Structured,Junior,32.7,52.7,43.4,2.7,47.1
EMP0308,Expressive,Structured,Lead,40.6,54.7,63.5,4.3,51.2
EMP0309,Driver,Independent,Junior,79.4,77.2,34.8,4.4,50.4
EMP0310,Driver,Structured,Junior,41.2,54.2,46.0,2.7,39.0
EMP0311,Analytical,Collaborative,Lead,75.1,68.5,65.3,2.4,44.3
EMP0312,Driver,Collaborative,Junior,79.9,36.7,22.2,1.4,64.4
EMP0313,Amiable,Structured,Senior,59.5,67.5,24.4,0.9,76.4
EMP0314,Expressive,Independent,Junior,64.8,74.5,28.7,2.6,85.2
EMP0315,Driver,Structured,Mid,52.0,62.2,51.6,2.5,79.3
EMP0316,Driver,Structured,Junior,62.3,48.9,26.1,3.2,82.6
EMP0317,Driver,Structured,Mid,28.4,78.2,28.5,3.3,70.3
EMP0318,Analytical,Collaborative,Senior,37.3,51.1,41.4,5.7,75.5
EMP0319,Expressive,Independent,Junior,81.9,56.6,18.6,1.4,58.9
EMP0320,Analytical,Structured,Junior,34.0,67.7,16.0,2.8,73.0
EMP0321,Driver,Flexible,Mid,82.0,61.7,24.9,3.1,42.4
EMP0322,Analytical,Independent,Senior,47.1,66.4,55.8,4.8,31.0
EMP0323,Expressive,Flexible,Mid,52.3,84.4,31.0,2.7,76.4
EMP0324,Amiable,Flexible,Junior,40.5,43.1,44.6,4.3,76.7
EMP0325,Expressive,Collaborative,Mid,80.4,44.7,31.3,4.2,85.9
EMP0326,Analytical,Structured,Junior,63.2,66.5,43.4,2.4,73.9
EMP0327,Amiable,Independent,Lead,59.9,49.4,59.5,4.3,90.3
EMP0328,Analytical,Flexible,Senior,83.7,40.2,35.1,3.8,52.3
EMP0329,Amiable,Independent,Junior,66.0,35.6,52.1,4.2,79.0
EMP0330,Analytical,Collaborative,Junior,46.3,73.2,74.1,7.7,86.3
EMP0331,Driver,Structured,Mid,85.6,64.1,41.7,6.2,74.9
EMP0332,Analytical,Collaborative,Junior,72.1,66.5,63.4,9.8,77.8
EMP0333,Analytical,Flexible,Junior,64.6,66.7,27.5,5.5,51.6
EMP0334,Driver,Flexible,Mid,65.4,46.9,56.6,3.9,58.3
EMP0335,Amiable,Flexible,Mid,56.6,70.2,8.3,1.9,71.0
EMP0336,Expressive,Flexible,Mid,76.0,66.2,38.2,1.9,74.6
EMP0337,Expressive,Independent,Lead,62.2,29.3,39.6,1.0,72.0
EMP0338,Analytical,Collaborative,Lead,58.9,67.1,68.1,1.7,69.9
EMP0339,Driver,Structured,Mid,49.2,52.5,23.0,4.3,83.3
EMP0340,Analytical,Collaborative,Junior,45.0,38.3,45.8,6.5,61.4
EMP0341,Driver,Collaborative,Junior,30.7,16.3,43.6,1.4,93.5
EMP0342,Analytical,Collaborative,Junior,60.3,81.3,81.7,3.3,60.1
EMP0343,Analytical,Flexible,Lead,50.5,71.2,72.9,4.9,56.2
EMP0344,Amiable,Flexible,Junior,22.3,52.1,19.8,2.7,46.4
EMP0345,Expressive,Independent,Junior,72.0,61.5,56.8,1.9,28.9
EMP0346,Driver,Structured,Senior,91.4,72.6,47.7,3.3,66.6
EMP0347,Expressive,Flexible,Junior,42.2,61.3,48.9,7.8,87.7
EMP0348,Analytical,Collaborative,Mid,87.4,81.3,43.1,1.3,76.0
EMP0349,Expressive,Collaborative,Mid,93.0,92.1,41.6,5.3,66.4
EMP0350,Amiable,Independent,Junior,83.3,68.9,50.4,7.6,70.2
EMP0351,Driver,Collaborative,Senior,18.3,82.0,29.4,4.0,82.5
