member_id,team_id,employee_id,role,join_date,is_active
MEM00044,TEAM008,EMP0446,Team Lead,2025-02-12,1
MEM00045,TEAM008,EMP0072,Team Lead,2025-02-12,1
MEM00046,TEAM008,EMP0417,Senior Member,2025-02-12,0
MEM00047,TEAM008,EMP0443,Team Member,2025-02-12,1
MEM00048,TEAM008,EMP0473,Team Member,2025-02-12,1
MEM00049,TEAM008,EMP0216,Team Lead,2025-02-12,1
MEM00050,TEAM009,EMP0017,Team Member,2025-03-28,1
MEM00051,TEAM009,EMP0296,Team Member,2025-03-28,1
MEM00052,TEAM009,EMP0359,Technical Lead,2025-03-28,1
MEM00053,TEAM009,EMP0481,Team Member,2025-03-28,1
MEM00054,TEAM009,EMP0154,Team Member,2025-03-28,1
MEM00055,TEAM010,EMP0103,Team Member,2024-12-09,1
MEM00056,TEAM010,EMP0445,Team Member,2024-12-09,1
MEM00057,TEAM010,EMP0143,Technical Lead,2024-12-09,0
MEM00058,TEAM010,EMP0406,Team Member,2024-12-09,1
MEM00059,TEAM010,EMP0242,Team Member,2024-12-09,1
MEM00060,TEAM010,EMP0063,Team Member,2024-12-09,0
MEM00061,TEAM010,EMP0051,Technical Lead,2024-12-09,0
MEM00062,TEAM010,EMP0085,Team Member,2024-12-09,0
MEM00063,TEAM011,EMP0450,Team Member,2025-02-12,1
MEM00064,TEAM011,EMP0200,Team Member,2025-02-12,1
MEM00065,TEAM011,EMP0183,Senior Member,2025-02-12,1
MEM00066,TEAM012,EMP0385,Team Member,2025-04-02,1
MEM00067,TEAM012,EMP0083,Team Member,2025-04-02,1
MEM00068,TEAM012,EMP0122,Senior Member,2025-04-02,1
MEM00069,TEAM012,EMP0456,Team Member,2025-04-02,0
MEM00070,TEAM012,EMP0466,Team Member,2025-04-02,1
MEM00071,TEAM013,EMP0421,Technical Lead,2025-06-05,1
MEM00072,TEAM013,EMP0023,Team Member,2025-06-05,1
MEM00073,TEAM013,EMP0276,Team Member,2025-06-05,1
MEM00074,TEAM014,EMP0235,Technical Lead,2024-08-04,1
MEM00075,TEAM014,EMP0084,Team Member,2024-08-04,1
MEM00076,TEAM014,EMP0448,Team Member,2024-08-04,1
MEM00077,TEAM014,EMP0018,Technical Lead,2024-08-04,1
MEM00078,TEAM014,EMP0350,Team Member,2024-08-04,1
MEM00079,TEAM014,EMP0374,Team Member,2024-08-04,1
MEM00080,TEAM015,EMP0265,Team Member,2024-03-12,1
MEM00081,TEAM015,EMP0401,Technical Lead,2024-03-12,1
MEM00082,TEAM015,EMP0045,Senior Member,2024-03-12,1
MEM00083,TEAM016,EMP0228,Team Member,2024-02-23,1
MEM00084,TEAM016,EMP0209,Team Member,2024-02-23,1
MEM00085,TEAM016,EMP0475,Team Member,2024-02-23,1
MEM00086,TEAM017,EMP0033,Senior Member,2025-07-09,1
MEM00087,TEAM017,EMP0271,Technical Lead,2025-07-09,1
MEM00088,TEAM017,EMP0438,Team Member,2025-07-09,0
MEM00089,TEAM017,EMP0246,Team Member,2025-07-09,1
MEM00090,TEAM018,EMP0006,Technical Lead,2024-06-24,1
MEM00091,TEAM018,EMP0134,Technical Lead,2024-06-24,1
MEM00092,TEAM018,EMP0429,Team Member,2024-06-24,1
MEM00093,TEAM019,EMP0120,Team Member,2024-03-25,1
MEM00094,TEAM019,EMP0329,Team Member,2024-03-25,1
MEM00095,TEAM019,EMP0463,Team Member,2024-03-25,1
MEM00096,TEAM020,EMP0188,Team Member,2025-05-19,1
MEM00097,TEAM020,EMP0408,Team Member,2025-05-19,1
MEM00098,TEAM020,EMP0101,Team Member,2025-05-19,1
MEM00099,TEAM020,EMP0416,Technical Lead,2025-05-19,1
MEM00100,TEAM020,EMP0368,Senior Member,2025-05-19,1
MEM00101,TEAM020,EMP0068,Senior Member,2025-05-19,1
MEM00102,TEAM020,EMP0411,Team Member,2025-05-19,1
MEM00103,TEAM020,EMP0104,Team Lead,2025-05-19,1
MEM00104,TEAM021,EMP0407,Senior Member,2025-06-03,1
MEM00105,TEAM021,EMP0283,Team Member,2025-06-03,1
MEM00106,TEAM021,EMP0054,Technical Lead,2025-06-03,1
MEM00107,TEAM022,EMP0117,Technical Lead,2023-11-09,1
MEM00108,TEAM022,EMP0219,Team Member,2023-11-09,0
MEM00109,TEAM022,EMP0404,Team Member,2023-11-09,1
MEM00110,TEAM023,EMP0369,Team Lead,2023-12-07,1
MEM00111,TEAM023,EMP0001,Team Member,2023-12-07,1
MEM00112,TEAM023,EMP0402,Team Member,2023-12-07,1
MEM00113,TEAM024,EMP0152,Technical Lead,2024-03-10,1
MEM00114,TEAM024,EMP0019,Team Member,2024-03-10,1
MEM00115,TEAM024,EMP0092,Team Member,2024-03-10,1
MEM00116,TEAM024,EMP0031,Team Member,2024-03-10,1
MEM00117,TEAM024,EMP0316,Team Member,2024-03-10,1
MEM00118,TEAM024,EMP0344,Team Member,2024-03-10,1
MEM00119,TEAM024,EMP0492,Team Member,2024-03-10,1
MEM00120,TEAM024,EMP0003,Team Member,2024-03-10,0
MEM00121,TEAM024,EMP0069,Team Member,2024-03-10,1
MEM00122,TEAM024,EMP0323,Team Member,2024-03-10,1
MEM00123,TEAM024,EMP0064,Team Member,2024-03-10,1
MEM00124,TEAM025,EMP0439,Team Member,2025-04-14,1
MEM00125,TEAM025,EMP0163,Technical Lead,2025-04-14,1
MEM00126,TEAM025,EMP0015,Technical Lead,2025-04-14,1
MEM00127,TEAM025,EMP0009,Senior Member,2025-04-14,1
MEM00128,TEAM025,EMP0437,Team Member,2025-04-14,1
MEM00129,TEAM026,EMP0247,Technical Lead,2024-05-04,1
MEM00130,TEAM026,EMP0245,Technical Lead,2024-05-04,1
MEM00131,TEAM026,EMP0013,Senior Member,2024-05-04,1
MEM00132,TEAM027,EMP0280,Senior Member,2024-08-27,1
MEM00133,TEAM027,EMP0314,Team Member,2024-08-27,1
MEM00134,TEAM027,EMP0422,Team Member,2024-08-27,1
MEM00135,TEAM028,EMP0414,Senior Member,2024-06-10,1
MEM00136,TEAM028,EMP0464,Team Member,2024-06-10,1
MEM00137,TEAM028,EMP0454,Team Lead,2024-06-10,1
MEM00138,TEAM028,EMP0194,Team Member,2024-06-10,1
MEM00139,TEAM028,EMP0367,Technical Lead,2024-06-10,1
MEM00140,TEAM028,EMP0056,Team Member,2024-06-10,0
MEM00141,TEAM029,EMP0384,Team Member,2024-05-29,1
MEM00142,TEAM029,EMP0005,Senior Member,2024-05-29,1
MEM00143,TEAM029,EMP0363,Team Member,2024-05-29,1
MEM00144,TEAM030,EMP0002,Team Member,2024-07-22,1
MEM00145,TEAM030,EMP0211,Team Member,2024-07-22,1
MEM00146,TEAM030,EMP0148,Team Member,2024-07-22,0
MEM00147,TEAM030,EMP0151,Technical Lead,2024-07-22,1
MEM00148,TEAM030,EMP0205,Team Member,2024-07-22,1
MEM00149,TEAM030,EMP0074,Team Member,2024-07-22,1
MEM00150,TEAM031,EMP0243,Team Member,2025-06-02,1
MEM00151,TEAM031,EMP0333,Team Member,2025-06-02,1
MEM00152,TEAM031,EMP0173,Team Member,2025-06-02,1
MEM00153,TEAM032,EMP0086,Team Lead,2025-05-06,1
MEM00154,TEAM032,EMP0251,Team Member,2025-05-06,1
MEM00155,TEAM032,EMP0300,Team Member,2025-05-06,1
MEM00156,TEAM032,EMP0008,Technical Lead,2025-05-06,1
MEM00157,TEAM032,EMP0058,Technical Lead,2025-05-06,1
MEM00158,TEAM032,EMP0352,Team Member,2025-05-06,1
MEM00159,TEAM032,EMP0497,Team Member,2025-05-06,1
MEM00160,TEAM033,EMP0308,Team Lead,2024-07-24,1
MEM00161,TEAM033,EMP0499,Technical Lead,2024-07-24,1
MEM00162,TEAM033,EMP0184,Technical Lead,2024-07-24,0
MEM00163,TEAM033,EMP0440,Team Member,2024-07-24,1
MEM00164,TEAM033,EMP0372,Team Member,2024-07-24,1
MEM00165,TEAM033,EMP0299,Team Member,2024-07-24,0
MEM00166,TEAM033,EMP0107,Team Member,2024-07-24,1
MEM00167,TEAM033,EMP0007,Team Lead,2024-07-24,1
MEM00168,TEAM033,EMP0442,Team Member,2024-07-24,1
MEM00169,TEAM033,EMP0301,Team Member,2024-07-24,1
MEM00170,TEAM034,EMP0471,Team Member,2023-12-18,1
MEM00171,TEAM034,EMP0462,Senior Member,2023-12-18,1
MEM00172,TEAM034,EMP0112,Team Member,2023-12-18,1
MEM00173,TEAM034,EMP0484,Team Member,2023-12-18,1
MEM00174,TEAM034,EMP0379,Team Member,2023-12-18,1
MEM00175,TEAM034,EMP0258,Team Member,2023-12-18,0
MEM00176,TEAM034,EMP0070,Technical Lead,2023-12-18,1
MEM00177,TEAM034,EMP0312,Team Member,2023-12-18,1
MEM00178,TEAM035,EMP0353,Senior Member,2024-06-15,1
MEM00179,TEAM035,EMP0229,Team Member,2024-06-15,1
MEM00180,TEAM035,EMP0313,Senior Member,2024-06-15,1
MEM00181,TEAM035,EMP0133,Team Lead,2024-06-15,1
MEM00182,TEAM035,EMP0355,Team Member,2024-06-15,0
MEM00183,TEAM035,EMP0142,Team Member,2024-06-15,1
MEM00184,TEAM036,EMP0096,Senior Member,2025-06-18,1
MEM00185,TEAM036,EMP0124,Team Member,2025-06-18,1
MEM00186,TEAM036,EMP0318,Senior Member,2025-06-18,1
MEM00187,TEAM037,EMP0014,Team Member,2024-08-14,1
MEM00188,TEAM037,EMP0065,Technical Lead,2024-08-14,1
MEM00189,TEAM037,EMP0036,Senior Member,2024-08-14,1
MEM00190,TEAM037,EMP0455,Team Member,2024-08-14,1
MEM00191,TEAM037,EMP0052,Technical Lead,2024-08-14,1
MEM00192,TEAM037,EMP0233,Technical Lead,2024-08-14,1
MEM00193,TEAM037,EMP0108,Technical Lead,2024-08-14,1
MEM00194,TEAM037,EMP0136,Team Member,2024-08-14,1
MEM00195,TEAM037,EMP0129,Team Member,2024-08-14,1
MEM00196,TEAM037,EMP0098,Team Lead,2024-08-14,1
MEM00197,TEAM037,EMP0215,Team Member,2024-08-14,1
MEM00198,TEAM038,EMP0239,Team Member,2025-03-04,1
MEM00199,TEAM038,EMP0119,Team Member,2025-03-04,1
MEM00200,TEAM038,EMP0400,Senior Member,2025-03-04,1
MEM00201,TEAM039,EMP0332,Team Member,2025-04-21,1
MEM00202,TEAM039,EMP0420,Senior Member,2025-04-21,1
MEM00203,TEAM039,EMP0095,Team Member,2025-04-21,1
MEM00204,TEAM040,EMP0050,Technical Lead,2025-04-14,0
MEM00205,TEAM040,EMP0376,Team Member,2025-04-14,1
MEM00206,TEAM040,EMP0212,Team Member,2025-04-14,1
MEM00207,TEAM040,EMP0256,Technical Lead,2025-04-14,1
MEM00208,TEAM040,EMP0447,Team Member,2025-04-14,1
MEM00209,TEAM040,EMP0137,Technical Lead,2025-04-14,0
MEM00210,TEAM040,EMP0060,Technical Lead,2025-04-14,1
MEM00211,TEAM040,EMP0115,Technical Lead,2025-04-14,1
MEM00212,TEAM040,EMP0278,Team Member,2025-04-14,1
MEM00213,TEAM040,EMP0192,Team Member,2025-04-14,1
MEM00214,TEAM040,EMP0274,Team Member,2025-04-14,1
MEM00215,TEAM040,EMP0281,Team Member,2025-04-14,1
MEM00216,TEAM041,EMP0157,Team Lead,2024-05-27,0
MEM00217,TEAM041,EMP0391,Team Lead,2024-05-27,1
MEM00218,TEAM041,EMP0061,Team Member,2024-05-27,1
MEM00219,TEAM041,EMP0240,Team Member,2024-05-27,1
MEM00220,TEAM041,EMP0419,Team Member,2024-05-27,1
MEM00221,TEAM041,EMP0094,Team Member,2024-05-27,1
MEM00222,TEAM041,EMP0106,Technical Lead,2024-05-27,1
MEM00223,TEAM042,EMP0012,Team Lead,2025-07-11,1
MEM00224,TEAM042,EMP0461,Team Member,2025-07-11,1
MEM00225,TEAM042,EMP0185,Team Member,2025-07-11,1
MEM00226,TEAM042,EMP0043,Team Member,2025-07-11,1
MEM00227,TEAM042,EMP0412,Team Member,2025-07-11,1
MEM00228,TEAM042,EMP0160,Team Member,2025-07-11,1
MEM00229,TEAM042,EMP0327,Technical Lead,2025-07-11,1
MEM00230,TEAM042,EMP0178,Team Member,2025-07-11,1
MEM00231,TEAM043,EMP0479,Technical Lead,2024-09-27,1
MEM00232,TEAM043,EMP0357,Team Member,2024-09-27,1
MEM00233,TEAM043,EMP0282,Team Member,2024-09-27,1
MEM00234,TEAM043,EMP0378,Team Member,2024-09-27,1
MEM00235,TEAM043,EMP0319,Team Member,2024-09-27,1
MEM00236,TEAM043,EMP0153,Team Member,2024-09-27,1
MEM00237,TEAM043,EMP0498,Team Member,2024-09-27,1
MEM00238,TEAM044,EMP0264,Technical Lead,2025-08-03,1
MEM00239,TEAM044,EMP0356,Team Member,2025-08-03,1
MEM00240,TEAM044,EMP0433,Senior Member,2025-08-03,1
MEM00241,TEAM044,EMP0389,Senior Member,2025-08-03,1
MEM00242,TEAM044,EMP0170,Team Member,2025-08-03,1
MEM00243,TEAM044,EMP0266,Team Member,2025-08-03,1
MEM00244,TEAM044,EMP0135,Team Member,2025-08-03,1
MEM00245,TEAM044,EMP0347,Team Member,2025-08-03,1
MEM00246,TEAM044,EMP0190,Team Member,2025-08-03,1
MEM00247,TEAM044,EMP0415,Team Lead,2025-08-03,1
MEM00248,TEAM044,EMP0139,Team Member,2025-08-03,1
MEM00249,TEAM045,EMP0435,Team Member,2024-01-08,1
MEM00250,TEAM045,EMP0285,Technical Lead,2024-01-08,1
MEM00251,TEAM045,EMP0489,Team Member,2024-01-08,1
MEM00252,TEAM045,EMP0202,Team Member,2024-01-08,0
MEM00253,TEAM045,EMP0399,Team Member,2024-01-08,1
MEM00254,TEAM045,EMP0377,Team Lead,2024-01-08,1
MEM00255,TEAM046,EMP0335,Team Member,2025-03-17,1
MEM00256,TEAM046,EMP0493,Team Member,2025-03-17,1
MEM00257,TEAM046,EMP0452,Team Member,2025-03-17,1
MEM00258,TEAM046,EMP0116,Team Member,2025-03-17,1
MEM00259,TEAM046,EMP0099,Team Lead,2025-03-17,1
MEM00260,TEAM046,EMP0482,Team Member,2025-03-17,1
MEM00261,TEAM046,EMP0175,Team Member,2025-03-17,1
MEM00262,TEAM046,EMP0110,Team Member,2025-03-17,1
MEM00263,TEAM047,EMP0093,Senior Member,2024-02-13,1
MEM00264,TEAM047,EMP0275,Team Member,2024-02-13,1
MEM00265,TEAM047,EMP0267,Team Member,2024-02-13,1
MEM00266,TEAM047,EMP0425,Team Member,2024-02-13,1
MEM00267,TEAM047,EMP0405,Team Member,2024-02-13,0
MEM00268,TEAM047,EMP0261,Technical Lead,2024-02-13,1
MEM00269,TEAM047,EMP0217,Senior Member,2024-02-13,1
MEM00270,TEAM047,EMP0048,Team Member,2024-02-13,1
MEM00271,TEAM047,EMP0465,Team Member,2024-02-13,1
MEM00272,TEAM048,EMP0066,Team Lead,2024-06-06,1
MEM00273,TEAM048,EMP0358,Team Member,2024-06-06,1
MEM00274,TEAM048,EMP0193,Team Member,2024-06-06,1
MEM00275,TEAM048,EMP0279,Team Member,2024-06-06,1
MEM00276,TEAM048,EMP0370,Team Member,2024-06-06,1
MEM00277,TEAM048,EMP0441,Team Member,2024-06-06,1
MEM00278,TEAM049,EMP0201,Team Member,2025-03-01,1
MEM00279,TEAM049,EMP0338,Technical Lead,2025-03-01,0
MEM00280,TEAM049,EMP0428,Senior Member,2025-03-01,1
MEM00281,TEAM050,EMP0073,Team Member,2024-09-11,1
MEM00282,TEAM050,EMP0487,Team Member,2024-09-11,1
MEM00283,TEAM050,EMP0390,Team Member,2024-09-11,1
MEM00284,TEAM050,EMP0077,Team Member,2024-09-11,1
MEM00285,TEAM050,EMP0130,Team Member,2024-09-11,1
