interaction_id,team_id,employee_1,employee_2,interaction_type,date,duration_minutes,quality_score
INT000073,TEAM004,EMP0395,EMP0164,Pair Programming,2025-06-04,5,6.6
INT000074,TEAM004,EMP0395,EMP0164,Discussion,2025-09-27,39,9.5
INT000075,TEAM004,EMP0395,EMP0164,Mentoring,2025-06-03,22,5.3
INT000076,TEAM004,EMP0395,EMP0396,Brainstorming,2025-07-01,13,7.8
INT000077,TEAM004,EMP0395,EMP0396,Collaboration,2025-06-30,14,8.1
INT000078,TEAM004,EMP0395,EMP0396,Mentoring,2025-07-05,21,7.7
INT000079,TEAM004,EMP0395,EMP0396,Pair Programming,2025-06-16,26,7.2
INT000080,TEAM004,EMP0395,EMP0396,Brainstorming,2025-07-09,13,8.1
INT000081,TEAM004,EMP0395,EMP0396,Pair Programming,2025-11-03,24,8.0
INT000082,TEAM004,EMP0395,EMP0396,Mentoring,2025-08-15,31,8.5
INT000083,TEAM004,EMP0395,EMP0254,Collaboration,2025-07-24,17,8.0
INT000084,TEAM004,EMP0395,EMP0254,Brainstorming,2025-08-21,19,6.1
INT000085,TEAM004,EMP0395,EMP0254,Mentoring,2025-05-15,36,7.3
INT000086,TEAM004,EMP0395,EMP0254,Collaboration,2025-11-01,12,6.9
INT000087,TEAM004,EMP0395,EMP0254,Pair Programming,2025-07-09,10,6.3
INT000088,TEAM004,EMP0395,EMP0207,Collaboration,2025-10-25,2,7.3
INT000089,TEAM004,EMP0395,EMP0207,Code Review,2025-07-08,24,5.2
INT000090,TEAM004,EMP0395,EMP0207,Mentoring,2025-06-26,54,3.9
INT000091,TEAM004,EMP0395,EMP0207,Brainstorming,2025-06-02,9,7.7
INT000092,TEAM004,EMP0395,EMP0207,Code Review,2025-08-02,63,8.7
INT000093,TEAM004,EMP0334,EMP0126,Mentoring,2025-06-14,35,8.1
INT000094,TEAM004,EMP0334,EMP0126,Code Review,2025-10-10,104,8.1
INT000095,TEAM004,EMP0334,EMP0126,Discussion,2025-11-03,9,5.6
INT000096,TEAM004,EMP0334,EMP0126,Discussion,2025-08-19,4,6.5
INT000097,TEAM004,EMP0334,EMP0126,Discussion,2025-09-30,30,8.2
INT000098,TEAM004,EMP0334,EMP0126,Code Review,2025-05-15,15,5.9
INT000099,TEAM004,EMP0334,EMP0126,Collaboration,2025-07-25,8,8.2
INT000100,TEAM004,EMP0334,EMP0126,Discussion,2025-06-04,7,7.8
INT000101,TEAM004,EMP0334,EMP0126,Mentoring,2025-10-23,30,8.8
INT000102,TEAM004,EMP0334,EMP0126,Collaboration,2025-10-03,10,6.0
INT000103,TEAM004,EMP0334,EMP0144,Mentoring,2025-08-16,30,4.4
INT000104,TEAM004,EMP0334,EMP0144,Collaboration,2025-07-08,39,7.8
INT000105,TEAM004,EMP0334,EMP0144,Pair Programming,2025-08-03,23,7.5
INT000106,TEAM004,EMP0334,EMP0144,Discussion,2025-09-24,16,7.8
INT000107,TEAM004,EMP0334,EMP0144,Pair Programming,2025-06-24,11,7.5
INT000108,TEAM004,EMP0334,EMP0144,Pair Programming,2025-06-21,8,6.7
INT000109,TEAM004,EMP0334,EMP0478,Code Review,2025-07-07,83,8.3
INT000110,TEAM004,EMP0334,EMP0478,Pair Programming,2025-09-05,28,4.0
INT000111,TEAM004,EMP0334,EMP0478,Pair Programming,2025-06-18,16,7.7
INT000112,TEAM004,EMP0334,EMP0478,Pair Programming,2025-09-11,0,6.9
INT000113,TEAM004,EMP0334,EMP0478,Mentoring,2025-08-26,89,6.9
INT000114,TEAM004,EMP0334,EMP0478,Mentoring,2025-09-15,22,8.7
INT000115,TEAM004,EMP0334,EMP0478,Discussion,2025-05-11,10,7.8
INT000116,TEAM004,EMP0334,EMP0366,Collaboration,2025-08-10,11,7.6
INT000117,TEAM004,EMP0334,EMP0366,Pair Programming,2025-08-29,31,7.0
INT000118,TEAM004,EMP0334,EMP0366,Collaboration,2025-10-07,30,7.3
INT000119,TEAM004,EMP0334,EMP0366,Collaboration,2025-05-18,2,7.1
INT000120,TEAM004,EMP0334,EMP0366,Discussion,2025-08-02,11,7.3
INT000121,TEAM004,EMP0334,EMP0366,Brainstorming,2025-08-11,13,7.2
INT000122,TEAM004,EMP0334,EMP0366,Pair Programming,2025-10-01,11,7.4
INT000123,TEAM004,EMP0334,EMP0366,Pair Programming,2025-10-28,23,7.0
INT000124,TEAM004,EMP0334,EMP0366,Pair Programming,2025-10-18,4,6.5
INT000125,TEAM004,EMP0334,EMP0366,Mentoring,2025-07-17,15,6.9
INT000126,TEAM004,EMP0334,EMP0366,Mentoring,2025-09-03,16,6.6
INT000127,TEAM004,EMP0334,EMP0488,Brainstorming,2025-09-17,9,7.9
INT000128,TEAM004,EMP0334,EMP0488,Pair Programming,2025-06-23,4,9.3
INT000129,TEAM004,EMP0334,EMP0488,Mentoring,2025-06-17,28,6.1
INT000130,TEAM004,EMP0334,EMP0488,Code Review,2025-08-30,14,7.7
INT000131,TEAM004,EMP0334,EMP0488,Collaboration,2025-10-11,2,5.5
INT000132,TEAM004,EMP0444,EMP0126,Mentoring,2025-10-26,102,7.6
INT000133,TEAM004,EMP0444,EMP0126,Code Review,2025-06-25,44,6.1
INT000134,TEAM004,EMP0444,EMP0126,Code Review,2025-05-28,11,8.5
INT000135,TEAM004,EMP0444,EMP0126,Meeting,2025-10-25,31,5.8
INT000136,TEAM004,EMP0444,EMP0126,Pair Programming,2025-07-25,17,6.3
INT000137,TEAM004,EMP0444,EMP0164,Meeting,2025-10-03,39,9.5
INT000138,TEAM004,EMP0444,EMP0164,Code Review,2025-06-20,35,6.2
INT000139,TEAM004,EMP0444,EMP0164,Mentoring,2025-07-26,42,6.8
INT000140,TEAM004,EMP0444,EMP0164,Discussion,2025-07-09,17,7.0
INT000141,TEAM004,EMP0444,EMP0164,Code Review,2025-05-25,11,7.9
INT000142,TEAM004,EMP0444,EMP0164,Pair Programming,2025-08-26,6,7.5
INT000143,TEAM004,EMP0444,EMP0150,Brainstorming,2025-10-23,3,6.9
INT000144,TEAM004,EMP0444,EMP0150,Mentoring,2025-10-16,53,8.3
INT000145,TEAM004,EMP0444,EMP0150,Code Review,2025-06-14,56,5.9
INT000146,TEAM004,EMP0444,EMP0150,Mentoring,2025-06-24,46,4.2
INT000147,TEAM004,EMP0444,EMP0366,Meeting,2025-09-23,30,6.2
INT000148,TEAM004,EMP0444,EMP0366,Brainstorming,2025-07-29,3,4.1
INT000149,TEAM004,EMP0444,EMP0366,Code Review,2025-07-04,17,7.6
INT000150,TEAM004,EMP0444,EMP0366,Meeting,2025-08-25,30,7.1
INT000151,TEAM004,EMP0444,EMP0366,Pair Programming,2025-11-05,11,7.0
INT000152,TEAM004,EMP0444,EMP0366,Collaboration,2025-06-15,10,7.4
INT000153,TEAM004,EMP0444,EMP0488,Pair Programming,2025-08-14,21,7.6
INT000154,TEAM004,EMP0444,EMP0488,Mentoring,2025-07-14,42,4.1
INT000155,TEAM004,EMP0444,EMP0488,Collaboration,2025-06-21,6,6.1
INT000156,TEAM004,EMP0444,EMP0488,Code Review,2025-07-04,54,8.4
INT000157,TEAM004,EMP0444,EMP0488,Discussion,2025-07-01,16,8.3
INT000158,TEAM004,EMP0444,EMP0488,Code Review,2025-08-30,102,9.0
INT000159,TEAM004,EMP0444,EMP0488,Pair Programming,2025-10-10,11,8.8
INT000160,TEAM004,EMP0444,EMP0488,Mentoring,2025-09-27,20,8.5
INT000161,TEAM004,EMP0444,EMP0488,Mentoring,2025-07-13,19,4.5
INT000162,TEAM004,EMP0444,EMP0207,Meeting,2025-09-21,47,5.4
INT000163,TEAM004,EMP0126,EMP0150,Code Review,2025-09-19,57,7.0
INT000164,TEAM004,EMP0126,EMP0150,Brainstorming,2025-06-04,6,8.6
INT000165,TEAM004,EMP0126,EMP0150,Discussion,2025-05-28,7,8.4
INT000166,TEAM004,EMP0126,EMP0150,Collaboration,2025-07-21,46,5.0
INT000167,TEAM004,EMP0126,EMP0150,Meeting,2025-08-16,40,7.4
INT000168,TEAM004,EMP0126,EMP0150,Mentoring,2025-07-28,70,8.6
INT000169,TEAM004,EMP0126,EMP0150,Code Review,2025-10-14,42,5.0
INT000170,TEAM004,EMP0126,EMP0150,Discussion,2025-10-03,5,5.3
INT000171,TEAM004,EMP0126,EMP0396,Meeting,2025-09-05,55,6.6
INT000172,TEAM004,EMP0126,EMP0396,Discussion,2025-09-02,15,6.9
INT000173,TEAM004,EMP0126,EMP0396,Discussion,2025-09-08,5,6.2
INT000174,TEAM004,EMP0126,EMP0396,Pair Programming,2025-08-31,26,6.7
INT000175,TEAM004,EMP0126,EMP0396,Collaboration,2025-08-22,16,6.9
INT000176,TEAM004,EMP0126,EMP0478,Pair Programming,2025-05-24,3,7.1
INT000177,TEAM004,EMP0126,EMP0478,Code Review,2025-05-14,33,6.9
INT000178,TEAM004,EMP0126,EMP0478,Mentoring,2025-10-23,29,6.4
INT000179,TEAM004,EMP0126,EMP0478,Discussion,2025-10-08,4,6.3
INT000180,TEAM004,EMP0126,EMP0478,Code Review,2025-08-21,61,8.8
INT000181,TEAM004,EMP0126,EMP0478,Mentoring,2025-07-27,27,4.6
INT000182,TEAM004,EMP0126,EMP0478,Mentoring,2025-07-02,41,9.0
INT000183,TEAM004,EMP0144,EMP0150,Code Review,2025-09-12,37,5.3
INT000184,TEAM004,EMP0144,EMP0150,Discussion,2025-10-04,11,7.6
INT000185,TEAM004,EMP0144,EMP0150,Discussion,2025-09-29,8,9.1
INT000186,TEAM004,EMP0144,EMP0150,Pair Programming,2025-06-05,22,7.4
INT000187,TEAM004,EMP0144,EMP0150,Mentoring,2025-07-24,17,6.4
INT000188,TEAM004,EMP0144,EMP0396,Brainstorming,2025-07-10,15,8.1
INT000189,TEAM004,EMP0144,EMP0396,Brainstorming,2025-06-23,20,6.5
INT000190,TEAM004,EMP0144,EMP0396,Brainstorming,2025-05-21,9,8.4
INT000191,TEAM004,EMP0144,EMP0254,Mentoring,2025-09-05,41,7.4
INT000192,TEAM004,EMP0144,EMP0254,Brainstorming,2025-06-08,30,7.5
INT000193,TEAM004,EMP0144,EMP0254,Collaboration,2025-10-18,35,5.2
INT000194,TEAM004,EMP0144,EMP0254,Collaboration,2025-07-16,25,6.8
INT000195,TEAM004,EMP0144,EMP0366,Meeting,2025-06-16,32,5.7
INT000196,TEAM004,EMP0144,EMP0366,Brainstorming,2025-10-23,28,6.8
INT000197,TEAM004,EMP0144,EMP0366,Collaboration,2025-06-20,34,8.2
INT000198,TEAM004,EMP0144,EMP0366,Collaboration,2025-09-17,0,5.8
INT000199,TEAM004,EMP0144,EMP0366,Code Review,2025-06-23,40,6.2
INT000200,TEAM004,EMP0144,EMP0366,Pair Programming,2025-09-26,53,7.2
INT000201,TEAM004,EMP0144,EMP0366,Discussion,2025-06-27,32,5.6
INT000202,TEAM004,EMP0144,EMP0366,Mentoring,2025-10-09,20,7.3
INT000203,TEAM004,EMP0144,EMP0488,Discussion,2025-06-11,24,4.5
INT000204,TEAM004,EMP0144,EMP0488,Collaboration,2025-10-15,8,5.7
INT000205,TEAM004,EMP0144,EMP0488,Brainstorming,2025-07-16,8,7.7
INT000206,TEAM004,EMP0144,EMP0488,Discussion,2025-10-24,19,5.5
INT000207,TEAM004,EMP0144,EMP0207,Discussion,2025-07-24,10,6.3
INT000208,TEAM004,EMP0164,EMP0150,Discussion,2025-06-17,11,7.9
INT000209,TEAM004,EMP0164,EMP0150,Brainstorming,2025-05-19,9,5.7
INT000210,TEAM004,EMP0164,EMP0150,Mentoring,2025-08-21,43,6.9
INT000211,TEAM004,EMP0164,EMP0150,Discussion,2025-11-02,15,7.0
INT000212,TEAM004,EMP0164,EMP0150,Brainstorming,2025-09-03,8,7.6
INT000213,TEAM004,EMP0164,EMP0150,Mentoring,2025-11-07,35,3.0
INT000214,TEAM004,EMP0164,EMP0396,Meeting,2025-10-20,36,7.3
INT000215,TEAM004,EMP0164,EMP0396,Pair Programming,2025-07-22,8,5.6
INT000216,TEAM004,EMP0164,EMP0396,Meeting,2025-05-12,65,5.1
INT000217,TEAM004,EMP0164,EMP0396,Meeting,2025-06-22,49,8.7
INT000218,TEAM004,EMP0164,EMP0396,Discussion,2025-10-21,19,8.6
INT000219,TEAM004,EMP0164,EMP0396,Pair Programming,2025-10-30,8,7.4
INT000220,TEAM004,EMP0164,EMP0396,Code Review,2025-07-26,28,6.7
INT000221,TEAM004,EMP0164,EMP0207,Discussion,2025-08-02,1,6.2
INT000222,TEAM004,EMP0164,EMP0207,Discussion,2025-08-03,1,6.6
INT000223,TEAM004,EMP0164,EMP0207,Mentoring,2025-10-18,18,6.1
INT000224,TEAM004,EMP0164,EMP0207,Brainstorming,2025-05-22,40,7.1
INT000225,TEAM004,EMP0164,EMP0207,Code Review,2025-06-22,17,8.3
INT000226,TEAM004,EMP0164,EMP0207,Brainstorming,2025-05-24,14,8.1
INT000227,TEAM004,EMP0164,EMP0207,Meeting,2025-08-10,56,6.9
INT000228,TEAM004,EMP0164,EMP0207,Collaboration,2025-09-23,14,6.4
INT000229,TEAM004,EMP0150,EMP0396,Mentoring,2025-10-06,26,6.1
INT000230,TEAM004,EMP0150,EMP0396,Brainstorming,2025-09-11,2,6.5
INT000231,TEAM004,EMP0150,EMP0396,Brainstorming,2025-11-07,3,6.8
INT000232,TEAM004,EMP0150,EMP0396,Pair Programming,2025-11-02,1,4.2
INT000233,TEAM004,EMP0150,EMP0396,Mentoring,2025-07-12,52,6.5
INT000234,TEAM004,EMP0150,EMP0478,Brainstorming,2025-08-02,1,8.0
INT000235,TEAM004,EMP0150,EMP0478,Code Review,2025-09-10,9,5.9
INT000236,TEAM004,EMP0150,EMP0478,Pair Programming,2025-07-13,8,6.0
INT000237,TEAM004,EMP0150,EMP0478,Pair Programming,2025-09-29,10,6.9
INT000238,TEAM004,EMP0150,EMP0478,Mentoring,2025-09-20,47,8.6
INT000239,TEAM004,EMP0150,EMP0488,Discussion,2025-05-22,7,4.9
INT000240,TEAM004,EMP0150,EMP0488,Brainstorming,2025-06-03,19,7.8
INT000241,TEAM004,EMP0396,EMP0478,Meeting,2025-10-21,21,8.9
INT000242,TEAM004,EMP0396,EMP0478,Meeting,2025-06-08,13,6.3
INT000243,TEAM004,EMP0396,EMP0478,Collaboration,2025-07-16,5,4.7
INT000244,TEAM004,EMP0396,EMP0478,Mentoring,2025-05-19,44,4.8
INT000245,TEAM004,EMP0396,EMP0478,Code Review,2025-10-26,119,4.9
INT000246,TEAM004,EMP0396,EMP0478,Discussion,2025-10-27,13,7.6
INT000247,TEAM004,EMP0396,EMP0478,Code Review,2025-07-18,38,9.3
INT000248,TEAM004,EMP0396,EMP0478,Code Review,2025-06-22,39,6.4
INT000249,TEAM004,EMP0396,EMP0207,Code Review,2025-08-25,8,5.6
INT000250,TEAM004,EMP0396,EMP0207,Pair Programming,2025-06-13,10,5.0
INT000251,TEAM004,EMP0396,EMP0207,Collaboration,2025-06-13,9,7.3
INT000252,TEAM004,EMP0396,EMP0207,Brainstorming,2025-05-19,3,5.7
INT000253,TEAM004,EMP0396,EMP0207,Code Review,2025-08-17,50,4.0
INT000254,TEAM004,EMP0396,EMP0207,Code Review,2025-08-22,42,6.8
INT000255,TEAM004,EMP0396,EMP0207,Collaboration,2025-05-22,7,9.2
INT000256,TEAM004,EMP0254,EMP0478,Pair Programming,2025-08-23,17,8.2
INT000257,TEAM004,EMP0254,EMP0478,Collaboration,2025-10-23,68,9.2
INT000258,TEAM004,EMP0478,EMP0488,Meeting,2025-07-04,35,7.4
INT000259,TEAM004,EMP0478,EMP0488,Mentoring,2025-08-11,53,6.5
INT000260,TEAM004,EMP0478,EMP0488,Discussion,2025-05-20,29,6.3
INT000261,TEAM004,EMP0478,EMP0488,Pair Programming,2025-06-26,28,4.9
INT000262,TEAM004,EMP0478,EMP0488,Discussion,2025-05-13,7,7.7
INT000263,TEAM004,EMP0478,EMP0207,Discussion,2025-08-23,8,4.9
INT000264,TEAM004,EMP0478,EMP0207,Brainstorming,2025-09-21,59,6.2
INT000265,TEAM004,EMP0478,EMP0207,Discussion,2025-06-23,9,5.9
INT000266,TEAM004,EMP0478,EMP0207,Brainstorming,2025-09-07,41,7.4
INT000267,TEAM004,EMP0478,EMP0207,Pair Programming,2025-09-11,4,8.2
INT000268,TEAM004,EMP0478,EMP0207,Brainstorming,2025-10-02,7,7.8
INT000269,TEAM004,EMP0366,EMP0488,Collaboration,2025-10-24,33,6.5
INT000270,TEAM004,EMP0366,EMP0488,Discussion,2025-07-25,13,7.9
INT000271,TEAM004,EMP0366,EMP0488,Collaboration,2025-06-18,6,4.9
INT000272,TEAM004,EMP0366,EMP0488,Discussion,2025-10-04,15,6.2
INT000273,TEAM004,EMP0366,EMP0207,Pair Programming,2025-09-16,19,7.7
INT000274,TEAM004,EMP0366,EMP0207,Meeting,2025-05-26,43,7.7
INT000275,TEAM004,EMP0366,EMP0207,Brainstorming,2025-07-15,32,8.6
INT000276,TEAM004,EMP0366,EMP0207,Meeting,2025-08-05,29,6.4
INT000277,TEAM004,EMP0488,EMP0207,Meeting,2025-09-20,109,7.8
INT000278,TEAM004,EMP0488,EMP0207,Discussion,2025-08-31,13,7.3
INT000279,TEAM004,EMP0488,EMP0207,Collaboration,2025-05-19,6,6.6
INT000280,TEAM004,EMP0488,EMP0207,Meeting,2025-06-06,60,8.6
INT000281,TEAM004,EMP0488,EMP0207,Code Review,2025-10-20,31,4.3
INT000282,TEAM004,EMP0488,EMP0207,Mentoring,2025-06-10,7,8.4
INT000283,TEAM004,EMP0488,EMP0207,Collaboration,2025-05-20,10,6.1
INT000284,TEAM005,EMP0248,EMP0362,Brainstorming,2025-09-15,8,6.7
INT000285,TEAM005,EMP0248,EMP0362,Pair Programming,2025-08-14,50,3.8
INT000286,TEAM005,EMP0248,EMP0362,Code Review,2025-11-04,31,7.4
INT000287,TEAM005,EMP0248,EMP0430,Code Review,2025-07-08,83,6.5
INT000288,TEAM005,EMP0248,EMP0430,Collaboration,2025-05-13,20,5.9
INT000289,TEAM005,EMP0248,EMP0430,Code Review,2025-05-11,71,6.8
INT000290,TEAM005,EMP0248,EMP0292,Collaboration,2025-09-07,13,7.7
INT000291,TEAM005,EMP0248,EMP0292,Brainstorming,2025-08-17,13,6.6
INT000292,TEAM005,EMP0248,EMP0292,Discussion,2025-08-27,7,7.8
INT000293,TEAM005,EMP0248,EMP0292,Collaboration,2025-07-11,10,5.2
INT000294,TEAM005,EMP0248,EMP0292,Pair Programming,2025-05-25,17,6.4
INT000295,TEAM005,EMP0248,EMP0292,Pair Programming,2025-08-21,8,7.3
INT000296,TEAM005,EMP0248,EMP0292,Collaboration,2025-08-07,10,7.4
INT000297,TEAM005,EMP0248,EMP0292,Discussion,2025-07-03,8,7.7
INT000298,TEAM005,EMP0248,EMP0016,Brainstorming,2025-07-10,20,6.1
INT000299,TEAM005,EMP0248,EMP0016,Code Review,2025-08-18,75,8.7
INT000300,TEAM005,EMP0248,EMP0016,Pair Programming,2025-08-05,6,4.2
INT000301,TEAM005,EMP0248,EMP0016,Meeting,2025-07-25,30,8.1
INT000302,TEAM005,EMP0362,EMP0277,Mentoring,2025-09-12,39,7.1
INT000303,TEAM005,EMP0362,EMP0277,Meeting,2025-10-01,28,8.2
INT000304,TEAM005,EMP0362,EMP0277,Collaboration,2025-09-02,6,6.6
INT000305,TEAM005,EMP0362,EMP0277,Collaboration,2025-06-11,13,9.0
INT000306,TEAM005,EMP0362,EMP0277,Pair Programming,2025-07-24,7,7.0
INT000307,TEAM005,EMP0362,EMP0277,Code Review,2025-09-29,38,6.1
INT000308,TEAM005,EMP0362,EMP0277,Code Review,2025-08-15,25,5.0
INT000309,TEAM005,EMP0362,EMP0277,Collaboration,2025-08-02,12,4.8
INT000310,TEAM005,EMP0362,EMP0277,Discussion,2025-09-06,3,8.4
INT000311,TEAM005,EMP0362,EMP0277,Mentoring,2025-06-20,23,7.2
INT000312,TEAM005,EMP0362,EMP0430,Mentoring,2025-07-05,104,5.9
INT000313,TEAM005,EMP0362,EMP0430,Mentoring,2025-05-27,19,4.7
INT000314,TEAM005,EMP0362,EMP0430,Discussion,2025-07-05,20,8.3
INT000315,TEAM005,EMP0362,EMP0430,Mentoring,2025-09-25,34,6.4
INT000316,TEAM005,EMP0362,EMP0016,Discussion,2025-06-21,4,8.6
INT000317,TEAM005,EMP0362,EMP0016,Collaboration,2025-09-21,17,8.1
INT000318,TEAM005,EMP0362,EMP0016,Meeting,2025-05-27,41,8.3
INT000319,TEAM005,EMP0362,EMP0016,Meeting,2025-06-26,42,6.1
INT000320,TEAM005,EMP0277,EMP0430,Meeting,2025-05-20,26,6.3
INT000321,TEAM005,EMP0277,EMP0430,Discussion,2025-11-06,29,5.4
INT000322,TEAM005,EMP0277,EMP0430,Brainstorming,2025-10-03,27,7.0
INT000323,TEAM005,EMP0277,EMP0430,Code Review,2025-05-30,38,7.9
INT000324,TEAM005,EMP0277,EMP0430,Mentoring,2025-10-21,35,5.7
INT000325,TEAM005,EMP0277,EMP0430,Meeting,2025-09-30,13,6.7
INT000326,TEAM005,EMP0277,EMP0430,Collaboration,2025-09-13,14,7.8
INT000327,TEAM005,EMP0277,EMP0430,Pair Programming,2025-07-14,16,4.2
INT000328,TEAM005,EMP0277,EMP0430,Collaboration,2025-10-23,6,6.0
INT000329,TEAM005,EMP0409,EMP0016,Collaboration,2025-06-24,7,4.6
INT000330,TEAM005,EMP0409,EMP0016,Meeting,2025-07-25,71,4.4
INT000331,TEAM005,EMP0409,EMP0016,Collaboration,2025-11-03,7,5.6
INT000332,TEAM005,EMP0409,EMP0016,Collaboration,2025-08-29,2,6.5
