enrollment_id,learner_id,course_id,enroll_date,completion_date,is_completed,progress_pct,time_spent_hours,video_watch_pct,quiz_score_avg,num_quiz_attempts,assignments_completed,user_rating,days_to_complete
ENR000085,LRN00022,CRS0150,2024-11-25,,0,7,4.2,17.5,,0,2,,
ENR000086,LRN00022,CRS0125,2024-11-18,2025-01-11,1,100,83.9,93.3,73.5,5,33,3.6,54.0
ENR000087,LRN00022,CRS0033,2025-02-28,,0,12,5.0,0.9,,0,3,,
ENR000088,LRN00022,CRS0113,2025-03-30,,0,16,1.6,5.7,,0,1,,
ENR000089,LRN00022,CRS0143,2024-11-09,,0,22,1.2,14.4,67.9,1,0,,
ENR000090,LRN00023,CRS0033,2024-04-02,,0,36,15.6,46.6,51.2,1,11,,
ENR000091,LRN00023,CRS0046,2024-06-03,,0,39,9.0,44.4,79.0,1,3,,
ENR000092,LRN00023,CRS0188,2024-06-22,2024-07-16,1,100,26.7,98.8,39.4,5,12,3.7,24.0
ENR000093,LRN00024,CRS0093,2024-03-28,,0,15,3.2,3.1,,0,2,,
ENR000094,LRN00024,CRS0168,2024-04-02,,0,26,1.9,21.1,31.2,1,1,,
ENR000095,LRN00024,CRS0184,2024-06-20,2024-10-06,1,100,79.7,100.0,42.9,5,25,4.9,108.0
ENR000096,LRN00025,CRS0172,2024-08-03,,0,33,1.8,36.9,94.0,1,1,,
ENR000097,LRN00025,CRS0011,2024-12-05,,0,47,17.0,41.0,80.1,2,6,,
ENR000098,LRN00026,CRS0069,2024-12-07,,0,32,1.8,38.1,77.8,1,1,,
ENR000099,LRN00027,CRS0028,2024-12-03,,0,32,5.7,27.2,21.1,1,3,,
ENR000100,LRN00027,CRS0051,2024-12-15,,0,14,10.8,1.6,,0,4,,
ENR000101,LRN00028,CRS0060,2024-10-23,,0,41,26.1,55.7,86.7,2,9,,
ENR000102,LRN00028,CRS0116,2024-09-21,,0,13,8.8,21.1,,0,4,,
ENR000103,LRN00028,CRS0097,2024-09-30,2024-10-12,1,100,13.9,100.0,40.0,5,6,3.9,12.0
ENR000104,LRN00028,CRS0093,2024-09-16,,0,5,1.0,0.0,,0,0,,
ENR000105,LRN00028,CRS0084,2024-10-01,2024-10-15,1,100,11.9,90.6,90.0,5,4,3.6,14.0
ENR000106,LRN00028,CRS0103,2024-10-10,,0,19,5.5,15.6,,0,4,,
ENR000107,LRN00029,CRS0038,2024-01-21,,0,40,24.8,49.5,76.8,2,9,,
ENR000108,LRN00029,CRS0010,2024-05-26,2024-06-05,1,100,10.1,100.0,61.6,5,6,4.2,10.0
ENR000109,LRN00029,CRS0006,2024-04-02,2024-04-07,1,100,5.7,89.1,68.6,5,2,4.2,5.0
ENR000110,LRN00029,CRS0138,2024-02-27,2024-05-13,1,100,79.0,100.0,44.9,5,30,3.7,76.0
ENR000111,LRN00029,CRS0018,2024-02-27,,0,8,0.6,4.3,,0,0,,
ENR000112,LRN00029,CRS0017,2024-02-26,,0,38,4.8,26.8,85.5,1,3,,
ENR000113,LRN00029,CRS0024,2023-12-24,,0,75,29.5,63.4,70.1,3,11,,
ENR000114,LRN00029,CRS0020,2024-03-27,2024-06-12,1,100,59.8,100.0,59.2,5,25,4.3,77.0
ENR000115,LRN00029,CRS0025,2024-05-06,,0,11,1.6,2.3,,0,0,,
ENR000116,LRN00029,CRS0031,2024-05-10,2024-08-19,1,100,78.9,100.0,68.6,5,31,4.6,101.0
ENR000117,LRN00030,CRS0008,2025-04-16,,0,29,1.7,41.6,40.9,1,1,,
ENR000118,LRN00031,CRS0027,2024-07-27,,0,46,15.0,42.1,40.3,2,6,,
ENR000119,LRN00031,CRS0030,2024-09-25,,0,20,14.4,20.4,,0,6,,
ENR000120,LRN00031,CRS0013,2024-11-08,,0,46,10.5,57.9,77.2,2,5,,
ENR000121,LRN00031,CRS0051,2024-10-04,,0,46,15.0,60.7,31.5,2,13,,
ENR000122,LRN00031,CRS0019,2024-07-28,2024-09-25,1,100,58.4,97.8,92.4,5,20,4.4,59.0
ENR000123,LRN00031,CRS0035,2024-11-12,2024-11-24,1,100,11.7,87.3,62.0,5,5,4.7,12.0
ENR000124,LRN00031,CRS0015,2024-09-30,,0,10,2.9,8.9,,0,1,,
ENR000125,LRN00032,CRS0022,2025-02-17,2025-07-20,1,100,67.5,96.3,61.1,5,27,4.2,153.0
ENR000126,LRN00033,CRS0085,2025-10-08,,0,29,9.4,27.8,71.3,1,3,,
ENR000127,LRN00033,CRS0161,2025-11-14,,0,26,13.0,13.2,38.1,1,7,,
ENR000128,LRN00034,CRS0056,2026-02-16,2026-04-10,1,100,28.2,100.0,67.1,5,14,2.2,53.0
ENR000129,LRN00034,CRS0052,2026-03-07,,0,10,3.7,2.4,,0,1,,
ENR000130,LRN00034,CRS0178,2025-10-04,2025-11-18,1,100,22.8,100.0,48.1,5,11,3.5,45.0
ENR000131,LRN00034,CRS0053,2025-10-10,,0,31,1.5,17.9,88.0,1,1,,
ENR000132,LRN00035,CRS0103,2025-05-06,,0,15,6.1,11.4,,0,3,,
ENR000133,LRN00035,CRS0113,2025-09-01,2025-09-11,1,100,15.8,89.7,47.3,5,8,4.6,10.0
ENR000134,LRN00035,CRS0096,2025-08-26,,0,24,1.9,37.0,75.2,1,1,,
ENR000135,LRN00035,CRS0106,2025-04-10,2025-04-30,1,100,22.5,100.0,38.3,5,12,4.6,20.0
ENR000136,LRN00035,CRS0114,2025-07-18,2025-08-31,1,100,50.2,100.0,75.4,5,18,4.2,44.0
ENR000137,LRN00035,CRS0109,2025-04-27,,0,19,3.9,15.6,,0,2,,
ENR000138,LRN00036,CRS0027,2025-04-07,2025-05-12,1,100,35.0,100.0,61.8,5,14,3.1,35.0
ENR000139,LRN00037,CRS0099,2025-03-16,,0,9,0.3,15.9,,0,0,,
ENR000140,LRN00038,CRS0191,2024-08-16,2024-09-04,1,100,13.9,99.8,89.5,5,7,4.3,19.0
ENR000141,LRN00039,CRS0097,2025-11-30,,0,2,0.2,0.0,,0,0,,
ENR000142,LRN00039,CRS0105,2025-10-06,,0,17,1.5,3.4,,0,0,,
ENR000143,LRN00040,CRS0013,2025-10-04,,0,43,13.6,57.2,29.7,2,5,,
ENR000144,LRN00040,CRS0022,2025-05-14,,0,14,5.0,24.7,,0,3,,
ENR000145,LRN00041,CRS0155,2025-06-05,,0,15,9.3,16.8,,0,3,,
ENR000146,LRN00041,CRS0001,2025-05-09,,0,33,2.2,27.5,75.3,1,1,,
ENR000147,LRN00041,CRS0148,2025-01-09,,0,9,0.3,19.0,,0,0,,
ENR000148,LRN00041,CRS0123,2025-01-21,,0,18,5.5,30.7,,0,4,,
ENR000149,LRN00041,CRS0154,2025-05-06,,0,45,3.8,48.9,69.6,2,2,,
ENR000150,LRN00041,CRS0128,2025-06-19,,0,41,13.2,32.2,60.4,2,7,,
ENR000151,LRN00041,CRS0131,2025-01-10,,0,24,2.2,25.4,69.7,1,0,,
ENR000152,LRN00042,CRS0024,2024-06-09,,0,48,16.5,41.9,75.0,2,7,,
ENR000153,LRN00042,CRS0173,2024-04-06,,0,25,13.5,27.9,84.2,1,6,,
ENR000154,LRN00042,CRS0169,2024-07-13,,0,28,3.1,30.9,75.7,1,2,,
ENR000155,LRN00043,CRS0044,2025-04-25,2025-08-26,1,100,42.8,100.0,42.3,5,20,3.3,123.0
ENR000156,LRN00044,CRS0144,2024-05-01,,0,19,10.9,26.0,,0,5,,
ENR000157,LRN00045,CRS0170,2025-05-01,,0,34,1.8,27.4,76.5,1,1,,
ENR000158,LRN00045,CRS0151,2025-03-10,,0,16,11.5,28.0,,0,5,,
ENR000159,LRN00045,CRS0041,2025-04-18,2025-05-20,1,100,28.1,95.6,78.0,5,11,2.9,32.0
ENR000160,LRN00045,CRS0128,2024-12-02,,0,21,6.6,26.8,79.0,1,4,,
ENR000161,LRN00045,CRS0136,2024-12-31,2025-03-25,1,100,66.3,100.0,81.7,5,28,4.4,84.0
ENR000162,LRN00045,CRS0157,2025-02-24,,0,36,11.4,35.1,60.4,1,5,,
ENR000163,LRN00045,CRS0153,2025-01-09,2025-04-20,1,100,76.5,85.1,58.9,5,28,4.4,101.0
ENR000164,LRN00045,CRS0134,2024-11-14,,0,12,1.5,16.9,,0,0,,
ENR000165,LRN00046,CRS0066,2025-07-09,2025-09-05,1,100,15.1,97.5,65.4,5,7,4.7,58.0
ENR000166,LRN00046,CRS0130,2025-05-25,2025-08-06,1,100,18.0,92.2,34.2,5,11,3.8,73.0
ENR000167,LRN00047,CRS0096,2025-04-19,2025-05-14,1,100,13.7,100.0,66.9,5,8,4.1,25.0
ENR000168,LRN00047,CRS0083,2025-05-22,2025-08-10,1,100,51.8,95.4,62.3,5,21,4.4,80.0
ENR000169,LRN00047,CRS0095,2025-03-27,,0,33,25.4,27.7,88.1,1,10,,
ENR000170,LRN00047,CRS0169,2025-05-21,,0,12,1.8,24.0,,0,1,,
ENR000171,LRN00047,CRS0088,2025-06-24,,0,28,2.8,30.0,24.3,1,2,,
ENR000172,LRN00047,CRS0093,2025-01-25,,0,64,16.4,62.9,45.6,3,9,,
ENR000173,LRN00047,CRS0191,2025-04-21,,0,12,1.7,19.0,,0,0,,
ENR000174,LRN00047,CRS0060,2025-01-27,,0,25,9.9,32.4,63.1,1,6,,
ENR000175,LRN00047,CRS0133,2025-06-04,,0,34,1.9,32.9,88.1,1,1,,
ENR000176,LRN00047,CRS0074,2025-05-22,2025-08-04,1,100,52.3,88.1,58.5,5,24,4.0,74.0
ENR000177,LRN00047,CRS0099,2025-06-09,2025-06-18,1,100,6.9,87.1,44.7,5,4,4.6,9.0
ENR000178,LRN00047,CRS0112,2025-04-01,,0,28,1.5,32.8,53.7,1,1,,
ENR000179,LRN00047,CRS0081,2025-04-22,,0,13,5.4,27.5,,0,2,,
ENR000180,LRN00047,CRS0113,2025-01-24,,0,27,2.3,40.8,78.3,1,2,,
ENR000181,LRN00047,CRS0120,2025-02-03,2025-02-10,1,100,6.8,96.5,37.5,5,3,4.5,7.0
ENR000182,LRN00048,CRS0176,2025-10-27,,0,49,2.0,39.9,51.1,2,2,,
ENR000183,LRN00048,CRS0200,2025-11-11,,0,36,7.5,24.0,77.7,1,5,,
ENR000184,LRN00049,CRS0044,2025-02-25,,0,15,7.8,23.5,,0,3,,
ENR000185,LRN00050,CRS0166,2025-10-19,2025-11-01,1,100,11.2,92.8,61.7,5,4,4.2,13.0
ENR000186,LRN00050,CRS0154,2025-08-12,,0,42,4.0,56.9,71.2,2,2,,
ENR000187,LRN00051,CRS0112,2025-03-31,2025-04-21,1,100,7.2,91.6,41.4,5,4,4.1,21.0
ENR000188,LRN00051,CRS0085,2025-05-16,,0,41,6.9,40.6,67.3,2,4,,
ENR000189,LRN00051,CRS0131,2025-06-13,,0,37,2.5,23.9,51.5,1,1,,
ENR000190,LRN00051,CRS0081,2025-02-08,,0,35,10.6,21.6,58.7,1,7,,
ENR000191,LRN00051,CRS0044,2025-06-13,,0,29,9.5,28.2,45.9,1,6,,
ENR000192,LRN00051,CRS0119,2025-04-22,,0,23,1.6,29.3,70.2,1,1,,
ENR000193,LRN00051,CRS0126,2025-05-23,2025-06-21,1,100,11.6,89.8,58.1,5,7,4.1,29.0
ENR000194,LRN00051,CRS0146,2025-07-20,,0,39,2.1,34.7,64.6,1,1,,
ENR000195,LRN00051,CRS0108,2025-06-28,2025-09-08,1,100,30.1,100.0,61.3,5,12,4.8,72.0
ENR000196,LRN00052,CRS0101,2024-09-29,,0,30,3.4,38.1,51.8,1,2,,
ENR000197,LRN00052,CRS0004,2024-07-29,,0,41,15.3,48.8,61.4,2,11,,
ENR000198,LRN00053,CRS0097,2025-03-03,,0,37,5.0,50.1,72.4,1,2,,
ENR000199,LRN00053,CRS0043,2025-01-01,,0,21,4.6,19.0,55.2,1,3,,
ENR000200,LRN00053,CRS0117,2024-12-23,,0,2,1.5,0.0,,0,0,,
ENR000201,LRN00053,CRS0086,2024-11-19,,0,32,2.4,32.4,49.8,1,1,,
ENR000202,LRN00054,CRS0156,2025-04-07,,0,14,1.0,13.2,,0,0,,
ENR000203,LRN00054,CRS0127,2025-07-22,,0,53,12.1,59.9,20.7,2,8,,
ENR000204,LRN00055,CRS0012,2024-09-21,,0,78,8.5,72.5,48.8,3,6,,
ENR000205,LRN00055,CRS0031,2024-06-24,2024-10-26,1,100,76.7,100.0,60.1,5,31,4.3,124.0
ENR000206,LRN00055,CRS0032,2024-07-16,,0,34,3.9,46.9,54.1,1,3,,
ENR000207,LRN00055,CRS0115,2024-05-10,,0,22,4.5,13.7,74.9,1,3,,
ENR000208,LRN00056,CRS0062,2024-07-24,2024-09-03,1,100,17.5,100.0,62.6,5,7,3.9,41.0
ENR000209,LRN00056,CRS0063,2024-10-11,,0,13,1.1,10.5,,0,0,,
ENR000210,LRN00056,CRS0074,2024-06-05,2024-11-03,1,100,55.2,100.0,46.8,5,24,4.7,151.0
ENR000211,LRN00057,CRS0148,2025-05-09,2025-05-12,1,100,6.6,88.5,82.8,5,4,4.5,3.0
ENR000212,LRN00057,CRS0190,2025-02-24,,0,7,2.4,10.2,,0,1,,
ENR000213,LRN00057,CRS0047,2025-01-06,,0,26,2.0,26.9,59.2,1,1,,
ENR000214,LRN00057,CRS0126,2025-02-13,2025-02-19,1,100,16.1,100.0,71.1,5,7,4.4,6.0
ENR000215,LRN00057,CRS0091,2024-12-21,,0,26,1.9,29.1,73.2,1,1,,
ENR000216,LRN00057,CRS0180,2025-04-02,2025-05-08,1,100,75.0,100.0,51.6,5,25,3.3,36.0
ENR000217,LRN00057,CRS0149,2025-04-04,,0,11,0.4,11.7,,0,0,,
ENR000218,LRN00057,CRS0096,2025-05-06,2025-05-14,1,100,18.0,100.0,77.4,5,8,3.8,8.0
ENR000219,LRN00057,CRS0140,2025-05-18,,0,8,3.2,7.6,,0,1,,
ENR000220,LRN00057,CRS0145,2025-02-06,,0,26,8.3,29.3,63.0,1,4,,
ENR000221,LRN00057,CRS0102,2025-05-04,,0,36,14.0,31.5,62.9,1,9,,
ENR000222,LRN00057,CRS0064,2025-04-21,,0,30,8.8,43.2,47.1,1,6,,
ENR000223,LRN00057,CRS0083,2025-04-20,,0,31,17.9,30.6,63.1,1,6,,
ENR000224,LRN00057,CRS0004,2025-03-11,,0,40,18.1,32.4,68.9,2,11,,
ENR000225,LRN00057,CRS0104,2025-03-27,,0,21,1.3,9.3,68.3,1,0,,
ENR000226,LRN00058,CRS0073,2025-10-09,2025-11-09,1,100,30.3,99.1,32.0,5,16,4.7,31.0
ENR000227,LRN00058,CRS0061,2025-11-17,,0,30,9.3,21.3,53.0,1,7,,
ENR000228,LRN00058,CRS0066,2026-02-05,2026-02-17,1,100,14.3,93.4,48.4,5,7,3.2,12.0
ENR000229,LRN00058,CRS0048,2026-01-03,,0,30,19.7,39.8,76.1,1,6,,
ENR000230,LRN00059,CRS0169,2026-01-23,,0,63,11.8,63.2,70.1,3,6,,
ENR000231,LRN00059,CRS0173,2025-12-17,,0,43,23.2,52.3,67.6,2,11,,
ENR000232,LRN00059,CRS0163,2025-09-24,2025-10-17,1,100,15.5,100.0,52.5,5,6,4.6,23.0
ENR000233,LRN00060,CRS0196,2024-09-18,2024-11-17,1,100,34.2,93.3,38.6,5,13,4.2,60.0
ENR000234,LRN00061,CRS0070,2024-10-28,2024-11-05,1,100,11.3,93.8,81.1,5,7,4.5,8.0
ENR000235,LRN00061,CRS0016,2024-10-14,2024-11-12,1,100,44.5,88.6,63.6,5,18,3.0,29.0
ENR000236,LRN00061,CRS0003,2024-11-05,,0,37,3.7,35.0,52.6,1,1,,
ENR000237,LRN00061,CRS0128,2024-11-16,,0,27,12.3,35.7,64.4,1,5,,
ENR000238,LRN00061,CRS0040,2024-09-17,,0,21,8.2,24.0,69.6,1,4,,
ENR000239,LRN00061,CRS0034,2024-07-24,2024-10-02,1,100,69.6,100.0,69.3,5,29,4.5,70.0
ENR000240,LRN00061,CRS0024,2024-09-18,2024-10-20,1,100,42.4,94.6,36.1,5,15,4.4,32.0
ENR000241,LRN00061,CRS0011,2024-07-21,2024-08-18,1,100,38.7,87.4,73.8,5,12,4.3,28.0
ENR000242,LRN00062,CRS0150,2025-08-29,,0,15,10.7,2.4,,0,4,,
ENR000243,LRN00062,CRS0130,2025-10-28,,0,39,4.3,44.7,37.6,1,4,,
ENR000244,LRN00063,CRS0129,2024-12-27,2025-03-05,1,100,25.6,100.0,41.5,5,8,3.4,68.0
ENR000245,LRN00063,CRS0099,2024-09-10,,0,7,0.5,4.9,,0,0,,
ENR000246,LRN00064,CRS0154,2026-01-08,2026-01-20,1,100,11.2,100.0,65.6,5,5,3.9,12.0
ENR000247,LRN00064,CRS0133,2025-11-09,,0,63,5.4,50.4,64.3,3,3,,
ENR000248,LRN00064,CRS0144,2026-01-17,2026-04-05,1,100,72.2,91.9,38.4,5,31,4.7,78.0
ENR000249,LRN00064,CRS0147,2026-01-24,,0,18,3.5,3.3,,0,2,,
ENR000250,LRN00064,CRS0149,2025-12-07,2025-12-13,1,100,5.8,94.9,75.3,5,4,4.1,6.0
ENR000251,LRN00064,CRS0161,2025-09-06,,0,7,5.5,15.2,,0,2,,
ENR000252,LRN00064,CRS0145,2025-11-27,,0,33,7.0,46.4,37.8,1,5,,
ENR000253,LRN00064,CRS0079,2025-11-09,,0,52,7.1,64.0,49.5,2,3,,
ENR000254,LRN00064,CRS0165,2025-12-06,,0,16,11.5,11.4,,0,5,,
ENR000255,LRN00064,CRS0159,2025-09-26,,0,29,2.3,41.9,66.1,1,2,,
ENR000256,LRN00064,CRS0160,2025-11-02,,0,27,10.7,28.9,36.8,1,6,,
ENR000257,LRN00064,CRS0142,2026-01-05,2026-02-05,1,100,31.0,88.6,48.9,5,12,3.7,31.0
ENR000258,LRN00064,CRS0004,2025-12-31,,0,46,27.1,57.1,60.8,2,13,,
ENR000259,LRN00064,CRS0128,2026-01-07,,0,12,5.3,10.2,,0,2,,
ENR000260,LRN00064,CRS0188,2025-12-21,,0,31,6.6,28.0,73.9,1,3,,
ENR000261,LRN00065,CRS0043,2025-11-26,2025-12-13,1,100,40.0,100.0,61.2,5,16,4.0,17.0
ENR000262,LRN00065,CRS0046,2025-09-03,2025-09-16,1,100,18.2,100.0,78.3,5,8,4.2,13.0
ENR000263,LRN00065,CRS0166,2025-12-08,,0,44,4.5,35.0,65.5,2,2,,
ENR000264,LRN00066,CRS0132,2024-06-30,,0,27,3.0,28.8,78.1,1,2,,
ENR000265,LRN00066,CRS0071,2024-05-31,,0,22,1.5,17.8,49.5,1,0,,
ENR000266,LRN00066,CRS0057,2024-05-17,2024-06-12,1,100,21.6,95.6,72.0,5,9,4.6,26.0
ENR000267,LRN00066,CRS0051,2024-06-10,2024-09-09,1,100,74.2,100.0,61.1,5,28,4.9,91.0
ENR000268,LRN00067,CRS0199,2024-08-02,,0,21,6.8,19.6,51.1,1,3,,
ENR000269,LRN00067,CRS0176,2024-09-15,2024-09-19,1,100,5.1,90.4,50.3,5,5,3.4,4.0
ENR000270,LRN00068,CRS0126,2024-12-22,2025-01-09,1,100,12.9,88.4,45.9,5,7,4.0,18.0
ENR000271,LRN00069,CRS0012,2025-12-19,,0,33,2.5,27.2,73.6,1,2,,
