learner_id,age,primary_interest,learning_style,time_available_weekly,learning_goal,experience_level,joined_date
LRN00089,31,Business,Theoretical,7.9,Career Switch,Intermediate,2024-04-30
LRN00090,31,Programming,Mixed,13.7,Certification,Beginner,2025-03-30
LRN00091,19,Cloud,Theoretical,1.0,Promotion,Intermediate,2024-01-07
LRN00092,24,Design,Visual,15.0,Skill Enhancement,Intermediate,2024-03-25
LRN00093,32,Data Science,Theoretical,15.3,Certification,Advanced,2024-05-30
LRN00094,39,Programming,Visual,5.5,Promotion,Beginner,2025-04-29
LRN00095,22,Business,Visual,3.1,Promotion,Intermediate,2025-07-05
LRN00096,37,Data Science,Visual,3.2,Certification,Beginner,2023-12-15
LRN00097,30,Data Science,Mixed,4.6,Personal Interest,Advanced,2025-01-02
LRN00098,25,Design,Mixed,7.2,Certification,Beginner,2024-06-28
LRN00099,35,Cloud,Hands-on,5.1,Certification,Beginner,2024-02-03
LRN00100,20,Cloud,Hands-on,5.3,Career Switch,Intermediate,2024-08-10
LRN00101,24,Business,Theoretical,10.0,Career Switch,Intermediate,2024-12-07
LRN00102,18,Cloud,Mixed,6.0,Skill Enhancement,Intermediate,2024-04-05
LRN00103,42,Design,Theoretical,9.7,Personal Interest,Advanced,2024-03-31
LRN00104,34,Design,Mixed,4.7,Personal Interest,Beginner,2025-02-06
LRN00105,31,Cloud,Mixed,3.0,Skill Enhancement,Intermediate,2025-08-25
LRN00106,34,Business,Mixed,4.1,Certification,Intermediate,2023-11-29
LRN00107,25,Data Science,Mixed,4.1,Career Switch,Beginner,2024-05-12
LRN00108,30,Cloud,Theoretical,8.2,Career Switch,Intermediate,2025-06-28
LRN00109,44,Cloud,Mixed,2.6,Career Switch,Advanced,2025-05-14
LRN00110,29,Design,Hands-on,6.2,Career Switch,Intermediate,2025-01-10
LRN00111,27,Business,Mixed,7.0,Career Switch,Intermediate,2023-11-18
LRN00112,37,Cloud,Mixed,11.5,Personal Interest,Advanced,2024-05-27
LRN00113,26,Cloud,Visual,9.2,Promotion,Beginner,2025-02-10
LRN00114,28,Business,Hands-on,4.5,Career Switch,Intermediate,2025-06-30
LRN00115,32,Programming,Mixed,6.5,Skill Enhancement,Advanced,2024-12-06
LRN00116,21,Programming,Visual,7.5,Personal Interest,Beginner,2024-12-12
LRN00117,29,Business,Theoretical,10.9,Certification,Beginner,2025-01-31
LRN00118,25,Cloud,Mixed,1.2,Promotion,Advanced,2025-04-07
LRN00119,18,Data Science,Hands-on,3.6,Career Switch,Advanced,2024-09-12
LRN00120,24,Cloud,Hands-on,9.3,Certification,Advanced,2025-05-15
LRN00121,34,Data Science,Mixed,7.3,Personal Interest,Intermediate,2025-01-20
LRN00122,23,Programming,Mixed,4.1,Personal Interest,Advanced,2024-03-28
LRN00123,40,Data Science,Visual,4.3,Certification,Intermediate,2024-02-15
LRN00124,18,Business,Mixed,10.5,Personal Interest,Intermediate,2024-12-03
LRN00125,31,Data Science,Mixed,5.3,Certification,Beginner,2025-02-08
LRN00126,30,Design,Theoretical,3.1,Promotion,Intermediate,2024-12-10
LRN00127,24,Programming,Mixed,6.0,Personal Interest,Beginner,2024-03-08
LRN00128,24,Programming,Mixed,7.2,Personal Interest,Beginner,2024-01-26
LRN00129,34,Business,Hands-on,2.0,Skill Enhancement,Advanced,2025-01-25
LRN00130,18,Data Science,Visual,5.8,Career Switch,Intermediate,2024-07-14
LRN00131,32,Programming,Theoretical,5.9,Skill Enhancement,Beginner,2024-12-10
LRN00132,33,Business,Mixed,7.8,Skill Enhancement,Beginner,2025-05-26
LRN00133,31,Cloud,Theoretical,4.6,Promotion,Advanced,2025-01-02
LRN00134,20,Data Science,Theoretical,5.8,Certification,Intermediate,2024-10-27
LRN00135,36,Programming,Mixed,4.9,Career Switch,Beginner,2025-02-19
LRN00136,30,Design,Theoretical,5.1,Career Switch,Intermediate,2025-09-24
LRN00137,23,Business,Visual,5.0,Certification,Intermediate,2023-11-20
LRN00138,26,Business,Mixed,6.8,Personal Interest,Beginner,2023-11-17
LRN00139,32,Data Science,Mixed,4.5,Career Switch,Advanced,2024-03-13
LRN00140,35,Business,Hands-on,3.8,Career Switch,Advanced,2024-06-20
LRN00141,30,Business,Mixed,13.9,Career Switch,Beginner,2025-08-23
LRN00142,18,Programming,Theoretical,4.4,Certification,Beginner,2025-07-01
LRN00143,19,Data Science,Hands-on,2.6,Certification,Intermediate,2024-09-24
LRN00144,31,Cloud,Mixed,8.8,Promotion,Advanced,2025-05-03
LRN00145,27,Design,Visual,4.8,Certification,Advanced,2024-08-17
LRN00146,28,Business,Visual,3.9,Personal Interest,Beginner,2024-07-11
LRN00147,28,Design,Hands-on,10.1,Personal Interest,Beginner,2024-09-27
LRN00148,30,Cloud,Theoretical,10.1,Career Switch,Intermediate,2024-12-30
LRN00149,35,Data Science,Visual,7.1,Certification,Beginner,2023-11-30
LRN00150,33,Data Science,Visual,19.8,Career Switch,Intermediate,2025-02-01
LRN00151,22,Data Science,Hands-on,1.3,Career Switch,Advanced,2025-03-10
LRN00152,35,Cloud,Hands-on,6.1,Skill Enhancement,Intermediate,2025-05-10
LRN00153,40,Cloud,Visual,10.9,Personal Interest,Beginner,2025-05-28
LRN00154,19,Cloud,Theoretical,8.3,Skill Enhancement,Beginner,2023-12-02
LRN00155,26,Programming,Hands-on,3.0,Career Switch,Intermediate,2025-02-07
LRN00156,31,Cloud,Theoretical,5.8,Career Switch,Beginner,2025-01-10
LRN00157,28,Programming,Hands-on,13.0,Certification,Advanced,2025-06-14
LRN00158,27,Programming,Mixed,4.8,Certification,Intermediate,2024-05-01
LRN00159,23,Cloud,Visual,5.2,Certification,Advanced,2025-02-24
LRN00160,26,Cloud,Visual,1.0,Promotion,Intermediate,2024-06-26
LRN00161,18,Programming,Visual,8.2,Certification,Intermediate,2024-07-29
LRN00162,26,Programming,Mixed,5.4,Certification,Beginner,2025-07-18
LRN00163,25,Business,Hands-on,3.2,Career Switch,Beginner,2024-12-31
LRN00164,31,Cloud,Theoretical,20.1,Certification,Advanced,2024-04-13
LRN00165,26,Business,Mixed,7.8,Promotion,Advanced,2024-07-25
LRN00166,20,Programming,Visual,6.3,Promotion,Advanced,2025-03-02
LRN00167,36,Design,Mixed,5.4,Skill Enhancement,Intermediate,2024-10-26
LRN00168,24,Design,Mixed,3.5,Certification,Advanced,2025-07-03
LRN00169,18,Business,Mixed,1.7,Personal Interest,Advanced,2025-01-20
LRN00170,34,Business,Hands-on,12.1,Certification,Beginner,2025-07-07
LRN00171,24,Programming,Visual,5.8,Certification,Beginner,2024-09-22
LRN00172,29,Data Science,Visual,3.6,Promotion,Advanced,2024-03-12
LRN00173,25,Business,Visual,2.9,Certification,Intermediate,2023-11-27
LRN00174,20,Design,Visual,4.4,Personal Interest,Advanced,2024-11-23
LRN00175,26,Business,Visual,5.6,Promotion,Advanced,2025-03-05
LRN00176,32,Data Science,Mixed,4.8,Skill Enhancement,Beginner,2024-10-15
LRN00177,19,Cloud,Theoretical,11.4,Career Switch,Intermediate,2024-02-29
LRN00178,29,Data Science,Mixed,8.2,Promotion,Advanced,2024-01-19
LRN00179,23,Cloud,Visual,6.6,Promotion,Advanced,2025-01-08
LRN00180,28,Programming,Hands-on,3.3,Personal Interest,Advanced,2024-11-26
LRN00181,27,Business,Theoretical,4.7,Career Switch,Beginner,2025-05-15
LRN00182,49,Cloud,Mixed,3.9,Career Switch,Beginner,2023-12-30
LRN00183,29,Programming,Visual,2.6,Promotion,Beginner,2024-09-18
LRN00184,34,Design,Mixed,10.7,Personal Interest,Beginner,2024-09-25
LRN00185,22,Business,Theoretical,13.5,Promotion,Advanced,2025-07-14
LRN00186,20,Programming,Hands-on,2.5,Skill Enhancement,Advanced,2025-08-19
LRN00187,39,Programming,Theoretical,4.6,Certification,Advanced,2024-07-31
LRN00188,18,Design,Mixed,3.4,Certification,Intermediate,2025-03-02
LRN00189,38,Cloud,Visual,1.5,Personal Interest,Intermediate,2025-06-17
LRN00190,20,Business,Mixed,11.8,Promotion,Advanced,2024-11-27
LRN00191,19,Programming,Hands-on,4.7,Certification,Advanced,2025-08-13
LRN00192,20,Programming,Hands-on,4.0,Personal Interest,Beginner,2025-05-21
LRN00193,38,Business,Theoretical,11.3,Personal Interest,Beginner,2025-10-01
LRN00194,26,Design,Mixed,3.3,Skill Enhancement,Beginner,2024-09-14
LRN00195,35,Cloud,Hands-on,12.5,Promotion,Advanced,2023-11-24
LRN00196,43,Business,Visual,4.0,Certification,Advanced,2025-08-26
LRN00197,24,Design,Visual,5.3,Certification,Beginner,2024-11-22
LRN00198,27,Cloud,Mixed,6.8,Promotion,Intermediate,2023-12-23
LRN00199,27,Design,Theoretical,4.2,Career Switch,Intermediate,2025-09-17
LRN00200,18,Business,Hands-on,4.3,Promotion,Intermediate,2024-10-03
LRN00201,33,Programming,Mixed,4.3,Career Switch,Beginner,2024-07-19
LRN00202,18,Cloud,Mixed,1.8,Promotion,Beginner,2024-08-29
LRN00203,18,Business,Theoretical,5.8,Skill Enhancement,Intermediate,2025-04-19
LRN00204,40,Programming,Visual,6.2,Promotion,Advanced,2025-03-24
LRN00205,18,Business,Theoretical,3.8,Skill Enhancement,Beginner,2025-06-25
LRN00206,18,Data Science,Theoretical,3.0,Skill Enhancement,Beginner,2024-01-31
LRN00207,18,Data Science,Visual,8.2,Skill Enhancement,Advanced,2024-05-21
LRN00208,26,Design,Mixed,2.5,Promotion,Advanced,2023-12-28
LRN00209,18,Cloud,Theoretical,4.5,Personal Interest,Beginner,2024-07-15
LRN00210,30,Programming,Mixed,8.8,Certification,Advanced,2024-12-02
LRN00211,18,Business,Visual,7.1,Personal Interest,Advanced,2025-07-25
LRN00212,27,Business,Mixed,3.7,Certification,Beginner,2025-08-11
LRN00213,30,Business,Theoretical,7.0,Career Switch,Advanced,2025-07-08
LRN00214,25,Cloud,Mixed,6.3,Certification,Advanced,2024-03-20
LRN00215,32,Programming,Mixed,4.2,Promotion,Advanced,2025-03-30
LRN00216,27,Business,Mixed,2.3,Promotion,Beginner,2025-08-06
LRN00217,37,Design,Visual,5.2,Personal Interest,Advanced,2025-07-14
LRN00218,18,Cloud,Hands-on,3.0,Career Switch,Beginner,2024-07-17
LRN00219,23,Design,Hands-on,11.2,Personal Interest,Intermediate,2024-12-23
LRN00220,49,Design,Mixed,4.5,Personal Interest,Advanced,2024-02-04
LRN00221,27,Programming,Theoretical,6.3,Career Switch,Intermediate,2025-07-04
LRN00222,31,Cloud,Mixed,11.8,Personal Interest,Intermediate,2023-12-06
LRN00223,26,Cloud,Hands-on,4.9,Personal Interest,Beginner,2024-02-20
LRN00224,37,Data Science,Theoretical,4.7,Personal Interest,Advanced,2023-11-30
LRN00225,32,Design,Hands-on,14.6,Promotion,Advanced,2025-07-14
LRN00226,26,Business,Mixed,3.2,Personal Interest,Beginner,2023-11-22
LRN00227,31,Cloud,Visual,10.0,Certification,Advanced,2024-10-03
LRN00228,23,Programming,Theoretical,9.1,Personal Interest,Beginner,2025-03-03
LRN00229,32,Business,Mixed,7.2,Skill Enhancement,Beginner,2025-05-21
LRN00230,33,Data Science,Visual,8.4,Personal Interest,Beginner,2024-05-07
LRN00231,34,Cloud,Visual,7.5,Personal Interest,Advanced,2025-05-27
LRN00232,31,Cloud,Mixed,5.2,Skill Enhancement,Beginner,2025-04-06
LRN00233,20,Cloud,Hands-on,1.6,Certification,Beginner,2024-08-14
LRN00234,18,Business,Hands-on,3.1,Certification,Advanced,2024-12-21
LRN00235,25,Design,Hands-on,5.4,Promotion,Beginner,2024-11-26
LRN00236,32,Design,Hands-on,5.3,Personal Interest,Advanced,2024-03-03
LRN00237,21,Design,Mixed,4.8,Personal Interest,Intermediate,2024-05-12
LRN00238,28,Cloud,Mixed,1.6,Skill Enhancement,Beginner,2024-01-28
LRN00239,21,Data Science,Theoretical,8.7,Career Switch,Advanced,2024-06-03
LRN00240,22,Business,Visual,8.5,Promotion,Beginner,2024-12-21
LRN00241,26,Programming,Hands-on,1.7,Personal Interest,Intermediate,2024-05-01
LRN00242,26,Data Science,Mixed,5.5,Career Switch,Beginner,2024-07-04
LRN00243,30,Business,Visual,3.0,Certification,Beginner,2024-08-29
LRN00244,30,Cloud,Theoretical,6.0,Skill Enhancement,Intermediate,2025-07-17
LRN00245,29,Business,Hands-on,3.9,Career Switch,Intermediate,2025-06-29
LRN00246,34,Business,Hands-on,7.4,Skill Enhancement,Beginner,2024-12-19
LRN00247,36,Design,Hands-on,20.4,Certification,Intermediate,2024-01-17
LRN00248,22,Programming,Visual,8.8,Career Switch,Intermediate,2025-03-02
LRN00249,22,Data Science,Mixed,4.1,Career Switch,Intermediate,2025-02-07
LRN00250,22,Business,Visual,5.4,Career Switch,Beginner,2024-08-05
LRN00251,25,Cloud,Mixed,5.9,Career Switch,Beginner,2024-05-15
LRN00252,21,Cloud,Visual,9.9,Promotion,Advanced,2025-02-03
LRN00253,18,Data Science,Theoretical,3.1,Certification,Beginner,2024-01-18
LRN00254,36,Business,Hands-on,3.4,Promotion,Intermediate,2025-03-31
LRN00255,34,Programming,Theoretical,4.9,Career Switch,Advanced,2024-03-30
LRN00256,27,Cloud,Visual,14.8,Certification,Intermediate,2025-08-25
LRN00257,39,Design,Theoretical,9.0,Personal Interest,Advanced,2025-09-22
LRN00258,32,Business,Visual,3.1,Personal Interest,Beginner,2023-12-06
LRN00259,28,Programming,Theoretical,6.0,Skill Enhancement,Beginner,2024-10-13
LRN00260,29,Cloud,Theoretical,4.5,Skill Enhancement,Advanced,2024-06-20
LRN00261,26,Design,Hands-on,4.0,Skill Enhancement,Beginner,2024-06-27
LRN00262,18,Programming,Theoretical,5.4,Skill Enhancement,Beginner,2025-03-18
LRN00263,23,Programming,Theoretical,2.3,Personal Interest,Advanced,2024-08-27
LRN00264,37,Cloud,Mixed,4.4,Personal Interest,Beginner,2023-12-16
LRN00265,32,Data Science,Theoretical,2.4,Personal Interest,Beginner,2023-12-07
LRN00266,25,Business,Theoretical,6.6,Career Switch,Intermediate,2024-07-18
LRN00267,18,Design,Mixed,8.5,Certification,Intermediate,2025-03-31
LRN00268,38,Design,Mixed,8.4,Personal Interest,Advanced,2025-01-08
LRN00269,18,Programming,Mixed,12.7,Career Switch,Intermediate,2024-01-31
LRN00270,29,Data Science,Theoretical,4.9,Personal Interest,Beginner,2025-07-19
LRN00271,23,Business,Theoretical,4.8,Personal Interest,Intermediate,2024-01-30
LRN00272,18,Design,Hands-on,5.7,Certification,Intermediate,2024-07-08
LRN00273,26,Programming,Theoretical,2.7,Promotion,Intermediate,2024-12-31
LRN00274,34,Programming,Visual,1.0,Certification,Intermediate,2024-05-01
LRN00275,27,Data Science,Visual,4.5,Skill Enhancement,Advanced,2023-11-14
LRN00276,44,Design,Visual,6.1,Skill Enhancement,Beginner,2025-02-09
LRN00277,33,Business,Theoretical,8.0,Certification,Advanced,2025-09-05
LRN00278,26,Cloud,Hands-on,6.0,Certification,Intermediate,2024-09-23
LRN00279,28,Design,Visual,12.2,Promotion,Beginner,2024-04-14
LRN00280,35,Business,Mixed,2.0,Personal Interest,Advanced,2024-12-27
LRN00281,29,Data Science,Visual,6.2,Career Switch,Advanced,2025-04-01
LRN00282,18,Design,Mixed,2.8,Promotion,Beginner,2025-01-13
LRN00283,27,Business,Mixed,1.6,Skill Enhancement,Advanced,2024-12-20
LRN00284,22,Design,Hands-on,5.2,Career Switch,Beginner,2025-07-25
LRN00285,28,Design,Hands-on,6.1,Certification,Beginner,2023-11-10
LRN00286,26,Business,Theoretical,3.5,Career Switch,Advanced,2024-04-01
LRN00287,24,Business,Theoretical,4.4,Skill Enhancement,Advanced,2023-12-25
LRN00288,31,Data Science,Theoretical,11.4,Promotion,Beginner,2025-06-06
LRN00289,31,Data Science,Hands-on,10.0,Skill Enhancement,Intermediate,2025-09-12
LRN00290,18,Business,Theoretical,8.6,Certification,Advanced,2025-05-29
LRN00291,26,Cloud,Visual,7.0,Career Switch,Intermediate,2024-08-27
LRN00292,30,Design,Mixed,7.6,Certification,Advanced,2025-07-25
LRN00293,21,Data Science,Theoretical,15.5,Career Switch,Intermediate,2024-06-18
LRN00294,28,Cloud,Theoretical,7.5,Skill Enhancement,Advanced,2023-12-23
LRN00295,44,Cloud,Hands-on,5.4,Skill Enhancement,Intermediate,2024-05-12
LRN00296,34,Programming,Visual,3.6,Promotion,Beginner,2024-12-01
LRN00297,18,Data Science,Hands-on,12.1,Personal Interest,Advanced,2025-02-20
LRN00298,26,Business,Theoretical,2.2,Career Switch,Intermediate,2025-03-21
LRN00299,24,Cloud,Theoretical,7.5,Skill Enhancement,Advanced,2024-12-02
LRN00300,28,Cloud,Visual,6.5,Promotion,Advanced,2025-04-19
LRN00301,44,Cloud,Hands-on,2.0,Skill Enhancement,Advanced,2024-01-08
LRN00302,29,Cloud,Theoretical,5.5,Promotion,Beginner,2025-09-09
LRN00303,31,Programming,Visual,5.4,Promotion,Intermediate,2023-12-12
LRN00304,27,Data Science,Mixed,2.2,Promotion,Advanced,2025-09-07
LRN00305,33,Design,Theoretical,2.1,Personal Interest,Intermediate,2025-01-31
LRN00306,29,Design,Theoretical,2.3,Certification,Beginner,2025-08-08
LRN00307,25,Data Science,Mixed,5.3,Certification,Intermediate,2024-06-20
LRN00308,32,Data Science,Theoretical,4.7,Promotion,Beginner,2024-11-22
LRN00309,18,Business,Theoretical,7.6,Certification,Beginner,2024-09-24
LRN00310,31,Cloud,Visual,8.0,Personal Interest,Beginner,2024-06-18
LRN00311,24,Programming,Theoretical,5.1,Certification,Beginner,2025-05-17
LRN00312,21,Programming,Visual,6.5,Personal Interest,Intermediate,2024-01-17
LRN00313,33,Design,Hands-on,4.8,Skill Enhancement,Intermediate,2024-02-25
LRN00314,18,Business,Hands-on,1.6,Skill Enhancement,Intermediate,2024-04-29
LRN00315,18,Design,Mixed,9.3,Personal Interest,Intermediate,2025-09-15
LRN00316,31,Programming,Mixed,1.7,Promotion,Intermediate,2025-02-04
LRN00317,18,Data Science,Theoretical,8.1,Career Switch,Beginner,2024-12-24
LRN00318,18,Design,Mixed,5.4,Personal Interest,Advanced,2025-09-30
LRN00319,24,Programming,Mixed,7.9,Skill Enhancement,Intermediate,2024-09-29
LRN00320,18,Design,Theoretical,14.8,Career Switch,Intermediate,2025-08-17
LRN00321,40,Cloud,Hands-on,5.7,Personal Interest,Advanced,2024-12-17
LRN00322,34,Programming,Mixed,4.4,Promotion,Intermediate,2024-03-24
LRN00323,26,Business,Visual,8.9,Skill Enhancement,Beginner,2024-08-31
LRN00324,25,Business,Theoretical,1.0,Promotion,Intermediate,2025-05-14
LRN00325,18,Data Science,Mixed,6.6,Promotion,Beginner,2025-08-23
LRN00326,25,Programming,Hands-on,6.9,Personal Interest,Intermediate,2024-04-25
LRN00327,18,Design,Hands-on,6.0,Promotion,Advanced,2025-05-18
LRN00328,24,Business,Theoretical,9.1,Skill Enhancement,Intermediate,2024-01-16
LRN00329,33,Business,Theoretical,10.3,Promotion,Advanced,2024-04-11
LRN00330,28,Design,Theoretical,9.6,Certification,Beginner,2024-09-26
LRN00331,23,Business,Visual,5.1,Certification,Advanced,2024-11-27
LRN00332,33,Programming,Mixed,1.0,Personal Interest,Advanced,2024-02-24
LRN00333,19,Cloud,Hands-on,2.5,Career Switch,Advanced,2024-06-04
LRN00334,37,Data Science,Mixed,8.5,Skill Enhancement,Advanced,2025-02-02
LRN00335,18,Programming,Visual,3.4,Skill Enhancement,Beginner,2024-07-14
LRN00336,34,Business,Mixed,7.5,Skill Enhancement,Intermediate,2025-03-14
LRN00337,34,Design,Mixed,4.6,Career Switch,Advanced,2025-05-20
LRN00338,39,Cloud,Hands-on,1.5,Promotion,Intermediate,2023-11-30
LRN00339,28,Design,Mixed,3.1,Personal Interest,Beginner,2024-06-25
LRN00340,31,Cloud,Theoretical,3.7,Promotion,Intermediate,2023-11-16
LRN00341,33,Business,Mixed,1.8,Skill Enhancement,Beginner,2024-12-27
LRN00342,35,Cloud,Theoretical,8.4,Skill Enhancement,Intermediate,2024-12-17
LRN00343,43,Data Science,Mixed,23.3,Personal Interest,Intermediate,2024-10-16
LRN00344,36,Cloud,Theoretical,9.3,Personal Interest,Beginner,2024-02-29
LRN00345,29,Cloud,Mixed,7.1,Certification,Intermediate,2025-05-12
LRN00346,24,Business,Visual,7.9,Personal Interest,Advanced,2025-07-20
LRN00347,23,Business,Mixed,2.5,Personal Interest,Advanced,2024-06-05
LRN00348,36,Data Science,Hands-on,9.0,Promotion,Intermediate,2024-03-12
LRN00349,27,Business,Hands-on,7.8,Career Switch,Advanced,2024-02-16
LRN00350,31,Data Science,Hands-on,3.8,Career Switch,Advanced,2024-04-13
LRN00351,25,Data Science,Hands-on,5.1,Career Switch,Beginner,2024-08-11
