response_id,employee_id,survey_number,survey_date,overall_engagement_score,job_satisfaction,work_life_balance,career_development,manager_relationship,team_collaboration,company_culture,recognition,compensation_fairness,work_meaningfulness,autonomy,resources_support,innovation_encouraged,would_recommend,likelihood_to_stay,satisfaction_change,feedback_sentiment,feedback_length_words,participated_in_events,training_hours_completed
RESP000016,EMP00017,1,2024-12-27,38.5,3.7,5.1,3.4,4.5,3.3,5.0,4.0,4.6,3.0,3.4,5.1,3.9,0,4.5,0.6,0.385,22,1,8
RESP000017,EMP00018,1,2024-12-27,60.8,7.0,5.3,7.6,6.5,6.9,6.7,6.2,3.9,7.2,5.2,7.3,6.9,0,6.5,2.0,0.608,44,1,15
RESP000018,EMP00019,1,2024-12-27,20.1,2.1,2.8,2.6,2.8,3.3,2.2,3.5,3.2,4.1,3.2,2.8,4.5,0,2.8,-0.1,0.201,47,1,6
RESP000019,EMP00020,1,2024-12-27,65.0,6.4,8.0,5.8,6.1,5.5,6.1,5.5,6.9,6.1,8.1,7.3,6.9,0,6.8,0.3,0.65,58,0,18
RESP000020,EMP00022,1,2024-12-27,39.6,5.8,3.5,4.8,5.6,5.1,4.8,5.0,6.0,5.2,3.3,4.5,4.6,0,4.6,1.0,0.396,42,0,7
RESP000021,EMP00023,1,2024-12-27,42.1,4.4,4.7,5.2,5.3,7.0,3.7,5.3,6.0,4.2,5.3,4.5,4.4,0,4.8,-0.7,0.421,37,1,7
RESP000022,EMP00024,1,2024-12-27,47.2,5.9,5.5,7.5,6.2,4.5,4.3,4.7,3.6,5.0,6.0,5.5,4.3,0,5.2,2.2,0.472,58,1,13
RESP000023,EMP00025,1,2024-12-27,41.3,5.4,4.1,5.2,4.7,3.6,4.4,5.4,5.3,5.6,5.5,5.0,5.0,0,4.7,0.3,0.413,26,0,3
RESP000024,EMP00026,1,2024-12-27,42.9,5.2,5.0,5.2,5.1,5.8,4.9,5.7,5.3,5.8,6.1,5.3,4.9,0,4.9,0.1,0.429,29,0,6
RESP000025,EMP00027,1,2024-12-27,42.9,4.1,6.2,5.0,7.2,4.1,5.1,4.6,4.2,5.7,4.0,4.3,5.3,0,4.9,0.7,0.429,14,0,11
RESP000026,EMP00028,1,2024-12-27,48.0,4.6,4.7,3.7,6.7,6.8,4.3,6.0,4.9,6.1,4.9,5.0,5.1,0,5.3,-0.7,0.48,84,1,14
RESP000027,EMP00030,1,2024-12-27,10.3,1.0,2.3,2.7,4.6,1.8,2.0,2.8,3.2,3.6,1.4,2.3,1.4,0,1.9,2.3,0.103,41,0,6
RESP000028,EMP00032,1,2024-12-27,22.2,3.8,4.0,2.4,1.6,3.8,4.1,3.6,2.9,2.8,4.1,2.7,3.1,0,3.0,-0.0,0.222,48,0,3
RESP000029,EMP00035,1,2024-12-27,48.5,6.8,5.8,6.2,6.0,4.8,6.2,5.6,4.8,4.9,4.7,4.5,4.8,0,5.4,1.1,0.485,59,0,3
RESP000030,EMP00036,1,2024-12-27,20.8,2.0,2.3,3.2,2.9,3.8,1.9,3.1,1.9,1.8,3.2,3.4,3.5,0,2.9,1.1,0.208,35,0,5
RESP000031,EMP00037,1,2024-12-27,29.0,4.0,2.8,4.0,3.9,2.7,4.3,3.9,3.2,4.3,3.6,4.6,3.9,0,3.6,0.9,0.29,42,0,8
RESP000032,EMP00038,1,2024-12-27,22.5,2.0,2.2,4.0,5.3,3.0,4.3,3.2,3.6,3.2,3.2,2.3,5.0,0,3.0,-3.1,0.225,24,0,0
RESP000033,EMP00039,1,2024-12-27,42.7,5.5,3.9,4.8,4.7,4.8,4.9,4.5,5.6,5.3,4.7,4.9,4.5,0,4.8,1.3,0.427,52,0,17
RESP000034,EMP00040,1,2024-12-27,41.5,5.4,5.1,5.1,4.2,5.6,5.0,5.9,5.5,4.3,6.3,3.7,5.7,0,4.7,-1.7,0.415,101,0,0
RESP000035,EMP00041,1,2024-12-27,25.3,4.0,4.1,4.0,3.9,4.0,2.7,2.2,3.3,2.8,3.6,3.7,2.7,0,3.3,0.7,0.253,58,1,8
RESP000036,EMP00042,1,2024-12-27,45.8,5.6,6.5,5.0,5.3,5.8,4.4,6.8,6.0,4.9,4.8,4.5,5.8,0,5.1,0.6,0.458,18,1,10
RESP000037,EMP00043,1,2024-12-27,54.3,5.7,4.1,6.6,6.0,6.5,6.8,4.3,5.7,5.2,4.9,5.8,6.4,0,5.9,0.3,0.543,25,0,14
RESP000038,EMP00044,1,2024-12-27,22.5,2.5,1.7,2.1,1.6,5.1,2.3,3.9,4.5,3.2,2.9,2.0,2.6,0,3.0,1.6,0.225,49,0,4
RESP000039,EMP00045,1,2024-12-27,53.2,6.3,5.7,6.6,5.5,5.5,5.9,6.2,5.9,5.3,6.7,5.7,4.9,0,5.8,0.4,0.532,38,0,10
RESP000040,EMP00046,1,2024-12-27,62.4,6.0,5.0,7.2,7.3,5.5,6.9,5.5,7.2,8.9,6.8,5.1,4.9,0,6.6,0.7,0.624,136,0,14
RESP000041,EMP00047,1,2024-12-27,29.2,1.6,4.5,3.7,4.5,3.6,3.7,4.3,4.5,3.8,3.8,4.1,4.0,0,3.6,-1.3,0.292,16,1,0
RESP000042,EMP00048,1,2024-12-27,48.1,5.0,6.0,5.5,4.5,6.0,5.0,4.8,6.1,7.3,6.2,5.3,6.3,0,5.3,1.7,0.481,14,1,15
RESP000043,EMP00050,1,2024-12-27,45.5,4.9,6.7,5.8,4.8,5.7,5.1,4.6,5.2,3.7,5.5,4.6,3.4,0,5.1,0.0,0.455,91,0,0
RESP000044,EMP00051,1,2024-12-27,25.6,4.0,2.7,2.3,3.2,4.2,2.2,2.9,4.1,3.6,2.6,4.9,3.4,0,3.3,-0.8,0.256,18,1,7
RESP000045,EMP00052,1,2024-12-27,32.7,4.0,3.4,4.0,3.3,5.0,3.5,3.8,3.9,5.2,4.7,4.6,2.7,0,3.9,-0.7,0.327,76,0,1
RESP000046,EMP00053,1,2024-12-27,25.1,4.6,3.8,4.1,3.9,3.1,2.7,2.9,3.1,4.7,2.2,2.8,2.5,0,3.3,1.1,0.251,104,1,5
RESP000047,EMP00055,1,2024-12-27,44.0,5.6,5.3,5.2,5.6,3.9,5.0,5.2,5.3,4.8,5.1,4.4,3.5,0,5.0,1.0,0.44,18,0,16
RESP000048,EMP00056,1,2024-12-27,33.5,3.8,4.6,5.9,4.3,3.9,4.6,2.8,4.1,5.6,4.1,4.1,4.0,0,4.0,-0.4,0.335,48,1,0
RESP000049,EMP00057,1,2024-12-27,41.1,6.4,4.4,3.6,5.2,6.5,5.1,6.1,5.3,5.3,4.3,4.9,4.7,0,4.7,-0.1,0.411,34,0,12
RESP000050,EMP00058,1,2024-12-27,33.5,3.8,4.3,3.8,2.4,3.7,2.9,4.6,3.1,5.2,4.0,4.1,2.4,0,4.0,0.1,0.335,38,0,4
RESP000051,EMP00059,1,2024-12-27,28.5,3.6,3.2,3.5,3.5,4.0,3.1,2.7,1.5,4.0,4.5,2.9,3.7,0,3.6,0.2,0.285,29,1,15
RESP000052,EMP00063,1,2024-12-27,41.2,6.2,6.2,4.4,3.5,6.7,5.3,5.1,4.3,5.0,5.5,5.2,4.2,0,4.7,1.5,0.412,43,1,18
RESP000053,EMP00064,1,2024-12-27,46.3,5.1,6.7,6.4,5.7,5.2,5.2,4.4,4.9,3.0,4.7,4.1,4.9,0,5.2,0.3,0.463,53,0,8
RESP000054,EMP00065,1,2024-12-27,25.5,4.4,3.2,2.7,2.5,3.1,3.3,3.1,4.1,2.5,4.1,3.2,4.0,0,3.3,-0.6,0.255,62,0,4
RESP000055,EMP00068,1,2024-12-27,37.5,3.4,4.5,4.4,3.3,3.8,2.8,3.5,4.3,4.7,4.1,4.8,3.6,0,4.4,0.4,0.375,38,1,6
RESP000056,EMP00069,1,2024-12-27,38.6,4.0,3.2,3.7,3.3,4.3,5.0,5.7,2.9,4.7,4.1,3.6,4.4,0,4.5,-1.3,0.386,24,0,11
RESP000057,EMP00070,1,2024-12-27,71.5,8.1,7.8,7.8,6.9,6.3,7.5,7.1,5.4,6.7,6.0,6.7,7.3,1,7.4,1.6,0.715,25,1,13
RESP000058,EMP00071,1,2024-12-27,42.3,6.1,2.7,4.7,5.0,5.2,3.9,4.8,4.8,6.0,5.0,4.7,4.2,0,4.8,0.6,0.423,34,0,6
RESP000059,EMP00072,1,2024-12-27,39.9,4.2,4.6,4.1,4.7,4.8,4.0,5.3,3.4,5.5,4.9,5.1,3.3,0,4.6,-0.1,0.399,90,0,2
RESP000060,EMP00073,1,2024-12-27,26.8,3.6,2.9,3.4,4.2,2.2,5.0,3.2,4.2,4.3,4.7,2.8,3.2,0,3.4,-0.1,0.268,31,1,0
RESP000061,EMP00074,1,2024-12-27,35.1,2.9,4.0,5.2,3.6,3.9,3.9,4.3,4.6,4.8,6.0,4.3,4.7,0,4.2,-1.6,0.351,31,0,4
RESP000062,EMP00075,1,2024-12-27,29.4,3.2,5.7,4.1,5.2,5.2,3.1,3.7,3.3,3.5,2.9,3.3,3.9,0,3.6,0.3,0.294,46,1,5
RESP000063,EMP00076,1,2024-12-27,42.4,4.6,5.9,3.6,5.3,5.0,4.3,4.5,5.2,5.5,3.4,5.3,4.5,0,4.8,1.1,0.424,9,0,20
RESP000064,EMP00079,1,2024-12-27,36.8,5.5,4.3,4.1,4.5,5.4,3.1,4.9,4.3,4.8,4.3,3.9,3.4,0,4.3,0.7,0.368,58,1,12
RESP000065,EMP00080,1,2024-12-27,51.0,4.1,3.7,6.6,4.5,4.9,5.4,4.3,5.3,4.8,5.4,5.8,5.3,0,5.6,-0.4,0.51,46,1,9
RESP000066,EMP00081,1,2024-12-27,57.6,6.9,5.2,5.9,5.7,7.4,5.8,4.7,6.0,4.6,5.3,5.7,6.3,0,6.2,1.0,0.576,59,0,11
RESP000067,EMP00082,1,2024-12-27,41.9,4.6,3.4,3.7,4.5,2.4,5.3,3.7,5.3,5.3,4.3,5.6,5.4,0,4.8,-0.3,0.419,30,1,13
RESP000068,EMP00084,1,2024-12-27,14.0,2.3,1.0,2.6,2.8,3.7,1.5,1.8,2.2,1.5,3.0,2.2,2.4,0,2.3,0.6,0.14,38,0,0
RESP000069,EMP00085,1,2024-12-27,45.9,5.9,4.2,4.0,5.2,5.0,5.2,5.4,3.4,5.7,4.2,5.1,4.6,0,5.1,-0.6,0.459,97,1,9
RESP000070,EMP00088,1,2024-12-27,38.8,4.8,4.7,5.0,4.6,6.2,5.3,3.6,4.3,4.8,4.5,5.0,5.1,0,4.5,-1.4,0.388,80,0,4
RESP000071,EMP00089,1,2024-12-27,46.2,4.9,4.6,5.5,3.7,4.0,4.2,4.9,5.7,5.6,6.2,6.0,4.7,0,5.2,0.0,0.462,39,0,8
RESP000072,EMP00090,1,2024-12-27,42.0,5.2,5.1,4.0,5.2,4.6,5.3,5.6,4.7,5.8,4.1,4.0,5.1,0,4.8,-0.4,0.42,46,1,18
RESP000073,EMP00092,1,2024-12-27,29.0,3.8,2.9,2.0,3.9,4.0,3.3,5.0,4.9,3.1,4.2,2.0,3.9,0,3.6,0.3,0.29,20,0,10
RESP000074,EMP00094,1,2024-12-27,41.2,5.9,3.5,4.1,4.3,5.7,4.9,5.0,4.2,3.2,4.1,5.8,4.2,0,4.7,0.2,0.412,41,0,12
RESP000075,EMP00095,1,2024-12-27,40.6,6.5,4.4,5.8,4.3,6.2,5.2,3.6,5.8,5.3,4.3,3.4,5.6,0,4.7,1.7,0.406,74,1,13
RESP000076,EMP00096,1,2024-12-27,40.7,3.2,5.3,5.1,3.5,3.3,4.7,4.5,4.5,5.1,4.1,5.2,5.2,0,4.7,-2.7,0.407,38,1,10
RESP000077,EMP00097,1,2024-12-27,21.7,3.0,2.7,3.9,2.0,3.2,3.6,3.6,2.8,3.9,2.4,3.5,3.7,0,3.0,-1.4,0.217,81,1,0
RESP000078,EMP00098,1,2024-12-27,48.0,4.9,6.1,5.9,6.8,5.8,5.4,6.3,5.2,4.5,5.0,5.2,2.8,0,5.3,1.4,0.48,37,1,1
RESP000079,EMP00099,1,2024-12-27,47.9,5.2,4.8,5.2,5.3,3.9,5.6,5.8,5.7,5.1,6.9,5.7,5.0,0,5.3,-1.2,0.479,15,1,11
RESP000080,EMP00100,1,2024-12-27,46.9,5.3,5.2,5.1,5.6,4.6,5.2,5.3,5.7,4.6,4.4,5.3,5.4,0,5.2,-0.0,0.469,5,0,11
RESP000081,EMP00101,1,2024-12-27,73.7,8.4,6.1,7.4,7.5,7.7,6.6,6.9,8.4,8.2,7.5,8.4,7.1,1,7.6,-0.3,0.737,31,0,22
RESP000082,EMP00102,1,2024-12-27,45.5,5.2,4.9,6.5,4.9,4.7,5.9,3.7,5.0,5.0,5.5,4.6,5.0,0,5.1,0.1,0.455,34,0,11
RESP000083,EMP00103,1,2024-12-27,37.7,3.1,4.7,3.5,6.0,4.1,4.2,5.6,5.1,4.8,4.3,4.2,5.1,0,4.4,-0.9,0.377,32,0,4
RESP000084,EMP00104,1,2024-12-27,52.6,6.0,4.9,5.4,7.2,6.5,6.4,5.7,5.8,5.1,5.0,5.7,5.8,0,5.7,0.3,0.526,14,1,16
RESP000085,EMP00106,1,2024-12-27,36.8,5.8,2.9,5.6,4.1,3.6,3.7,4.8,4.4,4.5,4.0,5.6,6.4,0,4.3,0.1,0.368,52,0,11
RESP000086,EMP00108,1,2024-12-27,49.0,4.9,4.6,8.1,5.9,5.4,4.9,6.1,6.1,6.1,5.1,5.7,5.5,0,5.4,-0.9,0.49,21,1,12
RESP000087,EMP00109,1,2024-12-27,34.1,5.3,3.4,4.5,4.7,3.4,4.2,3.8,4.3,5.3,5.3,4.8,3.0,0,4.1,-1.1,0.341,15,0,5
RESP000088,EMP00110,1,2024-12-27,27.7,3.6,2.9,4.2,3.3,3.2,3.6,4.2,2.3,3.6,1.8,3.3,4.0,0,3.5,1.0,0.277,28,0,0
RESP000089,EMP00111,1,2024-12-27,46.1,4.3,5.6,5.4,4.9,5.8,5.7,5.6,5.4,4.3,5.1,5.0,4.8,0,5.2,0.1,0.461,22,0,6
RESP000090,EMP00112,1,2024-12-27,18.9,1.8,3.8,2.6,4.2,4.5,3.7,1.7,3.8,2.6,2.5,2.4,2.4,0,2.7,0.4,0.189,126,0,11
RESP000091,EMP00113,1,2024-12-27,47.4,4.9,4.2,5.1,4.8,4.9,4.5,4.9,4.9,6.2,5.9,5.6,4.9,0,5.3,1.1,0.474,64,0,9
RESP000092,EMP00114,1,2024-12-27,27.8,4.1,3.7,2.5,3.7,4.6,3.4,3.5,2.7,1.8,3.6,3.3,4.6,0,3.5,0.7,0.278,28,0,2
RESP000093,EMP00115,1,2024-12-27,25.0,4.3,2.6,3.0,3.0,5.2,3.7,4.2,3.9,3.9,3.6,3.5,2.1,0,3.3,0.4,0.25,37,1,8
RESP000094,EMP00116,1,2024-12-27,59.0,4.0,6.0,5.4,6.5,6.4,7.4,6.5,5.9,7.1,6.1,5.9,6.6,0,6.3,1.6,0.59,64,1,8
RESP000095,EMP00117,1,2024-12-27,31.6,4.0,5.1,3.7,5.2,2.6,3.7,4.0,3.1,3.3,4.5,5.0,2.2,0,3.8,0.2,0.316,37,0,0
RESP000096,EMP00118,1,2024-12-27,63.3,7.6,6.6,7.2,6.2,4.9,7.0,7.3,6.8,6.6,6.8,6.0,6.3,0,6.7,-0.2,0.633,59,1,7
RESP000097,EMP00120,1,2024-12-27,38.8,6.1,3.7,5.7,5.6,4.2,3.9,5.0,4.8,5.1,6.2,4.6,3.5,0,4.5,0.1,0.388,46,1,5
RESP000098,EMP00121,1,2024-12-27,26.4,3.8,6.1,3.6,3.7,2.9,2.3,3.7,3.4,1.5,4.7,3.7,3.4,0,3.4,-0.4,0.264,50,1,10
RESP000099,EMP00122,1,2024-12-27,57.6,7.8,5.5,6.1,6.5,6.0,5.7,6.6,6.9,7.2,6.0,6.6,6.4,0,6.2,0.0,0.576,23,0,7
RESP000100,EMP00123,1,2024-12-27,20.2,2.8,4.0,1.2,2.6,3.4,1.4,2.6,1.9,2.0,2.5,1.9,1.9,0,2.8,-0.1,0.202,123,0,8
RESP000101,EMP00124,1,2024-12-27,42.7,5.1,5.7,6.4,5.0,5.4,6.8,5.5,4.6,4.8,4.0,6.7,6.1,0,4.8,0.1,0.427,120,1,13
RESP000102,EMP00125,1,2024-12-27,35.0,4.8,3.1,3.4,5.3,5.3,5.3,5.9,4.4,3.3,5.2,2.6,3.7,0,4.2,2.3,0.35,29,0,6
RESP000103,EMP00126,1,2024-12-27,18.4,1.8,3.7,3.8,1.1,2.4,2.1,2.4,1.9,2.7,2.2,2.3,1.8,0,2.7,0.8,0.184,14,0,13
RESP000104,EMP00127,1,2024-12-27,39.5,4.7,3.2,6.3,4.7,5.1,4.9,4.7,4.6,4.3,5.1,3.4,3.3,0,4.6,-0.8,0.395,79,1,3
RESP000105,EMP00128,1,2024-12-27,34.6,4.4,5.2,5.9,4.0,6.1,4.2,4.4,4.9,5.0,5.4,3.1,4.2,0,4.1,1.3,0.346,19,0,6
RESP000106,EMP00129,1,2024-12-27,55.4,4.8,5.1,5.8,5.2,5.1,4.4,5.6,7.6,6.4,6.9,5.5,5.3,0,6.0,0.5,0.554,42,1,7
RESP000107,EMP00130,1,2024-12-27,37.3,5.0,4.9,4.3,4.4,3.3,4.6,4.0,4.2,3.4,5.3,4.6,5.2,0,4.4,-0.1,0.373,76,0,13
RESP000108,EMP00131,1,2024-12-27,16.2,2.6,2.9,2.7,3.3,3.2,2.0,2.1,1.5,2.7,2.6,2.5,2.5,0,2.5,-0.9,0.162,14,0,5
RESP000109,EMP00132,1,2024-12-27,30.1,2.9,3.1,4.4,4.4,4.3,3.7,3.2,4.8,3.5,3.9,3.0,3.5,0,3.7,-2.7,0.301,26,0,3
RESP000110,EMP00133,1,2024-12-27,30.6,5.5,2.9,3.8,3.9,3.2,4.6,5.1,4.7,3.0,3.2,2.1,3.6,0,3.8,-0.1,0.306,62,0,6
RESP000111,EMP00134,1,2024-12-27,29.6,3.5,4.9,4.2,4.1,4.0,3.8,3.0,5.2,3.6,4.1,3.9,2.0,0,3.7,-1.0,0.296,42,0,1
RESP000112,EMP00135,1,2024-12-27,31.0,2.4,4.5,4.4,4.2,3.2,3.2,5.1,5.1,3.7,3.3,2.4,4.0,0,3.8,-0.7,0.31,29,1,11
RESP000113,EMP00136,1,2024-12-27,22.8,4.6,2.2,1.6,2.5,3.4,3.2,3.2,2.8,2.7,2.1,3.2,3.9,0,3.1,0.0,0.228,24,0,3
RESP000114,EMP00137,1,2024-12-27,21.6,3.1,3.4,4.0,3.5,2.5,2.3,2.2,2.7,3.4,2.4,2.5,2.2,0,2.9,1.6,0.216,34,0,7
RESP000115,EMP00138,1,2024-12-27,60.0,5.6,7.0,6.5,7.5,5.9,6.6,6.9,5.5,6.6,5.7,8.2,7.2,0,6.4,0.0,0.6,132,1,23
RESP000116,EMP00139,1,2024-12-27,45.7,5.6,4.8,4.8,4.8,6.3,3.8,6.2,4.4,6.1,4.9,5.5,5.1,0,5.1,-1.5,0.457,55,1,12
RESP000117,EMP00140,1,2024-12-27,33.7,4.8,4.0,4.5,4.4,5.4,4.5,3.2,3.5,4.0,4.4,3.1,4.3,0,4.0,0.9,0.337,28,0,7
RESP000118,EMP00141,1,2024-12-27,16.5,2.2,2.4,2.9,1.9,1.8,3.0,1.0,1.0,2.1,2.4,1.9,2.5,0,2.5,0.6,0.165,69,0,0
RESP000119,EMP00142,1,2024-12-27,21.4,3.7,2.4,3.1,2.0,2.5,2.3,3.2,4.7,2.2,3.5,2.7,2.5,0,2.9,1.1,0.214,22,0,12
RESP000120,EMP00143,1,2024-12-27,48.3,4.2,4.9,6.4,6.6,5.2,4.9,6.7,5.3,4.9,4.7,4.4,7.6,0,5.3,1.4,0.483,25,1,12
RESP000121,EMP00144,1,2024-12-27,33.4,3.6,4.0,2.6,3.6,4.1,5.1,3.5,4.7,2.4,4.9,3.3,4.1,0,4.0,0.4,0.334,45,0,2
RESP000122,EMP00145,1,2024-12-27,37.7,3.9,4.3,3.4,5.1,3.4,5.1,3.5,5.2,4.4,3.9,5.7,4.3,0,4.4,-0.4,0.377,66,0,13
RESP000123,EMP00146,1,2024-12-27,30.3,4.4,3.8,3.3,4.2,3.1,2.9,2.9,2.1,2.4,3.1,3.7,1.8,0,3.7,1.5,0.303,101,1,7
RESP000124,EMP00147,1,2024-12-27,43.9,5.0,5.1,4.2,5.8,4.7,5.6,4.0,5.4,6.0,4.3,4.4,5.9,0,5.0,-0.4,0.439,20,1,9
RESP000125,EMP00148,1,2024-12-27,63.5,7.7,6.6,8.8,8.0,5.5,5.9,4.9,6.5,5.7,6.1,7.6,5.3,0,6.7,0.1,0.635,43,0,1
RESP000126,EMP00149,1,2024-12-27,30.5,5.0,2.8,5.3,2.6,2.3,3.0,4.7,3.3,4.0,3.8,3.7,4.8,0,3.7,0.8,0.305,18,0,7
RESP000127,EMP00150,1,2024-12-27,23.9,2.0,3.9,3.8,2.4,4.3,4.4,4.3,4.4,3.6,3.0,2.8,3.1,0,3.1,-0.9,0.239,31,0,0
RESP000128,EMP00151,1,2024-12-27,49.0,5.1,3.9,5.7,5.2,5.0,6.0,4.3,5.4,5.2,5.4,4.0,5.0,0,5.4,0.0,0.49,54,1,12
RESP000129,EMP00152,1,2024-12-27,55.5,5.8,7.2,7.5,5.6,7.7,6.4,7.8,6.2,5.5,5.4,5.7,5.5,0,6.0,1.3,0.555,39,0,11
RESP000130,EMP00153,1,2024-12-27,44.3,5.2,4.9,5.8,5.4,5.9,3.9,6.7,3.5,4.6,4.9,5.1,4.7,0,5.0,-0.7,0.443,38,0,8
RESP000131,EMP00154,1,2024-12-27,36.9,4.7,5.0,4.6,4.7,5.5,4.2,3.0,4.6,4.9,3.7,4.3,4.3,0,4.3,1.4,0.369,104,1,13
RESP000132,EMP00155,1,2024-12-27,48.0,5.3,7.0,5.2,5.8,5.7,5.1,5.8,6.1,5.5,5.7,5.4,6.0,0,5.3,-0.2,0.48,32,0,0
RESP000133,EMP00156,1,2024-12-27,36.3,6.1,4.5,4.8,5.3,5.9,4.1,4.3,4.3,3.2,4.9,4.6,4.3,0,4.3,-2.3,0.363,53,1,12
RESP000134,EMP00157,1,2024-12-27,43.3,5.2,3.7,3.8,4.3,4.7,5.6,5.2,4.8,5.4,4.3,5.4,5.1,0,4.9,0.5,0.433,64,0,5
RESP000135,EMP00158,1,2024-12-27,60.0,5.9,5.9,6.7,7.3,7.4,7.8,6.7,6.3,8.1,5.9,7.1,6.6,0,6.4,-1.4,0.6,13,0,16
RESP000136,EMP00159,1,2024-12-27,28.7,4.1,3.5,3.7,4.1,5.1,3.8,2.5,3.4,4.3,4.3,4.1,3.2,0,3.6,-1.4,0.287,56,0,9
RESP000137,EMP00160,1,2024-12-27,23.0,3.0,3.2,2.6,2.9,2.2,2.0,2.3,3.9,2.5,4.5,3.6,2.4,0,3.1,-0.6,0.23,7,0,12
RESP000138,EMP00161,1,2024-12-27,52.5,6.2,5.6,6.6,6.2,5.7,5.1,5.7,4.6,6.2,5.0,6.2,4.9,0,5.7,-0.2,0.525,47,0,12
RESP000139,EMP00162,1,2024-12-27,28.0,3.0,3.0,3.2,5.2,3.3,4.4,3.7,3.2,3.7,3.7,2.1,3.5,0,3.5,0.0,0.28,32,0,13
RESP000140,EMP00163,1,2024-12-27,41.8,3.9,5.5,4.1,5.0,4.8,4.5,5.6,5.4,4.1,4.5,4.1,4.3,0,4.8,0.7,0.418,39,1,9
RESP000141,EMP00164,1,2024-12-27,39.1,4.6,3.4,3.1,5.2,4.3,3.9,4.2,4.3,5.5,3.1,5.0,5.7,0,4.5,0.9,0.391,128,0,7
RESP000142,EMP00165,1,2024-12-27,40.1,2.8,4.2,5.6,3.2,6.5,4.9,3.7,4.8,5.2,4.2,4.1,6.2,0,4.6,-0.3,0.401,36,1,11
RESP000143,EMP00166,1,2024-12-27,43.9,4.4,5.3,4.6,5.3,4.2,5.3,5.9,3.3,4.6,4.2,5.9,4.9,0,5.0,-0.5,0.439,18,0,1
RESP000144,EMP00167,1,2024-12-27,51.0,5.6,6.8,6.3,5.0,4.0,6.2,4.6,5.3,6.9,6.1,5.9,6.3,0,5.6,0.9,0.51,21,0,5
RESP000145,EMP00168,1,2024-12-27,29.4,3.3,4.1,3.9,4.4,3.0,2.7,4.1,3.5,3.4,3.3,3.6,3.4,0,3.6,0.5,0.294,60,0,4
RESP000146,EMP00169,1,2024-12-27,37.0,3.0,4.2,4.5,4.3,5.2,5.7,5.2,4.2,4.5,5.5,3.5,5.0,0,4.3,-0.9,0.37,75,0,6
