employee_id,age,tenure_months,department,seniority,intrinsic_motivation,learning_orientation,social_connection
EMP00097,22,34,HR,IC3,0.544,0.54,0.601
EMP00098,24,3,Sales,IC2,0.687,0.65,0.279
EMP00099,27,25,Operations,IC1,0.655,0.613,0.755
EMP00100,24,31,Sales,IC1,0.599,0.579,0.511
EMP00101,29,30,Marketing,IC1,0.818,0.537,0.66
EMP00102,25,14,Legal,IC2,0.509,0.486,0.512
EMP00103,34,41,Legal,IC4,0.595,0.414,0.34
EMP00104,32,67,Operations,IC2,0.644,0.694,0.431
EMP00105,25,24,Data,IC3,0.304,0.687,0.737
EMP00106,28,12,Finance,Manager,0.602,0.674,0.746
EMP00107,52,23,Data,IC3,0.414,0.797,0.474
EMP00108,39,1,Finance,IC2,0.723,0.77,0.753
EMP00109,24,41,Customer Success,IC1,0.356,0.476,0.297
EMP00110,27,9,Marketing,IC4,0.416,0.736,0.606
EMP00111,30,26,Sales,IC2,0.415,0.923,0.643
EMP00112,36,19,Legal,IC4,0.454,0.411,0.654
EMP00113,25,37,HR,Manager,0.816,0.755,0.5
EMP00114,36,61,Product,IC3,0.433,0.685,0.389
EMP00115,29,20,Engineering,IC3,0.505,0.53,0.205
EMP00116,40,32,Product,IC1,0.709,0.771,0.644
EMP00117,35,13,Sales,IC4,0.669,0.817,0.467
EMP00118,52,12,Sales,IC4,0.82,0.94,0.627
EMP00119,27,14,Finance,IC2,0.425,0.722,0.715
EMP00120,41,16,Data,IC2,0.672,0.74,0.502
EMP00121,40,25,Product,IC1,0.559,0.701,0.462
EMP00122,28,23,Finance,IC1,0.792,0.692,0.731
EMP00123,29,6,Finance,IC4,0.591,0.79,0.531
EMP00124,41,26,Data,IC1,0.625,0.96,0.57
EMP00125,42,62,HR,IC3,0.487,0.454,0.374
EMP00126,26,8,Legal,IC1,0.692,0.469,0.761
EMP00127,29,12,Operations,IC3,0.369,0.761,0.666
EMP00128,26,7,Legal,IC2,0.595,0.559,0.616
EMP00129,22,13,Engineering,IC2,0.611,0.593,0.546
EMP00130,39,25,Product,IC1,0.478,0.876,0.712
EMP00131,39,27,Legal,IC2,0.362,0.786,0.446
EMP00132,42,6,Operations,IC3,0.567,0.493,0.535
EMP00133,22,12,Customer Success,IC3,0.577,0.478,0.618
EMP00134,31,16,Product,IC1,0.399,0.746,0.491
EMP00135,22,23,Operations,IC3,0.634,0.64,0.228
EMP00136,48,11,Finance,IC2,0.505,0.599,0.53
EMP00137,34,16,Sales,IC4,0.745,0.679,0.212
EMP00138,27,44,HR,IC2,0.707,0.604,0.557
EMP00139,36,58,Engineering,IC3,0.752,0.334,0.528
EMP00140,36,27,Operations,IC3,0.516,0.754,0.579
EMP00141,29,21,Legal,IC1,0.611,0.896,0.368
EMP00142,30,6,Sales,Director,0.441,0.443,0.647
EMP00143,35,28,Legal,IC3,0.744,0.618,0.332
EMP00144,29,23,Product,IC1,0.818,0.601,0.565
EMP00145,35,20,Operations,IC3,0.316,0.575,0.545
EMP00146,36,41,Legal,IC2,0.553,0.76,0.342
EMP00147,36,9,Data,Manager,0.831,0.792,0.246
EMP00148,29,30,Marketing,IC1,0.78,0.756,0.691
EMP00149,32,29,Sales,IC2,0.614,0.626,0.395
EMP00150,33,22,Customer Success,IC1,0.621,0.566,0.769
EMP00151,32,24,Sales,IC1,0.578,0.685,0.48
EMP00152,25,8,Legal,IC2,0.737,0.792,0.605
EMP00153,29,64,Legal,IC1,0.635,0.67,0.815
EMP00154,35,13,Engineering,Director,0.594,0.408,0.668
EMP00155,35,21,Data,IC1,0.89,0.756,0.361
EMP00156,30,12,Customer Success,Director,0.539,0.928,0.874
EMP00157,39,13,HR,IC1,0.629,0.461,0.481
EMP00158,22,45,Engineering,IC2,0.778,0.647,0.8
EMP00159,22,25,Product,IC1,0.737,0.552,0.579
EMP00160,37,9,Customer Success,Manager,0.519,0.517,0.329
EMP00161,32,12,Operations,IC1,0.498,0.875,0.483
EMP00162,36,19,Marketing,IC3,0.371,0.647,0.648
EMP00163,35,33,Engineering,IC3,0.543,0.595,0.409
EMP00164,36,21,Marketing,IC3,0.65,0.221,0.622
EMP00165,40,30,Data,IC3,0.715,0.574,0.629
EMP00166,26,48,Product,IC4,0.83,0.699,0.511
EMP00167,28,24,Product,IC2,0.678,0.746,0.441
EMP00168,31,7,HR,IC2,0.648,0.615,0.303
EMP00169,38,9,Product,IC3,0.648,0.646,0.534
EMP00170,22,28,Legal,Senior Manager,0.778,0.659,0.444
EMP00171,45,44,Sales,IC1,0.54,0.652,0.648
EMP00172,27,24,Sales,Manager,0.624,0.839,0.461
EMP00173,40,69,HR,IC2,0.571,0.37,0.814
EMP00174,27,34,Legal,IC1,0.887,0.389,0.564
EMP00175,38,26,Sales,IC3,0.691,0.732,0.546
EMP00176,30,25,Operations,IC3,0.736,0.716,0.532
EMP00177,35,11,Legal,IC3,0.633,0.614,0.654
EMP00178,51,27,Data,IC1,0.552,0.483,0.691
EMP00179,22,21,Finance,IC3,0.499,0.593,0.677
EMP00180,29,20,Marketing,IC1,0.913,0.442,0.41
EMP00181,22,18,Legal,Manager,0.551,0.623,0.891
EMP00182,27,24,Marketing,IC4,0.305,0.592,0.507
EMP00183,37,9,Operations,IC1,0.609,0.496,0.406
EMP00184,43,31,Finance,IC1,0.604,0.66,0.382
EMP00185,25,13,Customer Success,IC1,0.802,0.331,0.378
EMP00186,33,29,HR,IC2,0.813,0.858,0.404
EMP00187,23,4,Legal,IC2,0.867,0.741,0.558
EMP00188,38,30,HR,Director,0.55,0.485,0.473
EMP00189,35,38,Product,IC3,0.523,0.392,0.786
EMP00190,34,3,Marketing,Director,0.584,0.843,0.737
EMP00191,26,15,Marketing,IC3,0.803,0.549,0.615
EMP00192,32,29,Product,IC2,0.813,0.609,0.611
EMP00193,22,30,Customer Success,Manager,0.798,0.552,0.524
EMP00194,30,12,Engineering,IC1,0.834,0.643,0.493
EMP00195,22,10,Data,IC1,0.751,0.766,0.67
EMP00196,29,25,Legal,IC3,0.803,0.747,0.631
EMP00197,46,33,Marketing,Manager,0.713,0.723,0.618
EMP00198,29,15,Data,IC1,0.181,0.742,0.339
EMP00199,23,11,Marketing,Manager,0.726,0.757,0.604
EMP00200,35,13,Engineering,IC1,0.479,0.94,0.62
EMP00201,26,20,Product,IC4,0.968,0.659,0.679
EMP00202,22,21,Engineering,IC1,0.931,0.785,0.587
EMP00203,34,12,Marketing,IC4,0.655,0.581,0.72
EMP00204,42,13,Product,Senior Manager,0.504,0.542,0.629
EMP00205,39,37,Engineering,Director,0.802,0.474,0.426
EMP00206,30,9,Customer Success,IC2,0.692,0.358,0.805
EMP00207,45,17,Product,IC2,0.762,0.454,0.765
EMP00208,31,9,Legal,IC3,0.44,0.496,0.858
EMP00209,24,28,Marketing,IC3,0.494,0.814,0.527
EMP00210,30,20,Operations,IC1,0.736,0.739,0.371
EMP00211,42,40,HR,IC1,0.806,0.139,0.769
EMP00212,28,26,Marketing,IC2,0.748,0.571,0.504
EMP00213,33,18,Legal,IC2,0.501,0.777,0.54
EMP00214,33,16,Sales,IC1,0.818,0.639,0.609
EMP00215,45,50,Data,IC1,0.416,0.677,0.836
EMP00216,33,18,Data,IC1,0.641,0.542,0.71
EMP00217,38,22,HR,IC3,0.789,0.836,0.478
EMP00218,34,12,Marketing,IC3,0.683,0.494,0.783
EMP00219,42,19,HR,IC2,0.444,0.842,0.88
EMP00220,35,28,Finance,IC1,0.753,0.271,0.389
EMP00221,27,27,Marketing,IC2,0.786,0.686,0.306
EMP00222,23,12,Product,IC1,0.664,0.552,0.309
EMP00223,39,55,Product,IC2,0.866,0.911,0.528
EMP00224,24,13,Finance,IC2,0.665,0.607,0.412
EMP00225,23,32,Customer Success,IC4,0.796,0.368,0.793
EMP00226,23,57,Finance,IC1,0.868,0.53,0.239
EMP00227,35,13,Finance,IC3,0.657,0.654,0.55
EMP00228,30,21,HR,IC2,0.463,0.573,0.567
EMP00229,24,44,Engineering,IC1,0.726,0.528,0.217
EMP00230,26,17,Product,Director,0.613,0.457,0.4
EMP00231,24,52,Engineering,IC4,0.487,0.376,0.44
EMP00232,24,12,Finance,IC1,0.851,0.663,0.38
EMP00233,22,26,Customer Success,IC2,0.889,0.521,0.672
EMP00234,41,45,Product,IC2,0.649,0.687,0.483
EMP00235,24,4,Marketing,IC1,0.831,0.549,0.53
EMP00236,33,71,Marketing,IC2,0.616,0.265,0.555
EMP00237,27,22,Marketing,IC2,0.553,0.557,0.466
EMP00238,28,13,Legal,IC1,0.667,0.356,0.532
EMP00239,27,19,HR,Manager,0.559,0.624,0.428
EMP00240,35,44,Sales,Senior Manager,0.723,0.431,0.395
EMP00241,31,12,Finance,IC1,0.772,0.092,0.718
EMP00242,45,56,Sales,IC3,0.831,0.617,0.706
EMP00243,39,3,Operations,IC1,0.575,0.605,0.634
EMP00244,29,18,HR,IC4,0.447,0.668,0.559
EMP00245,34,20,Marketing,IC4,0.841,0.617,0.41
EMP00246,36,26,Product,IC1,0.629,0.797,0.441
EMP00247,22,7,HR,IC1,0.626,0.604,0.737
EMP00248,31,54,Legal,IC2,0.768,0.544,0.544
EMP00249,25,29,Product,IC1,0.26,0.77,0.824
EMP00250,34,14,Engineering,IC3,0.31,0.472,0.266
EMP00251,28,43,Legal,Senior Manager,0.477,0.61,0.623
EMP00252,30,15,Engineering,IC3,0.485,0.757,0.534
EMP00253,35,32,Product,IC2,0.588,0.924,0.676
EMP00254,38,12,Marketing,Manager,0.5,0.681,0.734
EMP00255,31,37,Sales,IC2,0.509,0.671,0.58
EMP00256,49,37,Finance,IC1,0.403,0.5,0.475
EMP00257,38,29,HR,IC1,0.433,0.602,0.422
EMP00258,34,26,HR,IC1,0.516,0.8,0.47
EMP00259,43,37,Marketing,IC1,0.488,0.601,0.091
EMP00260,50,24,Finance,IC2,0.667,0.84,0.553
EMP00261,33,21,Engineering,IC2,0.691,0.583,0.577
EMP00262,33,21,Sales,IC2,0.603,0.506,0.493
EMP00263,48,18,Finance,IC2,0.849,0.83,0.614
EMP00264,27,10,Engineering,IC1,0.82,0.919,0.57
EMP00265,29,11,Finance,IC1,0.553,0.684,0.51
EMP00266,29,14,Operations,IC2,0.726,0.648,0.432
EMP00267,35,18,HR,IC1,0.608,0.681,0.676
EMP00268,41,16,Operations,Manager,0.439,0.55,0.252
EMP00269,35,17,Finance,IC2,0.389,0.734,0.246
EMP00270,23,9,Legal,IC3,0.822,0.616,0.494
EMP00271,45,48,HR,IC1,0.906,0.321,0.783
EMP00272,30,19,Sales,Senior Manager,0.732,0.629,0.394
EMP00273,43,32,Marketing,Manager,0.592,0.807,0.714
EMP00274,40,12,Operations,IC1,0.55,0.765,0.574
EMP00275,39,27,Marketing,IC1,0.51,0.589,0.624
EMP00276,27,34,Engineering,IC4,0.636,0.23,0.633
EMP00277,30,27,Data,Senior Manager,0.713,0.785,0.378
EMP00278,42,46,Legal,IC4,0.372,0.605,0.689
EMP00279,22,15,Engineering,IC2,0.886,0.878,0.832
EMP00280,29,21,Customer Success,IC2,0.604,0.96,0.55
EMP00281,37,49,Engineering,IC3,0.651,0.649,0.797
EMP00282,38,17,Engineering,IC4,0.334,0.847,0.148
EMP00283,30,34,Data,IC3,0.506,0.605,0.547
EMP00284,33,24,HR,IC2,0.407,0.797,0.652
EMP00285,40,19,Legal,IC3,0.812,0.638,0.895
EMP00286,42,18,Legal,IC1,0.708,0.318,0.795
EMP00287,36,14,Sales,IC1,0.572,0.652,0.37
EMP00288,41,12,Engineering,IC3,0.813,0.871,0.505
EMP00289,34,9,Legal,IC2,0.337,0.581,0.511
EMP00290,36,50,Product,Manager,0.523,0.65,0.404
EMP00291,28,5,Sales,Manager,0.69,0.829,0.564
EMP00292,35,8,Product,IC2,0.59,0.651,0.652
EMP00293,31,19,Data,IC2,0.589,0.93,0.591
EMP00294,23,13,Product,IC1,0.363,0.265,0.399
EMP00295,22,17,Marketing,IC2,0.594,0.398,0.474
EMP00296,35,42,Finance,IC2,0.376,0.859,0.649
EMP00297,22,30,Product,Manager,0.804,0.35,0.695
EMP00298,38,17,Data,IC2,0.906,0.698,0.304
EMP00299,31,26,Marketing,IC3,0.625,0.557,0.668
EMP00300,22,18,Data,Senior Manager,0.9,0.644,0.356
EMP00301,26,32,Data,IC2,0.87,0.451,0.621
EMP00302,41,10,Engineering,IC2,0.441,0.841,0.692
EMP00303,22,17,Data,Manager,0.685,0.847,0.286
EMP00304,35,32,Product,IC4,0.606,0.507,0.493
EMP00305,22,14,Finance,IC1,0.649,0.136,0.555
EMP00306,27,16,Data,IC2,0.571,0.741,0.585
EMP00307,40,36,Data,Director,0.546,0.506,0.514
EMP00308,23,7,Legal,IC1,0.774,0.201,0.616
EMP00309,25,37,Customer Success,IC2,0.633,0.412,0.715
EMP00310,33,18,Operations,IC3,0.686,0.634,0.445
EMP00311,34,39,Marketing,IC1,0.267,0.844,0.318
EMP00312,35,9,Customer Success,IC4,0.516,0.75,0.781
EMP00313,34,15,Marketing,Manager,0.498,0.512,0.342
EMP00314,45,15,Operations,Director,0.549,0.498,0.518
EMP00315,34,20,Finance,IC3,0.762,0.551,0.404
EMP00316,24,44,Sales,IC3,0.713,0.688,0.598
EMP00317,24,10,Operations,IC1,0.74,0.908,0.441
EMP00318,36,19,HR,IC3,0.489,0.682,0.735
EMP00319,45,18,Customer Success,Director,0.568,0.299,0.64
EMP00320,29,15,Product,IC2,0.868,0.454,0.711
EMP00321,30,41,Engineering,IC4,0.748,0.928,0.378
EMP00322,30,36,HR,IC3,0.541,0.527,0.401
EMP00323,27,9,Data,IC1,0.852,0.742,0.562
EMP00324,35,30,Data,IC2,0.517,0.397,0.84
EMP00325,31,25,Product,Senior Manager,0.519,0.781,0.539
EMP00326,28,24,Product,IC3,0.59,0.356,0.347
EMP00327,40,9,Legal,IC2,0.708,0.87,0.513
EMP00328,33,17,Marketing,IC4,0.647,0.488,0.46
EMP00329,28,28,Legal,IC4,0.68,0.343,0.596
EMP00330,32,4,Operations,IC1,0.637,0.784,0.71
EMP00331,32,33,Sales,Director,0.356,0.733,0.602
EMP00332,28,26,Customer Success,IC3,0.663,0.62,0.728
EMP00333,33,28,Product,IC1,0.443,0.642,0.648
EMP00334,34,20,Marketing,IC1,0.742,0.634,0.529
EMP00335,22,12,Customer Success,IC2,0.399,0.258,0.429
EMP00336,25,17,Operations,IC2,0.595,0.73,0.566
EMP00337,33,5,Sales,IC3,0.555,0.404,0.684
EMP00338,25,24,HR,IC1,0.696,0.905,0.573
EMP00339,35,18,Legal,IC3,0.6,0.708,0.532
EMP00340,27,21,Operations,IC3,0.816,0.622,0.545
EMP00341,42,23,Data,IC1,0.777,0.855,0.557
EMP00342,31,41,Legal,IC1,0.72,0.669,0.484
EMP00343,42,22,Engineering,IC2,0.55,0.557,0.538
EMP00344,27,20,Legal,IC2,0.384,0.405,0.618
EMP00345,41,17,Operations,IC2,0.555,0.667,0.36
EMP00346,42,11,Product,Manager,0.708,0.703,0.678
EMP00347,30,37,Sales,IC2,0.714,0.206,0.73
EMP00348,39,23,Operations,IC3,0.639,0.828,0.536
EMP00349,56,13,Product,IC2,0.592,0.596,0.363
EMP00350,37,14,Product,Senior Manager,0.383,0.735,0.866
EMP00351,42,21,Legal,IC2,0.638,0.421,0.817
EMP00352,35,5,Sales,IC2,0.581,0.358,0.595
EMP00353,22,9,Operations,Senior Manager,0.683,0.796,0.381
EMP00354,22,18,Operations,IC4,0.878,0.501,0.419
EMP00355,39,13,Data,Manager,0.874,0.771,0.625
EMP00356,23,33,Marketing,IC3,0.425,0.634,0.722
EMP00357,32,68,Customer Success,IC1,0.619,0.877,0.676
EMP00358,31,13,Marketing,IC2,0.677,0.592,0.551
EMP00359,37,16,Operations,IC4,0.429,0.609,0.297
EMP00360,25,20,Legal,IC3,0.432,0.51,0.628
EMP00361,30,10,HR,IC1,0.493,0.798,0.534
EMP00362,28,12,Operations,Manager,0.517,0.745,0.8
EMP00363,28,27,Engineering,IC1,0.678,0.564,0.485
EMP00364,23,32,Product,IC1,0.549,0.351,0.271
EMP00365,23,27,Finance,IC3,0.743,0.809,0.691
EMP00366,25,20,Operations,IC2,0.669,0.804,0.609
EMP00367,22,30,Engineering,IC2,0.37,0.536,0.684
EMP00368,37,62,Engineering,Manager,0.858,0.582,0.447
EMP00369,35,39,Customer Success,IC3,0.802,0.513,0.665
EMP00370,29,25,Sales,IC1,0.765,0.56,0.755
EMP00371,29,19,Operations,Senior Manager,0.731,0.342,0.65
EMP00372,33,6,Sales,IC2,0.516,0.829,0.547
EMP00373,38,26,HR,IC2,0.762,0.806,0.213
EMP00374,35,27,Legal,Manager,0.874,0.534,0.597
EMP00375,22,30,Finance,IC2,0.842,0.568,0.565
EMP00376,27,31,Legal,Senior Manager,0.387,0.46,0.558
EMP00377,22,39,Engineering,Manager,0.777,0.596,0.771
EMP00378,41,8,Product,IC4,0.71,0.771,0.308
EMP00379,31,19,Product,IC4,0.421,0.386,0.435
EMP00380,27,15,Sales,IC1,0.62,0.256,0.774
EMP00381,45,9,Legal,IC3,0.606,0.541,0.303
EMP00382,29,23,Engineering,IC4,0.669,0.405,0.374
EMP00383,32,21,Customer Success,IC2,0.591,0.449,0.766
EMP00384,22,49,Data,Manager,0.836,0.463,0.552
EMP00385,37,24,Legal,IC3,0.604,0.652,0.538
EMP00386,30,19,Sales,IC4,0.729,0.771,0.332
EMP00387,45,15,Finance,IC3,0.768,0.773,0.636
EMP00388,22,33,Sales,IC2,0.729,0.704,0.6
EMP00389,24,9,Engineering,IC2,0.73,0.417,0.531
EMP00390,26,64,Operations,IC3,0.692,0.719,0.551
EMP00391,29,7,Customer Success,IC1,0.73,0.868,0.434
EMP00392,46,22,Engineering,IC2,0.534,0.647,0.182
EMP00393,31,47,Customer Success,Senior Manager,0.821,0.811,0.676
EMP00394,33,17,Marketing,IC3,0.591,0.239,0.672
EMP00395,41,19,Marketing,IC2,0.433,0.524,0.294
EMP00396,37,23,Product,IC3,0.787,0.823,0.794
EMP00397,29,14,Customer Success,IC2,0.749,0.571,0.482
EMP00398,26,19,Legal,IC1,0.683,0.478,0.725
EMP00399,23,23,Finance,IC1,0.533,0.671,0.767
EMP00400,22,7,Data,IC3,0.361,0.534,0.659
EMP00401,24,92,Sales,Senior Manager,0.717,0.664,0.428
EMP00402,23,36,Marketing,Senior Manager,0.711,0.441,0.496
EMP00403,22,16,Sales,IC1,0.613,0.467,0.579
EMP00404,48,49,Sales,IC3,0.793,0.62,0.696
EMP00405,34,18,Finance,IC2,0.727,0.852,0.51
EMP00406,22,31,Engineering,IC1,0.521,0.34,0.728
EMP00407,33,44,Sales,IC1,0.386,0.221,0.751
EMP00408,37,14,Customer Success,IC3,0.615,0.817,0.324
EMP00409,41,41,Finance,IC2,0.663,0.668,0.456
EMP00410,42,10,Marketing,IC2,0.491,0.874,0.754
EMP00411,22,6,Operations,IC3,0.295,0.493,0.416
EMP00412,30,1,Sales,IC3,0.698,0.741,0.762
EMP00413,37,22,Product,IC2,0.68,0.695,0.862
EMP00414,41,6,Finance,IC3,0.363,0.845,0.353
EMP00415,33,21,Engineering,IC1,0.438,0.538,0.25
EMP00416,42,23,HR,IC3,0.75,0.931,0.649
EMP00417,24,50,Marketing,IC1,0.756,0.535,0.58
EMP00418,24,28,Marketing,Manager,0.871,0.6,0.433
EMP00419,41,12,HR,IC2,0.511,0.788,0.538
EMP00420,29,22,Customer Success,IC3,0.465,0.8,0.841
EMP00421,38,33,Operations,IC3,0.841,0.436,0.581
EMP00422,34,47,Marketing,IC3,0.776,0.542,0.615
EMP00423,38,15,Marketing,Manager,0.872,0.855,0.254
EMP00424,44,25,Engineering,Manager,0.674,0.669,0.659
EMP00425,22,22,Marketing,IC4,0.758,0.534,0.329
EMP00426,36,13,Finance,IC3,0.796,0.815,0.528
EMP00427,44,12,Customer Success,IC3,0.771,0.786,0.735
EMP00428,28,20,Operations,IC1,0.54,0.695,0.819
EMP00429,25,11,Product,IC1,0.649,0.752,0.471
EMP00430,44,14,Operations,Manager,0.556,0.789,0.706
EMP00431,39,17,Customer Success,IC2,0.737,0.463,0.79
EMP00432,22,19,Legal,IC1,0.656,0.741,0.576
EMP00433,28,23,Finance,IC2,0.712,0.779,0.721
EMP00434,41,20,Legal,IC2,0.731,0.792,0.639
EMP00435,30,36,Customer Success,IC1,0.494,0.646,0.425
EMP00436,22,37,Engineering,IC1,0.803,0.891,0.479
EMP00437,30,25,Product,IC1,0.546,0.666,0.427
EMP00438,28,22,Operations,IC1,0.744,0.476,0.537
EMP00439,23,31,Sales,IC4,0.416,0.392,0.598
EMP00440,39,39,Data,Senior Manager,0.258,0.625,0.332
EMP00441,50,15,Operations,Manager,0.748,0.793,0.683
EMP00442,28,17,Engineering,IC1,0.759,0.542,0.565
EMP00443,28,42,Product,IC1,0.913,0.389,0.513
EMP00444,27,31,Data,IC3,0.913,0.635,0.41
EMP00445,39,22,Finance,IC1,0.848,0.626,0.378
EMP00446,22,13,Customer Success,IC1,0.821,0.778,0.454
EMP00447,31,25,Customer Success,IC1,0.694,0.764,0.642
EMP00448,42,23,Finance,Senior Manager,0.499,0.807,0.853
EMP00449,33,17,Data,IC1,0.617,0.339,0.529
EMP00450,22,26,Legal,IC2,0.601,0.354,0.692
EMP00451,22,33,Product,IC1,0.61,0.685,0.257
EMP00452,30,25,Finance,Manager,0.922,0.409,0.45
EMP00453,39,31,Data,IC1,0.584,0.873,0.698
EMP00454,42,28,Marketing,IC1,0.303,0.593,0.703
EMP00455,29,20,Operations,Director,0.482,0.604,0.566
EMP00456,26,33,Engineering,IC1,0.734,0.432,0.466
EMP00457,31,40,Finance,IC3,0.808,0.474,0.37
EMP00458,31,31,Engineering,IC4,0.49,0.848,0.441
EMP00459,34,5,Legal,IC1,0.569,0.761,0.417
EMP00460,43,14,Legal,IC2,0.671,0.465,0.78
