employee_id,num_surveys_completed,avg_engagement,latest_engagement,engagement_trend,attrition_risk,did_leave
EMP00272,8,33.7,35.5,-0.07,0.645,1
EMP00273,8,47.3,45.6,-1.83,0.544,1
EMP00274,8,41.8,50.3,1.71,0.497,0
EMP00275,7,38.3,33.6,-2.6,0.664,0
EMP00276,8,39.4,41.3,-0.39,0.587,0
EMP00277,7,48.1,41.5,-1.13,0.585,1
EMP00278,8,42.3,39.6,1.69,0.604,1
EMP00279,6,57.0,52.0,-4.72,0.48,1
EMP00280,8,43.8,45.8,0.24,0.542,1
EMP00281,8,44.9,44.2,-0.13,0.558,0
EMP00282,8,22.0,21.1,0.41,0.789,0
EMP00283,8,42.2,43.3,-0.31,0.567,1
EMP00284,7,38.1,32.4,-0.28,0.676,0
EMP00285,3,48.7,48.7,6.55,0.413,0
EMP00286,7,36.5,40.6,-0.95,0.594,1
EMP00287,7,32.7,37.7,2.38,0.623,0
EMP00288,7,48.3,53.5,1.38,0.465,0
EMP00289,6,27.8,30.7,5.84,0.593,1
EMP00290,6,33.0,29.9,0.88,0.701,0
EMP00291,7,57.7,59.5,-0.75,0.405,0
EMP00292,7,35.7,35.3,-2.68,0.647,1
EMP00293,6,48.2,48.7,0.64,0.513,1
EMP00294,6,9.9,13.5,-1.56,0.865,1
EMP00295,7,35.0,36.6,-1.2,0.634,0
EMP00296,6,36.0,40.5,0.68,0.595,1
EMP00297,6,39.8,41.4,4.02,0.586,0
EMP00298,8,36.9,42.9,-0.74,0.571,1
EMP00299,7,41.5,46.0,1.93,0.54,1
EMP00300,7,32.5,34.1,1.17,0.659,0
EMP00301,7,50.2,45.7,-1.42,0.543,0
EMP00302,8,35.4,35.1,-1.0,0.649,1
EMP00303,6,36.5,40.1,2.6,0.599,1
EMP00304,7,34.5,36.0,4.18,0.64,1
EMP00305,7,24.6,31.0,4.12,0.69,1
EMP00306,6,39.0,34.6,-0.78,0.654,1
EMP00307,7,41.3,43.5,-1.65,0.565,1
EMP00308,6,27.6,27.8,3.9,0.722,0
EMP00309,6,35.8,34.5,-3.12,0.655,1
EMP00310,5,40.5,37.8,-3.78,0.622,0
EMP00311,6,21.7,20.7,-1.08,0.793,1
EMP00312,5,42.2,43.5,3.42,0.565,0
EMP00313,7,29.6,35.2,2.85,0.648,1
EMP00314,6,36.3,36.8,-0.38,0.632,1
EMP00315,7,40.9,35.0,-4.52,0.65,0
EMP00316,7,51.3,62.1,5.97,0.279,0
EMP00317,5,46.3,40.8,-4.92,0.592,0
EMP00318,7,39.4,42.1,4.32,0.579,1
EMP00319,6,33.4,29.7,-3.64,0.703,1
EMP00320,8,39.7,25.4,-4.69,0.746,1
EMP00321,5,47.8,44.5,-2.43,0.555,0
EMP00322,7,41.2,35.8,-3.08,0.642,1
EMP00323,7,42.0,46.5,2.47,0.535,0
EMP00324,8,41.1,43.7,2.96,0.563,0
EMP00325,6,50.6,52.6,-1.64,0.474,0
EMP00326,6,32.4,29.5,2.52,0.705,0
EMP00327,7,43.3,41.9,0.27,0.581,1
EMP00328,7,29.9,44.6,7.22,0.454,0
EMP00329,7,34.3,41.1,-1.27,0.589,0
EMP00330,7,57.3,64.6,-3.17,0.354,0
EMP00331,7,41.5,35.9,-3.73,0.641,0
EMP00332,8,48.8,46.4,-0.34,0.536,0
EMP00333,4,30.7,27.6,0.63,0.724,1
EMP00334,8,30.8,26.3,-4.9,0.737,0
EMP00335,6,25.1,20.8,-0.48,0.792,1
EMP00336,7,37.1,32.4,1.17,0.676,1
EMP00337,8,47.0,45.8,0.87,0.542,1
EMP00338,7,47.2,46.8,2.37,0.532,1
EMP00339,7,41.1,33.4,-1.6,0.666,0
EMP00340,8,36.4,33.6,-1.06,0.664,1
EMP00341,7,48.8,42.0,-4.18,0.58,0
EMP00342,7,49.8,49.8,2.28,0.502,0
EMP00343,7,34.5,33.8,-0.3,0.662,0
EMP00344,7,22.5,18.2,0.27,0.818,1
EMP00345,7,28.7,29.4,0.95,0.706,1
EMP00346,7,41.9,41.2,-0.08,0.588,0
EMP00347,5,41.5,51.6,4.12,0.484,0
EMP00348,6,38.4,24.1,-7.54,0.959,1
EMP00349,7,31.5,27.4,-1.3,0.726,1
EMP00350,6,37.0,35.7,-0.18,0.643,1
EMP00351,7,35.3,36.7,0.0,0.633,1
EMP00352,6,36.2,34.5,-2.68,0.655,0
EMP00353,8,37.5,33.4,-1.67,0.666,0
EMP00354,7,36.6,38.9,-0.85,0.611,0
EMP00355,8,46.7,45.5,1.4,0.545,0
EMP00356,6,38.1,39.4,-0.14,0.606,1
EMP00357,7,46.4,48.7,3.05,0.513,1
EMP00358,6,45.4,48.7,-1.0,0.513,0
EMP00359,8,29.8,25.6,0.89,0.744,0
EMP00360,7,27.7,18.6,-5.47,1.0,1
EMP00361,8,43.9,48.0,4.11,0.52,1
EMP00362,7,40.3,34.6,-4.73,0.654,1
EMP00363,6,39.3,43.4,1.96,0.566,0
EMP00364,7,26.5,22.8,-1.68,0.772,0
EMP00365,6,56.8,57.6,-0.74,0.424,1
EMP00366,8,43.1,39.8,0.59,0.602,0
EMP00367,7,44.9,41.4,1.47,0.586,1
EMP00368,6,45.0,42.2,-3.72,0.578,1
EMP00369,7,45.4,47.8,-0.63,0.522,0
EMP00370,8,53.8,52.3,0.89,0.477,0
EMP00371,4,34.7,33.0,0.3,0.67,1
EMP00372,7,38.6,44.1,4.28,0.559,1
EMP00373,7,43.6,41.0,-0.15,0.59,0
EMP00374,7,41.9,42.8,0.12,0.572,1
EMP00375,8,52.3,46.9,-2.1,0.531,0
EMP00376,8,31.0,32.1,-2.2,0.679,1
EMP00377,6,55.2,57.3,3.12,0.427,1
EMP00378,7,36.3,37.5,2.63,0.625,1
EMP00379,6,31.0,23.7,-2.54,0.763,0
EMP00380,7,30.3,25.4,-0.62,0.746,0
EMP00381,8,33.1,22.2,-1.04,0.778,1
EMP00382,5,26.2,30.7,1.83,0.693,0
EMP00383,5,28.1,30.7,0.9,0.693,1
EMP00384,8,43.3,39.2,0.27,0.608,0
EMP00385,7,37.3,35.9,-2.65,0.641,1
EMP00386,6,38.4,42.2,2.94,0.578,1
EMP00387,7,44.7,45.2,-2.77,0.548,1
EMP00388,8,52.3,60.9,6.33,0.291,1
EMP00389,7,38.3,39.2,-0.88,0.608,0
EMP00390,7,54.3,53.3,1.0,0.467,0
EMP00391,8,34.0,29.5,-1.8,0.705,1
EMP00392,6,29.4,32.1,0.06,0.679,1
EMP00393,8,51.8,50.3,-0.56,0.497,1
EMP00394,7,28.7,30.3,2.08,0.697,1
EMP00395,6,26.4,27.1,-2.52,0.729,1
EMP00396,5,49.8,53.5,1.33,0.465,1
EMP00397,5,31.6,33.7,0.58,0.663,0
EMP00398,7,38.4,37.3,-0.73,0.627,1
EMP00399,7,42.4,46.2,1.8,0.538,1
EMP00400,6,31.1,29.7,-2.0,0.703,1
EMP00401,7,46.7,48.6,0.18,0.514,1
EMP00402,5,42.8,44.5,0.0,0.555,0
EMP00403,6,32.2,25.1,1.72,0.749,0
EMP00404,8,53.7,51.2,-0.63,0.488,0
EMP00405,7,34.2,27.8,-2.45,0.722,1
EMP00406,7,36.9,42.6,1.55,0.574,1
EMP00407,7,33.1,34.4,-0.93,0.656,1
EMP00408,7,32.4,43.0,2.55,0.57,1
EMP00409,8,40.1,35.5,-0.13,0.645,0
EMP00410,7,37.4,33.6,-4.77,0.664,1
EMP00411,7,27.0,27.6,-0.35,0.724,1
EMP00412,5,63.1,62.8,1.97,0.372,0
EMP00413,7,44.3,41.3,-0.53,0.587,0
EMP00414,6,34.2,34.6,1.32,0.654,0
EMP00415,7,29.6,35.0,-1.52,0.65,0
EMP00416,7,45.5,46.0,1.22,0.54,0
EMP00417,6,40.6,40.8,-0.38,0.592,0
EMP00418,8,41.9,39.9,1.16,0.601,1
EMP00419,8,32.2,26.2,-2.11,0.738,1
EMP00420,6,39.4,43.4,2.7,0.566,1
EMP00421,8,43.7,45.7,2.87,0.543,0
EMP00422,7,52.7,50.9,0.07,0.491,0
EMP00423,8,39.8,44.2,2.23,0.558,1
EMP00424,5,42.0,39.8,5.15,0.502,0
EMP00425,8,31.6,25.9,-1.06,0.741,1
EMP00426,8,43.9,49.1,-0.37,0.509,1
EMP00427,7,45.6,43.1,-1.22,0.569,0
EMP00428,7,47.2,43.6,1.77,0.564,1
EMP00429,6,38.6,39.9,-1.36,0.601,0
EMP00430,8,36.8,36.1,0.76,0.639,1
EMP00431,7,41.5,53.6,3.47,0.464,1
EMP00432,4,51.4,58.8,8.1,0.312,0
EMP00433,6,46.9,46.4,-0.86,0.536,0
EMP00434,5,39.0,46.0,2.08,0.54,1
EMP00435,6,38.3,40.6,3.7,0.594,1
EMP00436,7,54.8,54.2,0.25,0.458,0
EMP00437,6,36.6,36.8,-1.66,0.632,1
EMP00438,7,31.8,39.7,3.17,0.603,1
EMP00439,8,33.8,35.2,-3.3,0.648,1
EMP00440,8,30.2,33.6,2.3,0.664,1
EMP00441,6,41.4,43.6,-1.14,0.564,0
EMP00442,7,37.2,38.0,1.03,0.62,1
EMP00443,7,44.0,39.6,-4.45,0.604,1
EMP00444,8,46.3,41.8,-1.87,0.582,1
EMP00445,6,36.5,33.6,-1.48,0.664,1
EMP00446,6,35.9,27.0,-3.22,0.73,1
EMP00447,7,52.1,49.5,-0.22,0.505,0
EMP00448,6,36.7,40.4,4.08,0.596,1
EMP00449,8,36.5,34.0,0.17,0.66,1
EMP00450,6,36.2,25.5,-2.86,0.745,1
EMP00451,8,36.8,35.0,-3.03,0.65,1
EMP00452,8,50.6,45.7,-2.9,0.543,0
EMP00453,7,50.6,45.8,-0.28,0.542,0
EMP00454,6,35.7,36.1,-1.96,0.639,1
EMP00455,5,33.6,32.7,4.85,0.673,1
EMP00456,7,36.7,39.5,-2.53,0.605,1
EMP00457,6,46.2,53.6,5.44,0.364,1
EMP00458,8,43.1,48.7,-0.13,0.513,1
EMP00459,6,49.3,45.7,-0.36,0.543,1
EMP00460,7,38.8,33.4,-1.43,0.666,0
EMP00461,8,32.8,30.8,1.93,0.692,1
EMP00462,7,32.9,26.3,-0.45,0.737,1
EMP00463,8,35.1,32.9,-0.09,0.671,1
EMP00464,6,31.1,31.6,-0.5,0.684,1
EMP00465,7,39.7,44.4,-3.6,0.556,0
EMP00466,6,28.5,26.3,-1.38,0.737,0
EMP00467,5,35.2,38.8,-1.5,0.612,1
EMP00468,7,47.7,52.7,2.22,0.473,0
EMP00469,6,34.5,33.3,0.98,0.667,1
EMP00470,7,45.7,52.9,3.87,0.471,0
EMP00471,7,30.6,40.2,2.85,0.598,1
EMP00472,8,42.6,36.6,-0.69,0.634,1
EMP00473,5,46.5,42.6,-2.88,0.574,1
EMP00474,7,42.8,37.8,-1.4,0.622,1
EMP00475,7,50.1,51.4,0.53,0.486,0
EMP00476,8,44.8,37.5,-2.86,0.625,1
EMP00477,5,39.6,38.3,2.25,0.617,0
EMP00478,7,30.1,39.5,0.53,0.605,0
EMP00479,7,40.4,49.1,4.13,0.509,1
EMP00480,7,52.6,48.0,0.25,0.52,1
EMP00481,7,30.7,43.2,2.5,0.568,0
EMP00482,8,58.4,58.0,1.44,0.42,0
EMP00483,7,29.7,22.2,-3.38,0.778,1
EMP00484,7,26.5,14.3,-6.82,1.0,1
EMP00485,6,50.0,44.2,-4.06,0.558,1
EMP00486,8,32.6,37.3,-1.69,0.627,1
EMP00487,6,39.5,43.6,0.3,0.564,0
EMP00488,7,45.0,49.7,2.12,0.503,1
EMP00489,8,41.5,38.4,0.51,0.616,1
EMP00490,7,42.8,43.6,0.48,0.564,1
EMP00491,7,42.9,46.1,-2.77,0.539,1
EMP00492,6,51.1,49.8,-0.86,0.502,0
EMP00493,8,39.5,39.0,1.33,0.61,1
EMP00494,6,40.6,38.6,0.04,0.614,1
EMP00495,8,40.7,38.4,-2.01,0.616,0
EMP00496,6,46.7,43.0,-3.46,0.57,1
EMP00497,7,42.6,40.7,-1.57,0.593,0
EMP00498,6,37.1,43.4,2.78,0.566,0
EMP00499,7,41.7,44.7,0.05,0.553,0
EMP00500,4,39.0,39.0,-2.4,0.61,1
EMP00501,7,29.8,23.6,-2.78,0.764,1
EMP00502,6,28.0,22.3,-5.64,0.977,1
EMP00503,8,57.5,53.9,0.66,0.461,0
EMP00504,8,47.6,47.2,-1.24,0.528,1
EMP00505,7,28.1,32.3,1.58,0.677,1
EMP00506,7,36.9,36.5,1.85,0.635,0
EMP00507,8,33.2,29.2,-1.16,0.708,1
EMP00508,8,24.2,18.7,2.1,0.813,1
EMP00509,7,44.3,43.6,-2.78,0.564,0
EMP00510,7,29.3,22.7,-7.7,0.973,1
EMP00511,7,48.8,59.1,1.2,0.409,0
EMP00512,8,33.8,36.8,1.7,0.632,1
EMP00513,7,37.8,39.5,2.0,0.605,0
EMP00514,6,38.3,38.7,0.84,0.613,0
EMP00515,8,44.2,43.8,1.69,0.562,1
EMP00516,8,44.8,41.4,-0.16,0.586,1
EMP00517,8,51.5,47.0,-2.34,0.53,1
EMP00518,7,35.3,36.1,-3.05,0.639,1
EMP00519,6,40.5,39.3,-0.6,0.607,0
EMP00520,7,24.7,15.2,-4.4,0.848,0
EMP00521,8,42.7,43.1,0.2,0.569,1
EMP00522,7,37.2,31.9,1.62,0.681,1
EMP00523,8,50.2,49.5,1.51,0.505,0
EMP00524,8,34.8,36.3,0.34,0.637,1
