user_id,date,sleep_duration_hrs,deep_sleep_pct,rem_sleep_pct,wake_ups,sleep_efficiency_pct,bedtime_hr,focus_hours,tasks_completed,reaction_time_ms,working_memory_score,attention_score,caffeine_mg,exercise_minutes,stress_level,mental_clarity
USER001,2025-09-24,9.38,25.9,24.0,2,97.2,0.67,3.52,3,253,68,97,120,6,5,7
USER001,2025-09-25,7.24,15.0,27.3,2,98.8,0.72,6.4,7,266,88,89,33,8,6,5
USER001,2025-09-26,8.48,22.6,27.5,2,92.3,1.34,2.49,6,365,79,72,220,3,6,6
USER001,2025-09-27,9.46,20.8,22.8,4,99.1,1.91,5.93,3,290,72,81,43,42,2,7
USER001,2025-09-28,9.18,31.5,27.5,1,95.2,2.95,4.82,5,256,89,68,43,5,7,5
USER001,2025-09-29,5.93,22.7,29.6,0,92.8,1.06,3.66,1,352,83,84,135,7,5,4
USER001,2025-09-30,4.53,17.3,34.0,2,87.2,1.34,3.4,0,441,42,63,30,6,3,3
USER001,2025-10-01,7.13,25.6,27.8,1,92.1,1.06,7.06,2,287,69,68,47,47,3,3
USER001,2025-10-02,7.32,31.2,15.7,0,96.0,1.33,5.06,0,202,77,85,37,3,6,7
USER001,2025-10-03,8.59,19.8,25.9,2,97.5,0.89,7.09,1,316,95,72,25,11,4,7
USER001,2025-10-04,7.96,34.9,24.1,3,93.8,2.94,4.08,7,235,75,100,67,26,2,3
USER001,2025-10-05,9.77,22.9,25.3,1,95.5,1.69,5.02,1,313,66,81,302,3,1,5
USER001,2025-10-06,7.98,29.9,28.4,1,98.0,0.96,4.89,7,200,83,90,115,0,1,5
USER001,2025-10-07,6.89,26.0,23.7,2,97.4,1.11,2.45,1,233,72,82,63,10,2,5
USER001,2025-10-08,8.05,29.6,24.9,2,86.1,1.18,1.67,2,342,78,100,28,58,6,6
USER001,2025-10-09,8.29,29.1,26.6,0,89.6,0.72,8.19,1,246,80,79,76,17,3,4
USER001,2025-10-10,8.2,29.1,34.2,3,96.6,1.04,6.92,3,216,95,60,100,28,3,6
USER001,2025-10-11,9.09,17.5,26.2,4,97.2,1.78,4.77,8,272,100,74,18,16,1,5
USER001,2025-10-12,8.3,19.0,30.1,2,89.3,2.73,6.12,3,215,93,85,59,1,1,6
USER001,2025-10-13,6.98,25.2,32.2,1,88.2,1.47,5.24,4,303,67,69,185,0,4,5
USER001,2025-10-14,8.14,21.4,24.5,4,85.1,1.23,5.2,2,254,85,89,89,33,3,3
USER001,2025-10-15,8.07,17.3,34.7,1,96.4,1.19,6.5,5,315,100,96,25,0,6,6
USER001,2025-10-16,7.05,29.1,24.7,3,97.8,1.14,5.56,2,239,79,54,116,12,3,4
USER001,2025-10-17,6.73,23.4,37.9,1,94.0,1.15,5.11,4,266,66,78,152,7,4,3
USER001,2025-10-18,9.24,28.5,33.7,4,95.0,1.95,4.39,3,282,72,79,113,8,3,8
USER001,2025-10-19,10.52,15.9,30.8,1,93.2,2.08,3.58,1,323,42,65,71,1,3,7
USER001,2025-10-20,6.51,22.8,32.9,3,99.6,0.55,6.64,2,374,74,82,37,5,5,4
USER001,2025-10-21,7.8,33.9,27.5,2,89.1,0.78,7.38,4,285,96,58,120,2,1,4
USER001,2025-10-22,6.68,39.3,40.5,1,97.6,0.92,5.92,4,389,69,58,107,0,6,6
USER001,2025-10-23,7.79,41.1,30.6,4,95.6,1.05,8.87,3,332,85,70,46,33,2,7
USER001,2025-10-24,8.85,26.3,31.9,2,97.0,1.16,4.32,5,329,89,92,34,26,3,3
USER001,2025-10-25,9.64,22.3,35.7,2,94.5,1.81,3.74,6,246,77,78,29,20,6,3
USER001,2025-10-26,7.82,22.4,28.1,2,87.3,2.62,6.06,5,255,87,88,50,22,3,4
USER001,2025-10-27,7.63,24.4,25.5,1,95.1,1.46,5.99,4,200,85,77,17,30,5,6
USER001,2025-10-28,7.02,29.5,32.6,3,94.6,0.82,1.91,3,299,90,74,46,14,2,7
USER001,2025-10-29,6.23,28.8,22.6,1,95.7,1.36,5.04,1,249,79,69,82,2,5,5
USER001,2025-10-30,7.3,20.8,31.9,0,96.4,1.13,4.42,3,236,85,71,54,31,4,7
USER001,2025-10-31,6.06,22.9,24.4,3,94.9,0.77,6.13,1,250,80,76,35,5,2,7
USER001,2025-11-01,9.43,19.9,18.2,1,94.7,2.6,3.49,2,293,79,98,92,4,5,6
USER001,2025-11-02,8.83,31.8,23.5,2,91.8,2.19,4.22,8,200,80,75,52,8,5,4
USER001,2025-11-03,7.01,21.9,33.6,0,98.4,0.72,5.93,6,253,74,70,110,12,4,6
USER001,2025-11-04,8.21,19.8,38.6,5,96.4,0.67,4.16,8,272,100,100,497,14,3,7
USER001,2025-11-05,9.78,28.5,35.9,2,95.7,1.06,4.9,2,329,65,74,45,29,4,6
USER001,2025-11-06,7.27,21.9,16.1,1,94.5,0.76,3.61,4,200,88,81,158,8,6,8
USER002,2025-07-10,6.61,26.3,31.4,3,95.3,21.58,4.06,4,310,86,85,28,4,3,4
USER002,2025-07-11,5.99,28.9,17.5,4,93.0,21.59,4.06,8,218,94,74,229,27,2,7
USER002,2025-07-12,5.8,29.0,40.4,1,95.0,23.17,5.83,7,301,74,82,200,35,3,8
USER002,2025-07-13,7.05,31.0,27.6,1,96.3,22.6,6.0,2,245,82,71,24,30,6,7
USER002,2025-07-14,7.31,31.6,28.9,1,96.7,22.43,6.16,2,200,79,87,150,33,4,4
USER002,2025-07-15,5.73,35.9,22.7,4,97.7,22.5,4.17,6,200,81,64,94,68,5,7
USER002,2025-07-16,5.98,20.4,30.2,2,88.3,21.89,5.25,3,251,75,71,79,17,4,4
USER002,2025-07-17,5.61,17.8,22.0,1,97.4,22.1,4.78,2,248,70,90,24,61,3,5
USER002,2025-07-18,6.32,23.0,22.8,2,97.5,22.19,6.85,5,201,66,83,160,19,6,7
USER002,2025-07-19,6.55,20.0,24.3,3,95.8,22.27,6.49,4,200,64,100,103,35,3,4
USER002,2025-07-20,7.65,16.8,29.7,4,91.7,22.23,4.95,0,335,87,73,61,11,6,7
USER002,2025-07-21,4.0,27.2,33.0,4,94.4,22.18,4.77,0,255,70,76,10,1,4,5
USER002,2025-07-22,5.59,27.9,39.0,4,97.4,21.52,6.62,3,303,83,97,197,35,4,6
USER002,2025-07-23,6.13,31.5,31.2,3,89.1,22.08,7.76,4,299,73,68,17,6,4,5
USER002,2025-07-24,6.7,21.5,34.4,1,98.8,22.18,7.4,2,330,89,99,120,78,4,6
USER002,2025-07-25,6.3,22.4,28.6,0,95.9,22.13,7.09,1,212,76,91,53,10,5,7
USER002,2025-07-26,6.56,21.3,29.3,2,94.7,23.93,7.12,1,292,89,100,82,24,2,6
USER002,2025-07-27,8.53,20.5,34.1,0,97.5,22.86,5.38,2,389,64,73,64,14,4,4
USER002,2025-07-28,5.55,27.7,28.2,3,82.5,22.13,5.31,4,213,74,75,130,15,3,7
USER002,2025-07-29,5.65,24.6,31.3,2,86.7,21.91,6.33,2,229,70,91,179,5,5,6
USER002,2025-07-30,5.92,28.4,22.9,3,91.5,21.66,6.29,4,282,70,100,163,64,4,2
USER002,2025-07-31,6.25,32.8,28.2,1,92.6,22.27,4.75,5,222,86,99,67,2,4,5
USER002,2025-08-01,5.55,25.6,33.9,1,95.0,22.14,3.83,7,346,78,77,183,13,2,5
USER002,2025-08-02,6.52,21.8,30.5,1,82.4,22.92,5.26,1,339,80,94,10,27,4,7
USER002,2025-08-03,6.55,24.7,24.7,3,90.0,22.39,6.71,3,273,100,84,38,20,3,6
USER002,2025-08-04,8.55,26.1,31.0,1,98.5,22.45,3.57,2,291,70,73,193,16,4,5
USER002,2025-08-05,6.8,26.0,22.9,2,97.3,21.8,8.18,4,233,85,74,82,8,4,5
USER002,2025-08-06,5.72,19.9,37.9,6,91.9,21.61,6.57,3,217,78,95,6,21,3,4
USER002,2025-08-07,7.2,16.7,27.6,2,95.8,21.85,6.48,4,302,80,93,60,8,4,8
USER002,2025-08-08,4.14,21.1,36.1,3,80.8,21.87,5.28,0,289,41,72,259,5,2,5
USER002,2025-08-09,7.04,30.8,31.4,6,95.3,22.15,3.18,3,295,93,90,71,4,3,7
USER002,2025-08-10,6.53,23.7,25.1,4,96.2,23.13,4.23,4,237,75,97,70,14,3,5
USER002,2025-08-11,6.82,16.1,36.0,2,94.6,22.22,5.06,4,296,82,91,27,0,3,7
USER002,2025-08-12,6.92,30.8,29.8,1,89.9,22.32,5.54,5,259,82,92,46,1,3,6
USER002,2025-08-13,6.61,25.0,33.7,1,89.2,22.01,5.12,2,257,83,95,106,18,5,5
USER002,2025-08-14,6.03,18.5,30.0,2,97.8,21.83,6.02,5,278,80,83,109,16,3,5
USER002,2025-08-15,4.37,25.9,30.7,3,95.4,21.88,2.93,2,337,63,65,27,25,4,4
USER002,2025-08-16,8.94,26.0,34.4,3,97.3,22.82,2.03,3,311,73,63,46,5,3,4
USER002,2025-08-17,6.63,32.5,21.8,3,92.5,23.49,4.14,3,228,93,99,128,27,2,7
USER002,2025-08-18,7.54,21.0,25.1,1,97.4,22.43,3.82,2,245,81,73,67,32,2,7
USER002,2025-08-19,7.3,28.2,26.4,0,84.9,21.98,4.98,3,261,70,76,143,40,2,4
USER002,2025-08-20,5.94,12.7,28.4,1,96.8,22.0,5.66,1,225,81,66,205,11,3,5
USER002,2025-08-21,7.66,17.8,22.8,2,95.7,21.74,7.21,3,215,64,53,45,53,3,5
USER002,2025-08-22,6.41,28.8,34.8,0,86.0,22.46,4.87,4,240,91,85,34,12,3,7
USER002,2025-08-23,5.72,26.7,33.2,2,96.8,22.4,5.74,2,317,84,65,57,20,6,8
USER002,2025-08-24,7.07,32.6,30.7,2,88.0,23.0,4.71,8,333,95,68,21,1,6,7
USER002,2025-08-25,4.83,19.0,27.1,3,93.3,22.33,3.7,2,275,72,58,60,8,3,6
USER002,2025-08-26,8.72,19.8,27.6,1,95.9,22.48,3.05,2,344,78,70,143,13,4,6
USER002,2025-08-27,6.91,31.0,27.6,1,91.8,22.28,8.06,5,289,95,100,52,51,4,7
USER002,2025-08-28,6.9,28.8,23.5,2,89.6,21.53,7.12,2,276,74,70,77,22,3,7
USER002,2025-08-29,6.58,17.7,20.9,1,97.2,21.63,7.04,5,200,87,100,38,43,3,7
USER002,2025-08-30,7.91,34.0,25.0,3,96.6,22.47,4.81,1,323,69,69,14,12,2,2
USER002,2025-08-31,7.79,25.6,24.4,0,87.2,23.82,5.57,3,342,57,80,91,3,3,6
USER002,2025-09-01,7.94,27.8,28.4,2,96.0,21.69,3.14,2,325,71,80,82,76,5,7
USER002,2025-09-02,5.7,33.1,17.3,1,85.1,21.54,2.9,2,429,85,70,104,39,4,5
USER002,2025-09-03,4.94,36.8,34.7,2,98.1,22.44,5.37,4,291,72,48,24,22,4,8
USER002,2025-09-04,6.9,18.4,18.0,1,94.3,21.59,5.29,4,261,91,100,14,22,2,4
USER002,2025-09-05,5.67,21.5,34.6,2,98.7,22.04,3.35,1,270,79,85,43,20,2,7
USER002,2025-09-06,7.66,11.6,15.6,3,97.7,22.23,2.85,1,343,78,93,78,0,2,3
USER002,2025-09-07,7.41,35.8,24.2,2,93.2,23.61,5.43,5,297,70,74,150,30,4,3
USER002,2025-09-08,8.3,29.8,21.7,2,95.2,21.76,4.81,0,275,79,80,151,10,2,7
USER002,2025-09-09,7.07,26.9,24.6,1,81.7,21.61,6.27,3,287,69,71,256,14,4,8
USER002,2025-09-10,5.93,35.8,38.1,3,97.5,22.17,5.91,8,265,80,77,93,11,5,4
USER002,2025-09-11,5.5,23.0,31.8,0,97.0,21.65,7.58,4,302,94,81,168,17,3,6
USER002,2025-09-12,7.08,19.7,15.4,3,86.7,21.57,5.89,1,214,74,73,77,5,3,6
USER002,2025-09-13,7.95,21.2,27.7,2,91.1,23.08,3.86,2,292,63,86,40,42,3,8
USER002,2025-09-14,6.58,13.4,23.2,2,94.2,22.21,7.83,4,368,79,77,139,0,6,8
USER002,2025-09-15,7.11,17.3,39.0,1,98.7,21.91,5.88,2,323,87,98,81,0,4,8
USER002,2025-09-16,4.63,14.5,28.1,0,92.4,21.64,4.09,0,322,91,51,54,7,4,3
USER002,2025-09-17,6.18,29.0,33.8,0,88.7,21.99,7.11,1,200,91,71,257,3,3,8
USER002,2025-09-18,7.22,35.8,38.4,1,94.3,21.62,4.54,5,284,78,91,77,0,2,7
USER002,2025-09-19,6.64,25.2,35.0,5,96.5,22.02,4.55,5,223,89,97,198,23,3,6
USER002,2025-09-20,7.96,30.3,20.7,2,89.1,23.24,5.19,0,292,80,71,92,6,4,6
USER002,2025-09-21,7.88,32.1,29.0,2,92.3,22.67,7.09,2,388,71,72,105,60,3,6
USER002,2025-09-22,6.29,41.1,25.6,1,93.5,21.69,3.34,4,230,77,90,24,2,5,6
USER002,2025-09-23,6.52,27.5,32.3,1,96.0,21.56,7.87,5,261,100,83,48,9,1,7
USER002,2025-09-24,7.63,22.1,28.3,2,95.1,22.14,3.42,1,340,74,64,72,5,5,8
USER002,2025-09-25,7.21,22.2,23.0,0,87.1,22.06,5.94,3,349,69,86,165,10,6,8
USER002,2025-09-26,8.0,23.9,33.2,0,85.8,21.75,3.72,0,291,78,100,87,10,6,7
USER002,2025-09-27,7.28,25.8,21.0,0,95.5,23.02,0.54,1,338,65,100,140,39,3,5
USER002,2025-09-28,8.32,18.5,24.4,2,95.5,23.24,4.71,2,286,73,88,49,15,2,4
USER002,2025-09-29,4.0,22.5,22.6,1,98.7,21.95,5.06,1,284,69,68,162,18,1,5
USER002,2025-09-30,6.21,17.3,15.4,2,95.5,22.04,4.48,0,226,81,77,43,17,4,6
USER002,2025-10-01,5.62,18.7,25.8,2,85.2,22.15,6.45,4,258,73,59,90,1,3,5
USER002,2025-10-02,6.99,23.1,30.8,2,98.7,22.01,6.82,5,275,84,95,73,3,6,5
USER002,2025-10-03,7.64,30.8,32.2,3,88.9,21.52,3.54,2,383,90,84,61,21,5,4
USER002,2025-10-04,6.41,23.2,26.0,1,91.8,23.72,6.51,2,302,84,90,243,8,6,6
USER002,2025-10-05,6.33,25.5,22.0,3,97.8,23.28,6.86,8,210,78,59,244,1,2,8
USER002,2025-10-06,4.79,36.1,15.0,1,99.2,21.66,4.83,1,322,90,69,116,8,1,7
USER002,2025-10-07,6.23,26.4,37.8,1,97.7,22.11,5.78,9,316,78,80,23,25,2,7
USER002,2025-10-08,6.4,23.5,26.6,1,98.0,21.89,6.56,5,235,88,91,296,3,4,6
USER002,2025-10-09,6.81,21.1,26.0,2,95.0,21.63,4.77,1,239,100,74,66,2,6,4
USER002,2025-10-10,5.97,18.5,17.8,0,91.3,21.9,3.29,5,242,100,84,178,41,4,6
USER002,2025-10-11,7.29,24.5,19.6,1,86.2,22.96,6.26,2,274,76,72,25,11,2,6
USER002,2025-10-12,8.33,23.0,23.3,5,88.9,22.54,5.36,1,331,93,41,70,14,4,7
USER002,2025-10-13,6.54,18.7,28.9,1,93.3,22.48,7.0,6,236,68,97,178,18,2,2
USER002,2025-10-14,6.9,20.1,26.6,3,91.6,22.24,6.43,4,262,65,82,25,2,4,8
USER002,2025-10-15,7.41,37.5,27.1,0,88.1,22.08,5.5,2,200,91,69,172,25,3,7
USER002,2025-10-16,4.56,27.4,24.6,3,93.5,21.9,2.18,1,305,65,91,104,28,2,7
USER002,2025-10-17,6.49,27.7,22.6,0,90.3,21.73,2.95,3,276,83,96,36,15,1,6
USER002,2025-10-18,7.24,27.9,26.4,2,87.3,23.31,6.29,3,284,85,74,229,10,8,7
USER002,2025-10-19,7.46,27.1,31.7,1,97.4,23.32,4.37,2,200,65,85,44,25,3,3
USER002,2025-10-20,8.2,25.3,20.9,0,91.6,22.29,8.44,4,301,89,95,63,0,5,5
USER002,2025-10-21,6.19,30.0,23.0,1,93.8,21.95,4.06,4,229,80,73,30,21,6,5
USER002,2025-10-22,6.3,22.7,33.0,7,85.8,21.59,5.57,4,205,75,100,35,16,7,5
USER002,2025-10-23,5.6,19.5,31.2,2,90.1,22.31,6.16,5,329,75,87,116,38,3,6
USER002,2025-10-24,6.78,24.4,19.8,3,87.8,22.08,5.7,3,269,81,79,82,6,1,8
USER002,2025-10-25,7.73,22.3,20.6,2,89.3,23.51,5.66,2,317,65,65,37,25,5,6
USER002,2025-10-26,8.38,17.8,31.4,2,87.8,22.9,1.3,3,326,64,69,63,32,3,2
USER002,2025-10-27,5.14,28.1,22.7,1,87.7,22.0,3.75,2,305,92,73,4,18,5,6
USER002,2025-10-28,6.8,38.6,19.9,2,95.6,21.92,6.92,5,331,89,100,18,44,3,7
USER002,2025-10-29,5.69,24.2,23.0,2,87.3,22.22,2.04,2,285,72,86,91,33,3,4
USER002,2025-10-30,6.39,20.6,24.4,0,94.1,21.69,3.93,2,307,83,86,99,2,4,6
USER002,2025-10-31,6.32,15.1,25.9,2,88.8,22.06,6.72,4,200,85,80,83,34,1,7
USER002,2025-11-01,8.29,20.0,26.6,2,99.5,22.85,3.79,2,303,56,57,82,3,4,4
USER002,2025-11-02,6.81,22.3,27.7,2,94.6,22.25,6.98,3,254,91,86,34,5,3,6
USER002,2025-11-03,6.79,16.3,19.4,3,87.7,22.26,4.3,3,250,83,86,15,6,4,5
USER002,2025-11-04,5.41,23.0,34.2,2,98.9,22.29,5.2,5,216,86,69,107,6,4,5
USER002,2025-11-05,8.82,28.2,31.8,5,93.4,22.47,4.65,0,236,70,54,212,10,2,5
USER002,2025-11-06,6.37,21.1,23.9,1,95.3,21.8,5.52,1,296,93,84,98,55,5,5
USER003,2025-07-10,9.69,24.7,32.0,2,96.1,23.45,0.36,2,345,62,66,195,21,2,4
USER003,2025-07-11,7.03,19.9,22.0,3,96.2,23.11,3.71,2,224,79,59,71,45,6,5
USER003,2025-07-12,7.43,26.3,26.5,1,95.8,25.23,4.72,4,285,89,95,142,16,3,4
USER003,2025-07-13,9.71,11.4,16.9,1,97.7,24.32,6.1,3,318,66,56,204,13,5,7
USER003,2025-07-14,6.68,24.9,19.9,4,98.9,23.37,5.21,1,378,82,71,98,5,4,6
USER003,2025-07-15,8.48,34.7,23.7,3,93.5,23.99,6.71,2,268,76,98,44,35,3,8
USER003,2025-07-16,6.37,44.5,26.8,3,92.2,23.5,6.84,2,297,61,89,161,5,5,4
USER003,2025-07-17,6.76,25.5,30.5,2,93.5,23.03,5.34,3,267,58,82,78,17,4,5
USER003,2025-07-18,5.9,28.9,31.9,4,92.4,23.27,3.01,1,213,70,84,177,11,4,5
USER003,2025-07-19,7.64,30.8,19.4,1,93.7,24.74,6.55,6,270,90,100,18,4,4,4
USER003,2025-07-20,9.1,18.0,22.7,1,94.6,23.68,5.06,3,339,72,92,41,42,4,6
USER003,2025-07-21,7.13,23.9,27.2,3,91.2,23.46,8.8,3,279,78,78,129,3,2,6
USER003,2025-07-22,8.27,16.6,34.9,1,93.3,23.42,6.84,4,272,93,93,157,22,4,5
USER003,2025-07-23,10.78,27.2,33.4,0,86.7,23.97,0.62,0,343,69,73,94,5,5,2
USER003,2025-07-24,8.16,16.6,42.5,0,87.2,23.04,9.04,7,270,86,100,91,8,4,7
USER003,2025-07-25,8.15,21.8,28.1,0,90.7,23.41,6.71,6,296,84,82,89,16,4,5
USER003,2025-07-26,8.04,29.9,22.8,2,93.9,24.32,6.51,4,286,92,85,56,19,2,6
USER003,2025-07-27,7.17,27.0,35.0,4,94.7,24.98,2.62,6,329,82,96,32,5,5,5
USER003,2025-07-28,7.71,33.0,19.4,0,90.5,23.19,6.03,5,270,88,77,134,2,6,5
