employee_id,age,gender,department,role,tenure_years,salary,avg_hours_per_week,overtime_hours_per_month,remote_work_type,manager_support_score,team_size,performance_rating,goals_completed_pct,sick_leave_days,vacation_days_taken,job_satisfaction,workload_stress,work_life_balance,career_growth_satisfaction,months_since_last_promotion,training_hours_last_year,burnout_score,burnout_high_risk
EMP00014,22,Female,Operations,Analyst,2.45,41918,41.5,28.5,Hybrid,6.11,8,3.96,70.0,2,14.5,5.91,6.77,4.05,4.42,44.4,4.6,0.6318,0
EMP00015,22,Male,Sales,Associate,0.64,40000,35.5,2.2,Hybrid,8.19,9,2.88,55.8,1,8.5,4.13,2.24,5.73,6.6,4.9,4.8,0.4396,0
EMP00016,30,Female,Engineering,Tech Lead,3.43,45232,51.1,4.8,Hybrid,7.09,7,2.59,73.9,5,6.8,7.06,7.08,6.15,4.55,46.5,4.1,0.4672,0
EMP00017,26,Male,Sales,Associate,8.33,78359,40.3,17.6,On-site,8.81,9,3.99,48.9,5,13.0,6.76,7.64,6.8,7.75,7.4,2.1,0.5685,0
EMP00018,37,Female,HR,Manager,0.71,40000,35.0,9.5,Full Remote,7.03,8,1.94,66.5,1,9.6,3.49,6.02,5.07,5.45,7.4,7.8,0.4164,0
EMP00019,27,Female,Operations,Senior Analyst,0.89,60279,64.7,14.1,On-site,8.37,10,3.73,66.3,5,8.3,8.31,5.74,6.29,3.65,21.9,3.3,0.5245,0
EMP00020,23,Other,Engineering,Manager,0.48,110177,40.4,7.4,On-site,5.36,8,2.53,87.0,6,18.3,5.93,7.04,7.05,7.08,20.2,7.1,0.699,0
EMP00021,46,Female,Engineering,Junior Dev,4.0,99560,40.4,2.9,Hybrid,8.83,9,4.62,68.3,3,11.1,6.95,5.65,5.56,5.6,10.4,3.1,0.4117,0
EMP00022,33,Male,Customer Support,Senior Analyst,1.57,62272,58.4,12.1,On-site,7.58,5,2.34,56.2,7,9.9,8.23,3.8,7.18,6.09,3.6,4.4,0.4589,0
EMP00023,35,Female,Operations,Analyst,0.19,64166,35.3,0.4,Full Remote,5.98,10,2.35,71.4,1,15.8,5.21,5.02,6.38,5.91,9.5,4.6,0.329,0
EMP00024,23,Female,HR,Manager,6.24,89181,54.1,8.1,Full Remote,7.45,10,5.0,78.5,5,11.4,5.68,6.97,4.23,5.25,84.4,1.6,0.4533,0
EMP00025,30,Male,Operations,Analyst,2.45,98381,40.3,7.2,On-site,5.93,7,4.51,78.7,4,14.8,6.25,4.86,5.93,4.35,5.0,4.5,0.4009,0
EMP00026,35,Male,Sales,Associate,1.21,61671,35.0,10.8,Full Remote,5.0,12,2.85,56.8,3,2.0,7.94,5.15,5.47,5.74,11.1,8.8,0.5461,0
EMP00027,25,Male,Operations,Manager,1.26,69140,58.6,3.4,Full Remote,8.06,6,2.51,55.6,4,1.6,9.3,3.86,7.57,3.1,2.8,3.1,0.4051,0
EMP00028,38,Male,Sales,Senior,1.03,60849,52.4,3.8,Hybrid,8.94,10,2.76,76.5,4,7.2,8.07,2.91,4.97,7.13,28.2,7.9,0.1476,0
EMP00029,30,Male,Engineering,Junior Dev,1.82,41716,52.4,18.9,Full Remote,9.36,9,3.79,83.6,7,11.0,6.66,3.98,3.97,6.25,17.8,2.9,0.4283,0
EMP00030,32,Female,Finance,Analyst,1.23,69506,47.9,2.3,On-site,7.56,5,3.73,93.7,7,17.8,5.55,3.49,7.16,5.77,22.9,7.8,0.5066,0
EMP00031,30,Male,Sales,Senior,2.38,67601,49.8,1.5,On-site,4.36,8,3.18,85.1,4,4.4,6.0,3.05,6.88,5.65,51.0,11.5,0.5102,0
EMP00032,49,Male,Customer Support,Analyst,4.46,43483,35.1,18.5,Hybrid,9.85,11,4.87,80.4,3,5.3,7.31,2.79,8.47,5.3,14.6,6.7,0.153,0
EMP00033,34,Female,Sales,Senior,3.37,91152,45.9,10.0,Hybrid,8.42,5,2.87,55.6,3,17.2,9.46,5.72,4.72,7.07,12.6,2.5,0.3604,0
EMP00034,26,Female,Customer Support,Analyst,1.05,87083,37.6,10.3,Hybrid,4.86,12,1.99,41.7,4,7.2,8.19,3.82,8.63,4.78,57.3,2.4,0.3806,0
EMP00035,41,Female,Customer Support,Senior Analyst,2.26,92392,35.0,11.5,Full Remote,8.08,5,5.0,63.1,2,6.6,6.38,7.26,5.65,4.97,27.7,7.9,0.4191,0
EMP00036,25,Male,Engineering,Tech Lead,5.5,55798,48.3,5.5,Full Remote,9.61,8,4.23,54.9,3,16.8,4.17,4.49,5.94,5.3,16.1,15.8,0.3963,0
EMP00037,36,Female,Operations,Analyst,0.21,40000,54.3,6.7,Full Remote,6.88,12,3.34,87.6,3,0.0,8.4,7.38,4.64,7.4,1.7,3.5,0.395,0
EMP00038,22,Female,Sales,Senior,0.24,86683,41.9,25.4,Hybrid,7.78,2,3.67,63.7,3,14.0,5.79,4.59,7.78,4.95,37.0,3.4,0.407,0
EMP00039,24,Male,Customer Support,Analyst,2.44,58397,43.3,2.2,Hybrid,6.55,7,3.6,59.7,4,17.5,6.14,4.69,8.79,4.26,8.6,4.9,0.3834,0
EMP00040,36,Male,Marketing,Associate,3.06,52733,35.9,4.0,On-site,7.43,2,2.2,66.5,6,11.6,8.87,5.67,6.32,3.81,7.4,5.7,0.4023,0
EMP00041,40,Female,Finance,Analyst,0.71,43573,45.1,13.5,Hybrid,7.85,6,3.49,84.9,5,10.8,4.93,4.62,8.86,5.12,19.5,9.6,0.4589,0
EMP00042,36,Female,Marketing,Senior,4.1,68116,51.1,4.9,Hybrid,5.64,7,3.85,83.8,4,16.0,7.33,3.26,7.91,4.98,9.3,6.1,0.276,0
EMP00043,34,Other,Engineering,Senior Dev,3.12,114433,51.3,12.9,Full Remote,8.84,9,3.81,56.7,2,13.4,6.91,5.71,4.6,4.18,32.4,1.2,0.4093,0
EMP00044,32,Female,Engineering,Manager,7.7,62363,49.4,9.4,On-site,5.83,11,1.59,75.0,4,0.9,6.29,3.76,4.29,4.5,14.4,3.0,0.6974,0
EMP00045,23,Female,Sales,Associate,0.56,47754,40.1,11.0,On-site,3.06,8,3.65,89.1,3,2.0,6.48,3.55,9.1,5.37,120.0,10.2,0.5162,0
EMP00046,29,Female,Operations,Senior Analyst,4.18,91298,39.8,8.1,On-site,8.71,7,3.87,81.3,4,14.5,9.08,4.86,7.38,5.72,7.1,2.1,0.3688,0
EMP00047,31,Male,HR,Senior Analyst,0.26,79320,51.4,5.8,Full Remote,4.62,8,3.46,73.6,2,6.5,4.15,4.1,3.36,4.75,1.6,4.1,0.5642,0
EMP00048,43,Male,Finance,Senior Analyst,2.5,40000,51.5,3.3,Hybrid,8.59,8,2.53,84.9,2,13.2,7.05,6.92,5.92,3.37,21.4,5.4,0.4885,0
EMP00049,37,Male,Sales,Manager,2.41,91558,43.6,8.1,Hybrid,7.08,10,4.55,52.2,3,14.5,7.22,2.9,2.59,2.87,75.0,3.1,0.3953,0
EMP00050,22,Female,Marketing,Associate,1.47,128211,41.6,5.1,Full Remote,3.73,7,3.47,79.1,5,13.0,8.54,3.62,2.55,6.57,74.2,8.4,0.5783,0
EMP00051,37,Female,Engineering,Junior Dev,5.58,40000,54.3,19.5,On-site,7.98,10,3.33,34.5,7,6.8,4.47,6.22,8.27,6.12,64.2,9.7,0.4481,0
EMP00052,31,Female,Operations,Senior Analyst,0.1,44107,42.1,11.0,Full Remote,8.14,6,3.38,67.9,2,11.6,7.33,5.41,5.63,6.69,7.6,3.6,0.3952,0
EMP00053,29,Male,Customer Support,Analyst,2.2,40000,51.0,24.9,Full Remote,8.82,6,2.33,60.1,3,7.0,7.52,2.39,4.41,4.84,18.3,14.3,0.1789,0
EMP00054,39,Female,Sales,Associate,0.73,73117,43.9,11.0,Hybrid,4.95,6,5.0,63.2,4,11.2,6.5,7.0,4.68,2.76,1.0,24.5,0.5128,0
EMP00055,43,Male,Engineering,Junior Dev,4.08,99759,36.6,35.3,Full Remote,4.84,9,4.4,65.2,2,10.6,8.76,5.53,7.99,4.71,16.9,4.2,0.4386,0
EMP00056,42,Male,Engineering,Senior Dev,0.13,77637,57.9,0.2,On-site,7.94,7,2.95,73.1,4,8.7,7.66,3.98,7.72,6.95,42.6,1.8,0.2226,0
EMP00057,28,Female,Finance,Senior Analyst,5.34,109799,46.0,4.4,Hybrid,7.72,6,1.96,58.2,6,15.3,5.87,6.14,7.48,8.93,21.3,9.2,0.2957,0
EMP00058,32,Female,HR,Analyst,5.46,95763,39.3,1.0,Hybrid,7.36,8,3.92,51.0,9,20.3,7.63,6.4,5.1,3.57,6.5,5.5,0.4407,0
EMP00059,37,Other,Operations,Analyst,5.37,117553,35.0,10.1,Hybrid,6.96,10,4.1,73.8,2,13.1,6.41,1.23,5.57,3.63,11.4,11.3,0.367,0
EMP00060,42,Male,Sales,Senior,0.5,104005,35.0,7.1,Full Remote,7.08,8,3.55,92.3,3,7.3,5.98,3.72,7.53,5.43,58.2,3.7,0.3119,0
EMP00061,31,Female,Operations,Senior Analyst,2.99,64926,42.0,1.9,On-site,7.19,2,3.23,81.4,2,7.7,7.85,3.91,5.43,8.11,4.5,5.3,0.3058,0
EMP00062,33,Male,Finance,Manager,0.1,76668,60.4,16.4,On-site,9.17,12,2.17,88.6,6,7.6,5.74,4.91,6.17,5.36,24.5,18.6,0.4218,0
EMP00063,26,Male,Sales,Associate,5.65,53283,40.3,19.8,Hybrid,7.4,13,3.98,94.6,6,12.5,5.64,4.0,6.04,8.94,18.0,6.5,0.5913,0
EMP00064,25,Female,Marketing,Director,3.85,69233,56.6,3.9,On-site,9.23,12,2.15,38.5,5,7.8,7.6,3.6,8.6,6.71,5.3,5.1,0.4094,0
EMP00065,41,Female,Engineering,Senior Dev,2.27,76545,44.0,7.6,Hybrid,5.95,6,3.72,82.3,5,14.2,6.22,5.61,5.94,4.15,4.6,1.7,0.5881,0
EMP00066,45,Female,Marketing,Manager,3.93,72877,35.6,10.4,Hybrid,5.66,10,4.08,69.7,9,11.4,9.36,2.63,6.08,5.8,18.6,5.2,0.2727,0
EMP00067,34,Male,Operations,Analyst,0.3,108556,41.2,2.1,On-site,7.98,7,3.25,72.6,3,9.3,7.23,3.84,5.89,6.49,32.6,18.3,0.3782,0
EMP00068,43,Female,Sales,Senior,2.26,66745,35.0,10.7,Hybrid,8.58,3,3.3,60.0,4,17.3,4.48,6.47,4.92,5.9,12.1,8.8,0.3682,0
EMP00069,37,Male,Operations,Manager,1.03,51697,38.2,20.1,Hybrid,8.22,10,1.48,94.1,4,9.0,7.49,3.23,4.53,5.51,41.3,1.7,0.4663,0
EMP00070,29,Female,HR,Manager,10.79,53259,37.9,5.4,Full Remote,5.52,6,2.76,57.8,3,7.8,7.64,4.2,7.47,2.87,31.0,6.4,0.3444,0
EMP00071,37,Male,Engineering,Junior Dev,5.84,91377,35.0,3.7,Hybrid,9.51,10,3.12,74.9,6,5.4,5.14,3.13,4.06,4.41,24.5,7.8,0.4438,0
EMP00072,47,Male,HR,Analyst,3.96,40000,57.1,6.5,On-site,6.78,7,2.21,76.9,3,26.4,7.67,3.33,3.7,5.84,92.4,7.4,0.4115,0
EMP00073,34,Female,Marketing,Senior,8.14,69970,46.7,9.8,Hybrid,5.26,9,4.53,50.8,4,14.7,7.08,3.67,7.65,4.6,4.1,6.4,0.5272,0
EMP00074,47,Female,Sales,Director,1.28,108187,39.5,4.6,Full Remote,8.34,5,2.88,64.6,6,18.2,5.95,6.59,7.87,4.8,24.9,4.4,0.3306,0
EMP00075,22,Male,Engineering,Senior Dev,6.93,82314,46.8,4.5,Hybrid,8.39,9,3.13,92.1,5,11.2,6.88,5.1,3.62,3.63,0.0,3.2,0.486,0
EMP00076,41,Male,Sales,Senior,1.18,73134,38.3,17.7,Hybrid,5.16,4,4.93,89.8,6,10.0,8.64,6.73,3.39,6.61,25.1,1.0,0.5335,0
EMP00077,35,Female,Engineering,Tech Lead,3.96,74102,35.0,11.8,Full Remote,8.63,10,4.32,81.9,4,10.3,5.48,6.25,6.22,5.46,13.9,4.7,0.296,0
EMP00078,32,Male,Engineering,Tech Lead,4.0,49260,68.7,2.9,On-site,6.83,3,4.91,87.9,2,9.4,5.77,3.31,5.94,6.17,44.2,6.5,0.4061,0
EMP00079,35,Male,Sales,Senior,0.1,53571,46.5,3.5,On-site,7.99,6,4.52,52.8,1,11.2,7.52,4.66,7.54,2.52,27.6,1.7,0.2617,0
EMP00080,22,Male,Sales,Senior,1.34,70120,40.3,5.0,Hybrid,8.48,6,4.05,59.5,4,11.6,4.75,3.02,3.57,7.41,6.7,4.1,0.3049,0
EMP00081,33,Male,Customer Support,Manager,0.1,81781,35.0,5.5,Full Remote,6.1,9,2.86,66.9,2,19.2,7.46,2.96,5.33,7.51,6.4,9.3,0.3106,0
EMP00082,37,Female,Sales,Senior,17.52,98703,35.0,11.3,Hybrid,8.28,7,2.32,43.0,3,14.3,4.39,4.22,6.45,6.04,102.3,11.3,0.4187,0
EMP00083,46,Female,Operations,Senior Analyst,0.39,77314,58.2,3.3,Full Remote,7.66,9,4.14,60.6,4,15.4,7.12,6.89,5.1,3.8,27.0,5.6,0.723,1
EMP00084,30,Female,Marketing,Associate,2.35,108819,57.0,12.0,Hybrid,9.12,9,3.06,79.9,5,19.2,4.5,7.3,7.96,7.76,51.6,4.2,0.5422,0
EMP00085,28,Other,Finance,Senior Analyst,4.69,115129,51.0,8.7,Full Remote,8.01,11,1.62,91.4,5,4.1,6.1,2.18,6.03,4.19,43.6,3.4,0.4275,0
EMP00086,30,Male,Sales,Associate,0.67,94881,36.1,4.0,Hybrid,7.15,3,3.85,70.6,2,10.0,7.78,3.9,4.13,6.42,4.2,5.2,0.2811,0
EMP00087,42,Male,Customer Support,Analyst,1.99,105624,57.1,5.6,Full Remote,7.21,13,3.69,49.7,2,17.4,6.65,6.25,8.09,7.5,7.0,13.1,0.4506,0
EMP00088,37,Male,Marketing,Manager,2.81,50232,48.6,4.3,On-site,5.98,11,2.46,67.2,5,7.8,8.13,5.76,6.22,5.95,4.6,2.3,0.5116,0
EMP00089,30,Male,Operations,Senior Analyst,0.52,46270,50.2,4.9,On-site,9.1,12,4.62,62.4,2,4.5,9.06,7.56,2.41,6.73,57.5,2.2,0.5936,0
EMP00090,39,Male,Sales,Senior,4.52,87949,48.6,33.1,On-site,5.08,2,2.8,71.3,2,5.9,6.28,3.21,6.13,3.2,29.5,3.9,0.5358,0
EMP00091,35,Female,Engineering,Junior Dev,1.07,41469,35.0,15.5,Full Remote,4.62,12,5.0,60.9,2,16.7,8.13,5.23,4.67,3.81,60.5,7.2,0.5552,0
EMP00092,42,Female,Finance,Senior Analyst,0.71,67740,35.4,8.0,Full Remote,5.25,14,4.55,66.4,2,18.7,5.86,6.14,3.99,5.56,11.7,1.7,0.6649,0
EMP00093,29,Male,Engineering,Senior Dev,2.45,94279,40.9,22.1,Hybrid,4.99,9,4.31,81.7,6,11.2,6.4,6.25,6.44,5.63,1.1,5.4,0.6602,0
EMP00094,32,Female,Marketing,Senior,1.58,110334,50.1,13.1,Full Remote,9.54,8,3.01,75.9,5,13.9,6.4,4.41,7.61,6.52,29.4,13.0,0.346,0
EMP00095,31,Female,Engineering,Junior Dev,7.59,68644,35.0,2.1,Full Remote,5.81,10,3.64,52.7,4,11.7,6.43,5.98,8.57,8.28,27.0,13.1,0.2927,0
EMP00096,23,Female,HR,Senior Analyst,6.36,58751,43.6,4.8,Hybrid,9.4,8,3.71,70.9,2,13.0,5.41,6.39,7.08,5.22,34.5,11.1,0.496,0
EMP00097,37,Female,Customer Support,Manager,1.98,83011,43.6,3.9,Hybrid,8.03,5,3.27,71.3,4,7.7,7.64,6.38,5.42,3.91,20.5,3.7,0.399,0
EMP00098,37,Female,Marketing,Associate,1.34,48161,51.3,5.8,Full Remote,8.87,6,3.51,54.0,3,0.8,6.84,5.66,5.3,5.46,30.8,5.0,0.3793,0
EMP00099,35,Female,Operations,Analyst,1.18,70668,50.4,2.5,Hybrid,8.35,8,4.89,75.9,3,9.3,8.42,5.75,6.4,8.11,17.2,1.4,0.3454,0
EMP00100,33,Female,Marketing,Senior,0.93,74799,36.9,14.3,Hybrid,7.71,12,2.94,73.6,5,17.0,8.23,6.4,4.19,5.74,5.5,17.9,0.5016,0
EMP00101,23,Female,Marketing,Senior,2.36,74300,56.6,0.7,Full Remote,6.95,7,3.87,64.7,6,18.4,7.79,5.37,8.58,5.35,16.0,11.3,0.5379,0
EMP00102,31,Male,Customer Support,Senior Analyst,4.9,77212,35.7,11.4,On-site,9.24,2,3.05,39.9,4,8.3,7.55,6.27,7.97,7.55,8.4,4.8,0.2298,0
EMP00103,32,Male,Operations,Senior Analyst,1.12,54137,53.7,10.1,Full Remote,4.79,8,2.24,84.8,3,9.3,7.36,7.04,6.25,4.19,12.1,3.4,0.4884,0
EMP00104,28,Female,Operations,Analyst,0.63,56825,40.6,5.2,Full Remote,5.93,7,4.35,65.0,6,14.3,7.23,4.32,8.02,3.38,31.5,0.9,0.3689,0
EMP00105,33,Male,Sales,Senior,1.94,56322,46.3,12.3,Full Remote,6.47,7,3.82,44.5,4,21.9,8.86,5.95,4.33,6.93,46.3,1.9,0.3319,0
EMP00106,38,Male,Marketing,Associate,0.21,40000,46.8,1.0,Full Remote,9.81,5,4.29,92.7,2,17.4,7.17,3.24,6.91,4.99,37.7,10.3,0.1289,0
EMP00107,50,Female,Engineering,Junior Dev,3.62,83545,46.6,9.2,On-site,6.72,8,2.73,86.0,2,18.0,6.79,5.15,5.44,4.63,44.4,1.0,0.5645,0
EMP00108,36,Male,Sales,Senior,2.19,97366,50.4,43.7,Full Remote,3.12,15,3.0,90.1,7,5.4,9.31,2.97,6.28,4.72,29.7,6.0,0.4897,0
EMP00109,37,Female,Marketing,Associate,2.06,94907,48.1,15.9,Hybrid,5.77,8,3.82,70.2,7,20.2,4.6,4.2,5.36,7.24,34.1,2.4,0.708,1
EMP00110,34,Female,Operations,Manager,1.07,68437,51.3,5.8,Hybrid,6.71,7,4.12,22.2,7,9.1,8.51,4.1,4.97,3.62,31.8,1.0,0.4041,0
EMP00111,22,Other,Operations,Manager,7.05,54724,48.7,19.1,Hybrid,7.84,5,4.45,47.7,4,9.0,8.24,6.45,5.5,7.78,35.4,2.5,0.3902,0
EMP00112,34,Female,Sales,Manager,0.28,93607,35.0,31.4,On-site,8.13,9,3.42,69.5,3,16.5,7.03,2.56,6.09,6.69,59.4,4.0,0.5086,0
EMP00113,35,Male,Engineering,Manager,6.12,90973,47.2,3.8,On-site,6.28,3,3.9,41.1,2,15.7,8.03,4.52,5.53,8.29,58.4,0.5,0.5451,0
EMP00114,54,Female,Operations,Analyst,1.42,80435,40.5,21.4,Full Remote,8.3,5,4.93,71.1,3,15.1,4.36,5.7,3.45,7.14,60.4,7.9,0.5398,0
EMP00115,33,Female,Engineering,Tech Lead,6.38,118607,36.1,3.4,On-site,7.51,9,3.19,76.1,4,16.1,8.26,5.02,7.36,7.69,19.5,0.6,0.3149,0
EMP00116,37,Other,HR,Analyst,3.91,74339,42.7,15.3,Hybrid,6.79,8,3.73,54.1,6,11.4,4.84,6.85,4.87,8.44,37.2,7.3,0.5523,0
EMP00117,34,Male,Engineering,Junior Dev,0.33,68577,46.5,15.2,Hybrid,8.91,10,3.38,71.1,7,17.6,4.53,5.15,6.68,6.74,6.2,3.3,0.473,0
EMP00118,25,Male,Sales,Manager,5.34,65004,47.0,1.8,Hybrid,7.67,5,3.67,66.7,3,17.8,5.7,6.41,8.07,7.14,1.3,2.2,0.4209,0
EMP00119,44,Female,Customer Support,Analyst,3.44,40000,53.4,4.1,On-site,7.13,8,4.61,61.9,7,19.5,6.54,5.65,6.42,3.53,23.8,7.4,0.5875,0
EMP00120,41,Male,Engineering,Manager,0.1,91533,55.5,2.0,Full Remote,9.43,5,3.02,62.1,3,17.1,9.37,2.44,8.58,3.7,73.9,3.7,0.2317,0
EMP00121,41,Female,Sales,Senior,0.43,72362,47.7,14.0,On-site,5.91,13,2.83,82.0,4,4.4,6.84,3.75,4.88,4.91,46.7,2.9,0.4868,0
EMP00122,27,Male,Sales,Manager,3.03,87748,49.1,7.7,Full Remote,8.11,6,4.2,74.3,6,10.4,6.98,6.02,3.5,3.43,15.8,15.9,0.7221,1
EMP00123,46,Male,Customer Support,Analyst,3.26,121046,45.8,8.8,Hybrid,6.1,10,4.71,71.2,6,11.0,6.24,3.52,6.53,2.53,0.2,3.8,0.5259,0
EMP00124,23,Male,Operations,Senior Analyst,4.12,65231,51.1,7.8,On-site,6.32,7,2.33,64.5,7,13.0,7.14,3.83,5.43,7.02,24.0,13.0,0.425,0
EMP00125,39,Male,Engineering,Junior Dev,3.82,40000,48.9,9.3,Hybrid,7.06,7,3.23,68.4,3,14.6,6.47,6.06,4.91,6.72,44.6,2.7,0.666,0
EMP00126,52,Female,Engineering,Tech Lead,3.23,87026,44.6,4.8,Full Remote,7.42,9,3.75,56.8,2,11.4,6.22,8.99,7.1,5.9,8.8,7.3,0.4471,0
EMP00127,27,Female,HR,Analyst,4.36,79171,62.2,14.0,Hybrid,8.21,5,3.54,73.0,6,14.9,8.34,4.43,6.99,5.0,38.2,3.1,0.4451,0
EMP00128,30,Male,Sales,Senior,2.57,56688,40.6,25.9,On-site,9.35,8,3.61,58.2,3,12.8,5.36,3.29,6.07,6.61,4.9,11.5,0.3433,0
EMP00129,35,Female,Finance,Analyst,0.91,84931,56.6,5.5,Hybrid,8.24,7,3.55,73.9,4,6.4,7.92,5.24,8.0,6.16,1.0,12.8,0.3334,0
EMP00130,30,Male,Engineering,Junior Dev,7.3,94652,35.0,8.2,Full Remote,6.4,10,2.91,75.8,2,3.8,6.54,2.88,5.62,7.43,0.8,14.7,0.2351,0
EMP00131,22,Female,Engineering,Senior Dev,0.1,51334,51.5,9.1,Hybrid,7.2,6,1.45,82.4,3,6.6,7.16,6.16,2.85,5.49,95.1,4.5,0.4747,0
EMP00132,35,Male,Finance,Analyst,1.37,67466,56.5,7.9,On-site,8.3,9,3.48,65.9,2,5.2,6.91,4.33,5.38,4.69,45.9,8.1,0.3418,0
EMP00133,26,Female,Engineering,Tech Lead,3.92,111918,35.0,5.3,Hybrid,6.69,6,3.32,89.8,8,2.5,6.48,6.89,5.91,8.76,3.0,6.7,0.3388,0
EMP00134,38,Female,Operations,Analyst,1.67,56959,46.1,10.8,Hybrid,8.82,8,2.3,92.0,5,16.1,6.79,6.72,7.48,5.05,44.2,5.3,0.5296,0
EMP00135,27,Female,Engineering,Senior Dev,0.1,76666,50.7,15.1,On-site,5.62,5,2.96,72.0,3,19.7,6.21,3.17,4.57,3.87,34.9,2.9,0.5333,0
EMP00136,47,Female,Engineering,Senior Dev,0.2,40000,47.0,18.5,Full Remote,7.5,11,4.21,66.4,6,9.3,8.25,8.33,7.41,7.74,7.9,5.1,0.4167,0
EMP00137,28,Female,Customer Support,Analyst,3.14,40000,48.0,9.0,Hybrid,8.45,15,3.34,85.2,3,14.5,6.39,3.39,5.28,4.4,6.4,10.4,0.4493,0
EMP00138,32,Other,Sales,Senior,10.05,78937,46.1,1.7,Hybrid,6.63,6,3.65,76.2,7,20.3,7.28,4.57,5.58,5.88,10.6,2.7,0.3384,0
EMP00139,41,Female,Finance,Manager,2.41,105699,36.2,16.6,Full Remote,7.29,7,2.64,60.1,1,15.0,6.76,3.37,5.03,6.01,13.5,3.9,0.2816,0
EMP00140,25,Female,Engineering,Junior Dev,2.12,40949,63.9,6.8,Full Remote,8.82,11,3.97,80.5,4,7.3,5.13,2.64,4.89,7.09,2.9,3.0,0.5549,0
EMP00141,36,Female,HR,Analyst,1.15,76864,41.0,5.1,On-site,6.97,6,5.0,76.1,7,11.5,6.83,5.16,5.08,8.62,69.8,3.4,0.5292,0
EMP00142,45,Male,Finance,Analyst,0.89,65607,48.5,14.2,Full Remote,4.81,10,3.92,69.5,7,5.7,6.38,6.68,8.76,4.35,62.5,3.4,0.6602,0
EMP00143,22,Female,Sales,Senior,0.1,98827,39.8,22.3,Full Remote,8.17,9,3.85,61.2,7,7.5,5.11,1.88,5.91,4.57,28.4,2.6,0.5835,0
EMP00144,36,Male,Operations,Senior Analyst,0.96,44554,35.0,6.0,Full Remote,6.7,9,3.7,50.2,3,8.3,8.62,4.47,5.21,6.03,12.7,2.9,0.3334,0
EMP00145,37,Female,HR,Analyst,1.79,85751,37.6,34.3,Full Remote,8.78,10,2.97,72.6,4,0.4,7.11,6.29,2.3,4.39,51.0,5.8,0.57,0
EMP00146,41,Female,Sales,Manager,0.66,58657,35.0,5.1,Hybrid,7.49,7,4.27,85.8,1,12.1,9.13,6.45,5.12,2.64,3.5,4.0,0.4834,0
EMP00147,25,Female,Marketing,Associate,0.27,80575,53.7,25.6,On-site,8.0,7,3.4,79.4,4,3.2,6.77,5.42,4.98,4.01,48.9,2.5,0.6448,0
EMP00148,24,Male,HR,Analyst,3.79,76723,40.1,14.8,Full Remote,9.61,13,4.88,93.1,4,11.5,7.12,4.71,7.27,8.08,26.3,3.0,0.3568,0
