user_id,age,gender,fitness_level,health_goal,bmi,diet_preference,baseline_stress,avg_steps,avg_active_minutes,avg_sleep_hours,avg_resting_hr,avg_calories_burned,avg_wellness_score,steps_consistency,activity_consistency
USER0038,18,Female,Very Active,Build Muscle,32.7,Balanced,8.2,10686.344444444445,75.92222222222222,8.078333333333333,68.5111111111111,2314.1444444444446,6.906888888888889,0.4028609749494205,0.4231796197161593
USER0039,18,Male,Lightly Active,Build Muscle,18.0,Vegetarian,3.23,5549.4,29.07777777777778,6.8660000000000005,70.82222222222222,1872.2222222222222,6.994555555555555,0.38049249022242404,0.38195569297194193
USER0040,33,Female,Sedentary,Weight Loss,27.7,Low Carb,4.14,2695.1222222222223,8.733333333333333,6.579666666666666,68.62222222222222,1644.1777777777777,7.021555555555556,0.3886616834784508,0.4462054102712968
USER0041,39,Male,Moderately Active,Weight Loss,34.5,Balanced,5.15,8380.655555555555,45.422222222222224,7.4448888888888884,68.75555555555556,2065.3,7.009222222222222,0.3676286172596125,0.47111733476824563
USER0042,33,Female,Moderately Active,Stress Management,27.1,Low Carb,4.91,8606.344444444445,46.84444444444444,7.529444444444445,68.94444444444444,2072.4777777777776,7.125888888888889,0.32846853011025234,0.4261963194033567
USER0043,30,Female,Lightly Active,Build Muscle,32.6,Low Carb,3.97,5119.788888888889,26.22222222222222,6.930000000000001,70.14444444444445,1827.8222222222223,7.053333333333333,0.40238317151865594,0.48511367427431895
USER0044,28,Female,Sedentary,Build Muscle,23.5,Balanced,4.62,2781.4222222222224,9.433333333333334,6.490444444444444,68.23333333333333,1667.4888888888888,6.888111111111111,0.3295819375570469,0.42602369367153425
USER0045,18,Female,Lightly Active,Build Muscle,25.9,Balanced,5.45,5354.188888888889,26.933333333333334,7.119555555555555,68.58888888888889,1849.9555555555555,6.949333333333333,0.41165419220829047,0.4279935704693325
USER0046,24,Female,Lightly Active,Stress Management,26.1,Balanced,5.29,5805.144444444444,27.644444444444446,6.929777777777777,70.28888888888889,1871.4666666666667,7.212888888888888,0.37640804465598815,0.40892870199150716
USER0047,27,Male,Lightly Active,General Fitness,18.0,Low Carb,6.57,5314.2555555555555,27.288888888888888,6.909000000000001,67.37777777777778,1826.9333333333334,7.022,0.35604660170834,0.4264552383461156
USER0048,42,Female,Moderately Active,Weight Loss,21.3,Vegan,5.6,7944.9111111111115,45.9,7.465222222222223,70.3,2058.011111111111,6.879888888888888,0.4157983350831968,0.49046743112233404
USER0049,35,Male,Moderately Active,Weight Loss,21.6,Vegan,4.06,8403.6,41.31111111111111,7.685777777777778,69.42222222222222,2039.6333333333334,7.142888888888889,0.35798446530800376,0.4366464102273573
USER0050,18,Female,Sedentary,Weight Loss,29.3,Low Carb,3.0,2997.1,8.577777777777778,6.427,69.0,1667.1222222222223,7.185888888888889,0.2994737468330259,0.4561628895486205
USER0051,35,Male,Lightly Active,Better Sleep,29.5,Vegetarian,3.76,5707.433333333333,25.977777777777778,7.0088888888888885,70.26666666666667,1877.9888888888888,6.889222222222222,0.3637027357346199,0.422164382965269
USER0052,28,Male,Lightly Active,General Fitness,27.3,Balanced,4.77,5607.1,24.966666666666665,6.7858888888888895,70.08888888888889,1841.9333333333334,7.092444444444445,0.337035017340034,0.52623594372269
USER0053,25,Female,Sedentary,General Fitness,29.3,Vegetarian,2.6,2711.233333333333,9.566666666666666,6.677333333333333,70.18888888888888,1653.7555555555555,6.983888888888888,0.40361932397910477,0.44635830589882897
USER0054,38,Male,Moderately Active,General Fitness,25.3,Balanced,4.12,7613.344444444445,45.03333333333333,7.582444444444444,70.65555555555555,2029.4,6.889444444444444,0.3431514180538421,0.46213442900795826
USER0055,42,Female,Very Active,Build Muscle,30.8,Balanced,7.22,10585.81111111111,72.72222222222223,7.936222222222222,68.53333333333333,2287.6555555555556,6.946888888888889,0.3859311761427694,0.47902494900048853
USER0056,41,Male,Lightly Active,Stress Management,26.0,Low Carb,8.43,5922.8,27.655555555555555,7.084666666666667,69.06666666666666,1873.388888888889,6.74388888888889,0.36807543365266443,0.45049632492872005
USER0057,23,Male,Moderately Active,General Fitness,26.2,Balanced,4.77,7806.4,47.86666666666667,7.501777777777777,68.31111111111112,2045.6444444444444,7.079111111111112,0.3837385186512444,0.44156622076204244
USER0058,28,Female,Moderately Active,Weight Loss,24.9,Vegetarian,2.23,8432.022222222222,44.67777777777778,7.542333333333333,68.37777777777778,2068.7,7.011,0.3286832797856734,0.4464352576209024
USER0059,35,Male,Moderately Active,Weight Loss,28.7,Vegetarian,5.42,8181.511111111111,49.044444444444444,7.354111111111111,70.3,2080.711111111111,7.113333333333334,0.33590752034566,0.4440366339097967
USER0060,41,Male,Sedentary,General Fitness,24.3,Balanced,2.19,2834.8333333333335,8.822222222222223,6.551333333333333,68.24444444444444,1657.911111111111,6.872777777777777,0.3696843912980062,0.43049489344126646
USER0061,27,Female,Very Active,Better Sleep,29.9,Balanced,4.08,10536.711111111112,75.2,7.909,72.0,2287.777777777778,7.019555555555556,0.3757133647628381,0.4600593934825299
USER0062,30,Male,Lightly Active,Build Muscle,21.5,Vegan,4.78,5446.011111111111,26.72222222222222,6.954888888888889,68.35555555555555,1856.6888888888889,6.838222222222223,0.3662519391320391,0.4580839708324635
USER0063,20,Female,Lightly Active,Stress Management,21.6,Vegetarian,5.25,5506.5,27.58888888888889,7.086222222222222,67.77777777777777,1868.7777777777778,7.038777777777778,0.3492486614281361,0.3782041242159752
USER0064,20,Male,Sedentary,Stress Management,28.7,Balanced,6.64,2745.3777777777777,9.066666666666666,6.416111111111111,70.86666666666666,1663.088888888889,6.965888888888888,0.34816430597187636,0.41378806229969034
USER0065,40,Male,Lightly Active,Weight Loss,25.6,Balanced,2.34,5682.655555555555,25.844444444444445,7.138444444444445,70.5111111111111,1854.411111111111,6.989666666666667,0.34534214261155427,0.4872523869632422
USER0066,45,Female,Sedentary,Weight Loss,24.2,Low Carb,4.36,2885.777777777778,8.455555555555556,6.52,68.83333333333333,1630.6444444444444,6.9414444444444445,0.329442286145967,0.39387194304557005
USER0067,31,Male,Sedentary,Weight Loss,29.6,Low Carb,3.22,2771.6666666666665,8.833333333333334,6.407111111111111,68.57777777777778,1647.3777777777777,6.8885555555555555,0.3588641129627387,0.4533383465145749
USER0068,42,Male,Lightly Active,General Fitness,23.6,Balanced,1.94,5314.0,26.866666666666667,6.959222222222222,68.83333333333333,1848.3111111111111,6.863444444444445,0.3959892906611858,0.46559228162273997
USER0069,35,Male,Moderately Active,Weight Loss,25.2,Balanced,5.61,8394.6,46.355555555555554,7.308999999999999,69.14444444444445,2069.366666666667,6.973888888888888,0.4032041468114659,0.4134843094447275
USER0070,25,Male,Moderately Active,Build Muscle,31.6,Vegan,7.44,7918.566666666667,46.53333333333333,7.378333333333333,69.3,2065.4666666666667,6.996555555555556,0.35702215988203334,0.44307568400702124
USER0071,35,Female,Lightly Active,General Fitness,32.2,Low Carb,4.99,5301.355555555556,26.355555555555554,7.139777777777779,69.38888888888889,1844.5666666666666,6.920333333333334,0.4027940061551444,0.4946750522382403
USER0072,47,Male,Moderately Active,General Fitness,32.3,High Protein,4.79,8041.5,46.22222222222222,7.390000000000001,67.84444444444445,2053.3777777777777,6.955888888888889,0.3801480863322117,0.40451158126456976
USER0073,31,Female,Moderately Active,Weight Loss,24.9,Vegetarian,7.63,8372.711111111112,45.922222222222224,7.489222222222222,69.78888888888889,2061.1555555555556,7.015333333333333,0.3249475451969669,0.44943086002889565
USER0074,47,Female,Moderately Active,Build Muscle,30.9,High Protein,1.55,8196.822222222223,44.577777777777776,7.547777777777777,70.27777777777777,2044.2555555555555,7.093555555555555,0.36488890505771465,0.43856621412446134
USER0075,18,Male,Sedentary,Build Muscle,22.2,Balanced,4.97,2796.1444444444446,8.966666666666667,6.446777777777778,68.96666666666667,1650.8222222222223,6.892666666666667,0.3302981613617993,0.39528603396273476
USER0076,40,Female,Moderately Active,General Fitness,22.4,Vegetarian,3.87,8874.077777777778,47.77777777777778,7.426222222222222,70.58888888888889,2075.988888888889,6.916777777777778,0.33884585471639395,0.47625417863018193
USER0077,32,Male,Very Active,Stress Management,18.0,Balanced,4.96,10419.266666666666,77.24444444444444,7.976333333333334,68.4,2289.9444444444443,6.982,0.39310089945847126,0.3923659582835076
USER0078,29,Other,Moderately Active,Weight Loss,32.7,Low Carb,4.42,8087.7,48.766666666666666,7.618666666666666,69.34444444444445,2069.5,7.120888888888889,0.30826634740761333,0.4275673476223407
USER0079,32,Male,Lightly Active,Stress Management,22.5,Balanced,4.26,5435.666666666667,24.57777777777778,6.992444444444445,69.4888888888889,1838.4,7.0118888888888895,0.3532928659283957,0.4958719645398725
USER0080,18,Female,Lightly Active,General Fitness,25.5,Balanced,3.28,5527.944444444444,28.5,7.094222222222222,71.77777777777777,1850.5333333333333,7.3838888888888885,0.3984111642716918,0.37589095326422844
USER0081,29,Female,Moderately Active,General Fitness,22.4,Vegan,6.37,8060.655555555555,44.8,7.577444444444445,71.61111111111111,2052.2555555555555,7.073444444444444,0.3684714773262989,0.4639610980937038
USER0082,35,Male,Lightly Active,General Fitness,28.8,Vegan,6.64,5726.5888888888885,26.255555555555556,6.9943333333333335,71.82222222222222,1850.1888888888889,6.899333333333334,0.36056334533913986,0.5026055104724781
USER0083,46,Female,Sedentary,Build Muscle,24.5,Balanced,5.02,2815.5333333333333,9.444444444444445,6.483777777777777,69.05555555555556,1651.9777777777779,6.8902222222222225,0.3896382247941399,0.41196456531880987
USER0084,26,Female,Lightly Active,Weight Loss,20.8,Low Carb,3.37,5258.022222222222,28.42222222222222,6.988222222222223,69.82222222222222,1852.088888888889,6.794444444444444,0.390264892291429,0.37826911925686524
USER0085,23,Male,Moderately Active,General Fitness,27.8,Balanced,6.02,8329.455555555556,44.922222222222224,7.557777777777778,70.04444444444445,2054.0777777777776,6.753666666666667,0.351398242776767,0.4448697103951962
USER0086,26,Male,Moderately Active,General Fitness,20.3,Balanced,6.59,8295.611111111111,45.666666666666664,7.541333333333333,69.37777777777778,2066.3333333333335,7.147888888888888,0.3419550263288428,0.42698515961402245
USER0087,41,Female,Sedentary,General Fitness,22.7,Vegetarian,5.63,2674.266666666667,8.566666666666666,6.520444444444445,66.74444444444444,1655.4666666666667,6.829888888888888,0.3854248162088485,0.44019808820297673
USER0088,35,Female,Very Active,Build Muscle,18.0,Balanced,5.93,10754.222222222223,71.9888888888889,8.017888888888889,69.95555555555555,2291.733333333333,6.870888888888889,0.38992071985682447,0.5018340756628487
USER0089,26,Other,Lightly Active,Better Sleep,20.3,High Protein,3.71,5431.2555555555555,27.244444444444444,6.949777777777778,70.43333333333334,1856.4333333333334,6.886111111111111,0.3182949263193496,0.45301774221642427
USER0090,37,Female,Moderately Active,General Fitness,26.7,Balanced,5.79,8716.777777777777,44.82222222222222,7.485555555555556,70.67777777777778,2085.5666666666666,7.052222222222222,0.3361428057098262,0.43823089981076885
USER0091,32,Female,Moderately Active,Weight Loss,18.1,Low Carb,3.1,7630.811111111111,45.44444444444444,7.495333333333334,70.61111111111111,2040.8444444444444,7.164555555555555,0.40780638296149085,0.4397608150057315
USER0092,41,Female,Moderately Active,Build Muscle,20.1,Low Carb,6.17,8236.844444444445,45.4,7.558999999999999,69.71111111111111,2058.822222222222,7.354777777777778,0.383775498107845,0.42273865450092013
USER0093,24,Male,Very Active,Stress Management,26.0,Balanced,3.78,11362.077777777778,74.94444444444444,7.899555555555556,69.0111111111111,2334.633333333333,7.04,0.35715928537062264,0.43086555141870614
USER0094,28,Male,Lightly Active,Stress Management,23.8,Balanced,2.34,5686.033333333334,27.977777777777778,7.045,71.13333333333334,1859.4555555555555,6.943777777777778,0.3372491815423993,0.3581493602977418
USER0095,28,Female,Moderately Active,Build Muscle,34.0,Vegetarian,6.92,7976.355555555556,46.4,7.477777777777778,68.7,2055.0333333333333,7.024888888888889,0.38872619086203697,0.4658452062522166
USER0096,18,Female,Sedentary,Stress Management,33.3,Vegetarian,5.69,2776.733333333333,9.144444444444444,6.5761111111111115,69.17777777777778,1653.1888888888889,7.037999999999999,0.36492266926522154,0.4262931009780878
USER0097,34,Male,Moderately Active,Weight Loss,22.5,Balanced,5.12,8099.055555555556,46.15555555555556,7.498888888888889,68.84444444444445,2052.822222222222,6.673111111111112,0.3904526605762749,0.5003085958208427
USER0098,34,Male,Moderately Active,Build Muscle,28.2,Low Carb,4.99,8317.7,46.355555555555554,7.624555555555556,67.72222222222223,2049.8555555555554,6.996333333333333,0.37251287587688836,0.4410485498366648
USER0099,32,Female,Moderately Active,Stress Management,29.0,Balanced,4.01,8250.666666666666,43.74444444444445,7.539777777777778,69.27777777777777,2050.7555555555555,6.936,0.34139140927956335,0.45534225809314643
USER0100,29,Female,Lightly Active,Stress Management,23.6,Balanced,5.43,5453.866666666667,26.5,6.904222222222222,69.88888888888889,1847.0444444444445,6.910555555555556,0.36399287019133525,0.4659419796226303
USER0101,18,Male,Moderately Active,General Fitness,20.0,Balanced,3.14,8172.988888888889,47.96666666666667,7.668555555555555,69.5111111111111,2074.588888888889,7.226666666666667,0.3831187531323489,0.3759415192903357
USER0102,27,Male,Sedentary,Stress Management,26.0,Balanced,2.92,2959.688888888889,8.066666666666666,6.418777777777779,71.24444444444444,1661.5666666666666,7.09,0.3491100260783663,0.45736239823776426
USER0103,28,Male,Sedentary,Weight Loss,25.3,Vegetarian,6.27,2756.7444444444445,8.511111111111111,6.311111111111111,68.72222222222223,1642.3333333333333,6.845,0.32949523479416815,0.4114803731355386
USER0104,23,Male,Moderately Active,Stress Management,24.3,Vegetarian,5.67,8212.966666666667,45.75555555555555,7.401666666666666,69.55555555555556,2055.011111111111,7.121888888888889,0.34433801623497234,0.3913747566559
USER0105,30,Male,Lightly Active,Build Muscle,27.8,High Protein,6.34,5558.422222222222,28.366666666666667,7.059444444444445,69.43333333333334,1876.7333333333333,7.139111111111111,0.3519718976605906,0.37541439184596287
USER0106,36,Male,Moderately Active,Weight Loss,23.0,Low Carb,7.41,8335.1,45.25555555555555,7.5120000000000005,70.5,2059.8,6.923000000000001,0.33350445317872257,0.4563561806513402
USER0107,50,Female,Lightly Active,Weight Loss,21.4,High Protein,2.83,5358.522222222222,27.244444444444444,7.117444444444445,68.02222222222223,1845.6666666666667,7.1594444444444445,0.40704088965272156,0.4609723801648942
USER0108,33,Male,Sedentary,Build Muscle,26.4,Low Carb,5.29,2526.3333333333335,9.755555555555556,6.389,68.31111111111112,1643.1222222222223,6.891333333333334,0.39628395344184214,0.42364945501387863
USER0109,34,Female,Moderately Active,Weight Loss,27.5,Low Carb,3.86,8356.044444444444,43.544444444444444,7.574777777777778,70.7,2055.0666666666666,7.012222222222222,0.3343000962913993,0.46654578362057336
USER0110,31,Female,Lightly Active,Build Muscle,21.3,High Protein,5.7,5609.322222222222,28.033333333333335,6.937333333333333,69.85555555555555,1858.4222222222222,6.848333333333334,0.3788771331025547,0.45640483963515266
USER0111,18,Male,Sedentary,Weight Loss,29.7,Low Carb,3.68,2787.988888888889,8.566666666666666,6.451222222222222,70.37777777777778,1645.7222222222222,7.0585555555555555,0.2653542910159289,0.49449125776044356
USER0112,31,Female,Moderately Active,Weight Loss,18.9,Balanced,6.41,7786.655555555555,44.611111111111114,7.505999999999999,69.14444444444445,2022.9222222222222,6.926777777777778,0.3451202620457886,0.4859426250009758
USER0113,32,Male,Lightly Active,General Fitness,23.7,Vegetarian,5.85,5641.655555555555,27.711111111111112,7.039555555555555,68.76666666666667,1879.3222222222223,6.985555555555556,0.33879134316594417,0.4387637027219662
USER0114,56,Female,Moderately Active,Build Muscle,25.0,Vegan,5.36,8299.488888888889,42.333333333333336,7.461666666666666,71.47777777777777,2051.0555555555557,7.1401111111111115,0.30847063185665413,0.49444248682841274
USER0115,30,Male,Lightly Active,Build Muscle,23.5,Vegetarian,2.18,5628.433333333333,26.5,6.9623333333333335,69.76666666666667,1852.3222222222223,6.908888888888888,0.3451203373391153,0.4389234680848462
USER0116,35,Female,Moderately Active,General Fitness,23.7,Low Carb,4.12,7485.666666666667,46.5,7.516666666666667,70.8,2056.233333333333,6.942888888888889,0.37979488809251866,0.41497662792452217
USER0117,31,Female,Moderately Active,Stress Management,33.5,Low Carb,7.11,8387.966666666667,46.388888888888886,7.387555555555555,69.4,2054.5555555555557,6.9943333333333335,0.36375787373056867,0.458362991056191
USER0118,20,Male,Moderately Active,Stress Management,22.6,High Protein,5.31,8673.755555555555,44.477777777777774,7.648555555555555,71.1,2067.988888888889,6.905666666666667,0.3348727079506354,0.46117291149536144
USER0119,43,Male,Sedentary,Build Muscle,35.8,Balanced,6.3,2665.233333333333,8.677777777777777,6.719222222222222,68.94444444444444,1634.5777777777778,6.885,0.37532155776721726,0.4063207285642264
USER0120,39,Female,Moderately Active,General Fitness,27.7,Low Carb,2.12,8263.055555555555,46.67777777777778,7.496555555555556,69.25555555555556,2055.911111111111,7.001777777777777,0.3475179789352971,0.4370458396783172
USER0121,39,Female,Moderately Active,Weight Loss,26.4,Balanced,2.24,8680.5,47.37777777777778,7.338222222222223,67.97777777777777,2087.722222222222,7.091666666666667,0.3198756865998264,0.4084169618389761
USER0122,22,Male,Moderately Active,Weight Loss,27.9,Low Carb,4.2,8138.677777777778,43.37777777777778,7.470777777777778,69.17777777777778,2042.4444444444443,6.892555555555556,0.34375577524862316,0.4565290652521351
USER0123,46,Female,Lightly Active,Build Muscle,36.1,Low Carb,4.98,5407.811111111111,26.61111111111111,6.908666666666666,70.03333333333333,1841.3222222222223,6.889222222222222,0.3987965233608484,0.4651787888328085
USER0124,18,Male,Moderately Active,Stress Management,22.0,Balanced,5.2,8323.1,46.766666666666666,7.418777777777779,69.06666666666666,2079.1444444444446,7.0809999999999995,0.3612645641244355,0.46920424980961145
USER0125,37,Female,Moderately Active,Weight Loss,21.5,Balanced,3.57,8595.522222222222,46.18888888888889,7.467666666666667,69.36666666666666,2061.677777777778,7.0553333333333335,0.32006559828272074,0.40495897108009804
USER0126,53,Male,Sedentary,Weight Loss,23.0,Low Carb,4.12,2621.222222222222,8.122222222222222,6.376444444444444,68.57777777777778,1629.2555555555555,6.837666666666666,0.3815671947783206,0.5162034351788413
USER0127,22,Female,Lightly Active,Weight Loss,26.1,Balanced,2.54,5614.977777777778,27.41111111111111,7.081777777777778,69.33333333333333,1863.5666666666666,7.146555555555556,0.32462027879386757,0.45632919434509595
USER0128,26,Male,Moderately Active,Stress Management,19.1,Balanced,4.69,8300.966666666667,43.01111111111111,7.571777777777778,68.85555555555555,2043.7444444444445,7.01,0.32956451661006303,0.4731258503970562
USER0129,32,Male,Sedentary,General Fitness,26.1,Vegetarian,2.77,2797.9222222222224,8.277777777777779,6.419888888888888,68.88888888888889,1657.0,6.985555555555556,0.38820821827829927,0.43797800602998427
USER0130,26,Male,Very Active,Weight Loss,32.8,Balanced,5.64,11553.6,68.25555555555556,8.056555555555557,68.88888888888889,2308.9555555555557,6.9864444444444445,0.3079141672781485,0.4549507782424391
USER0131,18,Male,Moderately Active,General Fitness,26.6,Balanced,4.43,7953.022222222222,45.233333333333334,7.465111111111112,69.78888888888889,2049.9,7.076555555555555,0.3299544304782901,0.4184675609625719
USER0132,32,Female,Moderately Active,General Fitness,24.8,High Protein,5.62,8852.322222222223,45.0,7.391333333333334,69.86666666666666,2087.9444444444443,7.114666666666667,0.3710139743624595,0.4257022812507936
USER0133,21,Male,Lightly Active,General Fitness,23.5,Balanced,3.33,5669.422222222222,25.211111111111112,6.941888888888888,70.06666666666666,1856.888888888889,7.1419999999999995,0.3406153170966553,0.5005008829231119
USER0134,36,Female,Sedentary,Weight Loss,29.6,Balanced,4.6,2775.9333333333334,9.055555555555555,6.599444444444445,69.66666666666667,1636.7333333333333,7.020888888888889,0.3484520392360128,0.39871745791359325
USER0135,22,Male,Very Active,Stress Management,22.7,Low Carb,3.55,11587.611111111111,76.86666666666666,8.022555555555556,69.93333333333334,2356.911111111111,7.033,0.3217492554683027,0.38898140097679934
USER0136,47,Male,Lightly Active,Build Muscle,33.4,Vegetarian,3.19,5454.7555555555555,27.144444444444446,7.085,69.36666666666666,1880.3444444444444,6.940444444444444,0.35610944994828364,0.4256659872757506
